component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
total_count,,,5120000,4096184.0,5120000.0,36076356.0,35581357.62125065,494998.3787493482,14401786.235919343,81637631.51496354,2.812848874202997,3.9931002874040513
shape_bin,short,fragment_length_lt_100,5120000,,,19729863.0,19477548.347167984,252314.65283201635,10472182.208373535,43816711.00322684,2.045348087572956,2.9253976426834254
shape_bin,mono,fragment_length_100_249,5120000,,,11749424.0,11592548.520079214,156875.47992078587,7902803.147005062,24317210.82874253,1.5435162396494262,2.1793244916690986
shape_bin,long,fragment_length_ge_250,5120000,,,4597069.0,4511260.754003446,85808.24599655438,4356487.794049115,7877325.84309491,0.8508765222752177,1.240379056470027
