component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
total_count,,,5120000,4113166.0,5120000.0,35178286.0,34673888.401809596,504397.5981904045,14247240.776830344,78530488.7413007,2.7826642142246767,3.9163740988681472
shape_bin,short,fragment_length_lt_100,5120000,,,18999172.0,18746643.487955008,252528.5120449923,10278812.347360581,41903961.02174096,2.0075805365938635,2.8608333378683177
shape_bin,mono,fragment_length_100_249,5120000,,,11576175.0,11407272.265720928,168902.7342790719,7885737.553185661,23703105.84770895,1.5401831158565744,2.151630279783368
shape_bin,long,fragment_length_ge_250,5120000,,,4602939.0,4519972.648133661,82966.35186633933,4409088.1326715145,7858590.249172851,0.8611500259124052,1.2389031068011624
