spot_id,CD14 Mono,CD4 Naive,CD8 Naive,CD4 TCM,CD16 Mono,NK,CD8 TEM_1,CD8 TEM_2,Intermediate B,Memory B,CD4 TEM,cDC,Treg,gdT,MAIT,Naive B
spot_0000,0.7026071143550079,0.05154988535149815,0.0933610217063535,0.040498244428029496,0.03192320590350597,0.002793261698269583,0.0037125639786738636,0.0019030628812766576,0.0009349789088307784,0.0009870161257821677,0.019725835277930173,0.0342252904021794,0.006481361903597466,0.0016821052997670275,0.006397506271718947,0.0012175455075789034
spot_0001,0.46879208319111,0.004343107240663019,0.0029844254095872623,0.05448061987293302,0.03530998747212696,0.0023289502545582063,0.019474892502091223,0.0036632565614071614,0.058877866000110364,0.0176526739287114,0.18305711036401545,0.02751159781859156,0.02950533456100334,0.006027529887222948,0.038064813593425714,0.04792575134244239
spot_0002,0.16777634831856764,0.1558618542052546,0.2176379950683373,0.04184466935417249,0.006326950940031022,0.005418428576860097,0.015265091589054421,0.008255717029354922,0.013967662025239391,0.02272365149393444,0.1729753684184269,0.01336107705074858,0.10813193699366827,0.02771619255903373,0.007777383063552973,0.014959673313763194
spot_0003,0.40149228692093564,0.20557194697573483,0.040519778732699144,0.15825103277118024,0.023618541261766757,0.0015367378687186617,0.0034624682199602256,0.0023015537459634278,0.058083218107131955,0.005683073035898473,0.013420252692544238,0.041372253514227776,0.02823924021740474,0.0021272999220122214,0.002894500494843188,0.011425815518978479
spot_0004,0.2054736400696554,0.12200965289191926,0.17318177435333668,0.018536476514240032,0.04866053199467629,0.0234822927091093,0.010936612909682845,0.029639437829351415,0.21732583983974085,0.04893372485825603,0.013089945533308892,0.028718870285971237,0.010016289595934206,0.034564502513068855,0.006430116775835911,0.00900029132591278
spot_0005,0.2734500722583151,0.009798425672062315,0.1795634126616005,0.053524837174283316,0.09077647727725101,0.03520944426065356,0.065313890352383,0.024650190423623417,0.0023157915425540887,0.004122499873495409,0.048560564604660864,0.07297339444897932,0.014005132909256961,0.016746553508049714,0.10741695405319789,0.001572358979633562
spot_0006,0.3026216144275582,0.17413507941960868,0.15133298938134088,0.039377323898555826,0.00759391792948068,0.03713446091892076,0.007813976530620968,0.007086376227586275,0.16400490946427046,0.01815407059513345,0.0195345664077027,0.011023067341407117,0.019340005120591378,0.004950160844222482,0.007741207578735805,0.028156273914264326
spot_0007,0.4125166181639177,0.329181531871422,0.07226467642430301,0.02363022927445969,0.022938046735414126,0.0009097817564553635,0.0024129961674253402,0.0009495185032717378,0.005576107550792513,0.006456500899655761,0.006217943981400791,0.07179243090429882,0.03171665498969932,0.001055938465333458,0.0010545320205653567,0.011326492291584974
spot_0008,0.630574641765485,0.03016406265518892,0.20332639477543196,0.02169320577113254,0.047327914408254596,0.001553400147269589,0.004123758505387835,0.002607714983459046,0.0012719982830954259,0.0016423385034057185,0.02532798421221732,0.010710703542695587,0.012489059783647323,0.0022033195846663882,0.003377787271906927,0.001605715806755902
spot_0009,0.3078768558630296,0.19559272397389957,0.11751313536647055,0.052239376480085566,0.07594339943407943,0.0049278963971229215,0.04745948546319332,0.0060937357718948365,0.0067511915108758695,0.03306721687252974,0.029921029301787787,0.020004373201783866,0.007636654642596989,0.013330519547359965,0.006155192978090994,0.07548721319519898
spot_0010,0.48279221112822,0.19582208985025626,0.04349726300504807,0.012398788736009914,0.019371583123711556,0.09132997630940597,0.00931817148206996,0.00532204712004936,0.002688414200034649,0.003415573425801431,0.01508194810695645,0.02812169881109415,0.06777607213775663,0.0047353700020038155,0.016138990227016665,0.002189802334565087
spot_0011,0.03580686777961854,0.07470165302931028,0.35855454529397723,0.1827805288239984,0.01461339262253157,0.0040478511829763,0.06199099564404244,0.07602117442654731,0.023287854762525685,0.003912021811641378,0.045107193251245015,0.00327745882548775,0.028834787033585284,0.026306071739764805,0.013270048117167654,0.047487555655580334
spot_0012,0.3901735912252247,0.13405000376500326,0.016455351523576585,0.16698365935756335,0.04202416487891745,0.0012694563558308606,0.0029148270634871865,0.0016151510890873096,0.07368950024030838,0.012801737274691702,0.01531735391186012,0.009144444514800561,0.11718144445718702,0.0011831749785693765,0.0015797695296550427,0.01361636983423711
spot_0013,0.16720650677387244,0.1443309382157384,0.32647479739301477,0.03263050890722496,0.026647034730667644,0.00864345923342943,0.007917632832825388,0.003981762675966842,0.03960548374738109,0.024213034652290726,0.0949412926980274,0.016259930734499686,0.009096452914413541,0.00697062953139771,0.07003040556925216,0.02105012938999783
spot_0014,0.4648028883191714,0.00819614193151855,0.003053873741826122,0.0023003990752258367,0.17738400698144982,0.10136772364673856,0.0018440275350328948,0.00243094648722663,0.07885728926346519,0.08555833926610608,0.0014171545106426865,0.05001964775398907,0.0028865886347034845,0.0031132996052296268,0.0011811223650627389,0.01558655088261132
spot_0015,0.28768992543634353,0.1548907655088745,0.14058592033831765,0.10546651568280371,0.006226243708051282,0.004869527512002024,0.029608868944719747,0.030996812266005293,0.017869920083023252,0.06119971182185633,0.005977292108508827,0.004131627427499466,0.039360907099346774,0.02490917402422715,0.010868956179518495,0.07534783185890198
spot_0016,0.2894383677147784,0.20767240456497188,0.088338574997285,0.13307342456019594,0.011240287713222887,0.012469207834472312,0.09355463812868889,0.04466496055801685,0.0007096374300689399,0.0007067275854475828,0.043230606148071234,0.0027398535420191878,0.0170361115334217,0.038043800488793966,0.01644565243812424,0.0006357447624210051
spot_0017,0.31922122653696844,0.204555724214716,0.046165589784508125,0.012008422657414185,0.1306530787973655,0.09915964246846573,0.010920162427976339,0.005969488357604977,0.025037927903528656,0.027335183631294186,0.06994317674220447,0.005338752084795317,0.00905681552638742,0.004088010349960622,0.020499920929337334,0.01004687758747268
spot_0018,0.0011845444428768544,0.05460259788496126,0.2625737276897831,0.168593730605578,0.0013540755257630361,0.011009502674159833,0.1233098493751189,0.028620372334332844,0.039793101474661106,0.17449318306958583,0.0343049757391353,0.0009594844336084362,0.027771651250593516,0.012568757516647025,0.037450960230154894,0.021409485753040084
spot_0019,0.25312804804349653,0.25374620053536734,0.10456864098501581,0.10150131565591361,0.056254055351340766,0.018071945966469077,0.014350824176571257,0.05955819971552879,0.001367646703499424,0.0017943406136720274,0.008732388678124762,0.06996533301688783,0.019127787956908497,0.03250141491751577,0.004050706434065385,0.0012811512496231335
spot_0020,0.36947897615473435,0.06671720453892482,0.13631193601040106,0.0789666730674742,0.009147346344591481,0.016419782167891837,0.08429409370573547,0.05985080791894005,0.000985834685504028,0.0011701214354890028,0.008728245319701108,0.07689492330298271,0.05663859973184069,0.028741018670554775,0.004762789143266353,0.0008916478019680318
spot_0021,0.27587412091482794,0.07447716858800255,0.10960930108233435,0.30795724159691673,0.021408827958121966,0.0046731357723510634,0.008866351817877484,0.004814732888506822,0.0009774924771483336,0.0010566909694976465,0.07834622108021572,0.003045772571301228,0.023002306819014027,0.00846351786902638,0.07667407923873173,0.0007530383561260174
spot_0022,0.1924530247181714,0.09334404877436052,0.07350700449286915,0.17171736187727094,0.018762109274877058,0.010020539001761974,0.028541997542443062,0.004300240745534369,0.17106209041439252,0.0539852208588429,0.056708967975054786,0.027449006566325082,0.032997483763931586,0.0047202593446158455,0.032833593066346214,0.027597051583202574
spot_0023,0.21185453582009767,0.16078297675836004,0.223950014633577,0.2121967294146492,0.05882378006092055,0.0014159672838378607,0.015978033049362333,0.0023805961216704402,0.018703670656871996,0.0045165030847749065,0.015019868989279954,0.038086121936056275,0.01697662027645247,0.001955946942347197,0.009431459574534142,0.007927175397207947
spot_0024,0.42328324346666774,0.07785728827348103,0.024442753897104288,0.057137444024742544,0.14522873251968096,0.002442715681262032,0.010767928810054563,0.04880994515545676,0.0009066285880305229,0.000758785625495485,0.0865884042570046,0.08178966274071417,0.01905601790297818,0.006354987747818626,0.013533667474649803,0.001041793834858686
spot_0025,0.493536396257776,0.09647818513705272,0.15671329427939173,0.0461404424665141,0.013672634897809727,0.0014604692183726182,0.0030741536605651916,0.0020789073333700118,0.01250436369306987,0.050235845097401595,0.0077954370084252576,0.03771716856591692,0.066105440353001,0.0016358669509495946,0.003945826809406267,0.006905568270977387
spot_0026,0.2826976266534854,0.05527850840111212,0.33237344011633707,0.004935947322001441,0.11046963477618205,0.004784568772451475,0.045971632033376286,0.015775068011749896,0.00820049776736381,0.059392859102688884,0.0037891358127789447,0.025950014058728602,0.0035957890934417624,0.032707344691308114,0.004927628138182899,0.00915030524881121
