spot_id,CD14 Mono,CD4 Naive,CD8 Naive
spot_0000,2.304971677147382,2.5828481376108883,2.640024606335364
spot_0001,4.846095905229743,2.263952851074143,2.4838677101567055
spot_0002,2.5132157492413305,3.1856403339148422,2.4161004177577516
spot_0003,1.3563207568284725,6.615876534139902,3.515037277340614
spot_0004,0.32020643502869583,3.372176502001902,4.104086876891106
spot_0005,5.8921274093119616,3.0817387655595017,2.96304211273422
spot_0006,2.207308151150034,2.215491162879084,2.5292644794108274
spot_0007,7.575523792268222,3.8746364840720893,2.2388104655177368
spot_0008,2.3534309213685547,3.5629166267005252,3.488588053921117
spot_0009,3.582804592006373,1.3745786011212733,0.9112422120360728
spot_0010,2.6749958476866698,2.2294209792231707,1.912965216877674
spot_0011,3.203752114802323,2.483181644659109,3.2903172846215845
spot_0012,1.271715238585303,2.4392536999499015,2.5944700010269752
spot_0013,1.128545447169147,2.979979833147006,1.5977428074620803
spot_0014,4.879919335014767,1.7124260652609944,2.129962944415601
spot_0015,4.454059152139849,3.238993077481574,3.1726537143080487
spot_0016,3.6316261736290163,6.69712416422303,6.601496468037801
spot_0017,1.6232518182735154,1.6574847587432802,2.022890347809511
spot_0018,3.6209487839625765,4.58824342749549,4.603140877059115
spot_0019,4.301859334165351,3.0776670714082957,3.4933581341975435
spot_0020,4.156453787441355,3.663372036075629,4.860415524001149
spot_0021,3.124804857897782,1.7791443213293858,1.5332961290901552
spot_0022,2.1280757227459546,2.5349593842100173,4.407457334017401
spot_0023,3.968988534936583,3.135322338058613,2.813916552703556
spot_0024,2.7130678864762645,2.0726694815071998,2.104024055105394
spot_0025,0.12198719789318051,4.578446602657443,3.979719189059215
spot_0026,4.867493893183505,4.3458797252570385,1.8438364120307735
spot_0027,3.155673870406256,4.714474795403469,3.826505909520804
spot_0028,2.0017442384602444,2.063574618789527,1.6558284903562077
spot_0029,5.596595539901506,2.8468446206624884,3.302623366842427
spot_0030,4.819482645758444,2.683301145413164,2.3458116130074664
spot_0031,2.226188611547965,5.491625578431365,4.811184637894469
spot_0032,4.002880343756812,4.146287020780701,3.2018555517985
spot_0033,1.9768736708583146,3.581975116273135,3.3126132517394327
spot_0034,8.03774195885274,2.394639306335674,3.209360233440996
spot_0035,1.5371512572234232,4.106242373296092,3.068520377836114
spot_0036,0.06311451068293483,3.1135790100655347,3.702309405847871
spot_0037,3.610794107501742,2.90899688888956,2.5770420476021147
spot_0038,1.8146896898016547,1.2889606227979322,1.6556334430871764
spot_0039,1.6005803183512946,2.8881618063595353,4.361065507093639
spot_0040,5.027896088461014,4.32844538470078,4.296987441276122
spot_0041,2.176456561166031,1.9755695274966696,0.9679359814836396
spot_0042,1.28574745439127,1.4511291719781343,1.4981906856303182
spot_0043,2.084823270124839,3.7231708805520225,3.54712529608887
spot_0044,4.531317948965721,3.4806473256683192,2.5195550873163346
spot_0045,8.244795988167105,5.482603050208759,3.848260397298058
spot_0046,3.850058236204996,3.9357230849099243,3.3013438112493634
spot_0047,3.5753720955391928,2.955668979868143,3.754221864032338
spot_0048,3.519112538931537,4.878808867022487,4.618406380217229
spot_0049,2.7823330795108654,0.9832039340591261,1.7596259092966984
spot_0050,1.876804152663067,3.640662887317732,3.400538146183009
spot_0051,1.2617205494890475,2.8226157676217625,3.905550331125737
spot_0052,5.044151564047219,3.1236693997010048,2.189394269130585
spot_0053,4.959524999163951,2.5262348967192767,3.5869229581967517
spot_0054,5.547473720650214,2.442972273628967,2.4800889875863077
spot_0055,1.2215524903986483,3.437473117774463,3.720781820225738
spot_0056,2.255037387273365,1.7870434928465733,2.0215995548186947
spot_0057,2.275746852522895,1.2952846506533628,2.350597666491823
spot_0058,0.6770100987845395,0.9246647974394414,0.6874412026076425
spot_0059,1.6088424864553263,3.3384257089732565,3.205317520963352
spot_0060,6.72393999654156,1.4373595093444702,1.6122024269177118
spot_0061,4.796821756528397,2.7086332653634697,2.8457154549324253
spot_0062,5.257741151579626,4.611078808112318,3.793025748495541
spot_0063,2.994569965147851,4.525148339646443,4.409432030211579
spot_0064,3.7332245570963583,4.497007407153361,3.3632674732220025
spot_0065,4.170005382757794,1.3333521165172668,1.3311666850246782
spot_0066,0.9294759368701656,4.442827334294557,4.235911564522902
spot_0067,0.05209565713521575,2.0791799515997496,2.0019880484079664
spot_0068,2.9040533013047702,4.208816844456526,3.4956058904846503
spot_0069,4.835726373800336,1.7565479686028005,1.4387438855514456
