restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,1103,401,0,0]",True,objective_patience,302,-12702095.05859375,-22797413.9375,-35877.120361328125,-35535386.11645508,[],178.03660387099808,302,17.994293212890625,303,False
1,"[20260822,1103,401,0,1]",True,objective_patience,380,-12702076.2265625,-22797447.3203125,-35871.92431640625,-35535395.471191406,[],224.27268773999822,380,24.755449295043945,381,False
2,"[20260822,1103,401,0,2]",True,objective_patience,462,-12702047.15234375,-22797418.3203125,-35908.58935546875,-35535374.06201172,[],274.3784442679971,462,26.848400115966797,463,True
