dataset_id,cell_type,undirected_edges,boundary_edge_quantile,length_boundary_edges,count_boundary_edges,boundary_edge_jaccard,interpretation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Excitatory neurons,8457,0.9,846,846,0.36012861736334406,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Inhibitory neurons,8457,0.9,846,846,0.451114922813036,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Other neurons,8457,0.9,846,846,0.38235294117647056,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Astroglia/ependymal,8457,0.9,846,846,0.8634361233480177,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Oligodendrocytes,8457,0.9,846,846,0.9183673469387755,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,OPCs,8457,0.9,846,846,0.9032620922384702,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Microglia/macrophages,8457,0.9,846,846,0.8351409978308026,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Other immune,8457,0.9,846,846,0.504,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Vascular/stromal,8457,0.9,846,846,0.6068376068376068,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Mesenchymal,32193,0.9,3220,3220,0.61,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Chondro-osteogenic,32193,0.9,3220,3220,0.6775201875488408,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Muscle,32193,0.9,3220,3220,0.7046056114346215,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Endothelial,32193,0.9,3220,3220,0.7311827956989247,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Epithelial,32193,0.9,3220,3220,0.6783945790982538,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Hepatocyte,32193,0.9,3220,3220,0.724692019282271,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Erythroid,32193,0.9,3220,3220,0.9058893163657887,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Immune,32193,0.9,3220,3220,0.5916955017301038,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Neural progenitor/regional CNS,32193,0.9,3220,3220,0.7993853031573065,paired_method_boundary_agreement_descriptive
