dataset_id,method_id,cell_type,spots,undirected_edges,mean_neighbor_absolute_difference,median_neighbor_absolute_difference,morans_i_knn,interpretation
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Excitatory neurons,2500,8457,0.10074512423329426,0.068849847593235,0.25949950424561363,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Inhibitory neurons,2500,8457,0.08267906351573281,0.05338691840996329,0.2754555264262727,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Other neurons,2500,8457,0.02288185453675022,0.015491360892683999,0.17185885592137592,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Astroglia/ependymal,2500,8457,0.11129221900990663,0.0648654815367073,0.20092691182429004,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Oligodendrocytes,2500,8457,0.08755059352243706,0.045012072459591594,0.25988641245543664,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,OPCs,2500,8457,0.0756348036254501,0.03971914576472399,0.1093824225544162,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Microglia/macrophages,2500,8457,0.07795798923160698,0.044327737814003315,0.0692290284607808,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Other immune,2500,8457,0.023036809972389174,0.0156095946802674,0.14720534643380118,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_length,Vascular/stromal,2500,8457,0.12293237941733526,0.09742424948128409,0.09035609647084418,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Excitatory neurons,2500,8457,0.054619049028628484,0.03775994418102621,0.17929938894437836,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Inhibitory neurons,2500,8457,0.11362568728743652,0.07661926192726715,0.29961289794191476,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Other neurons,2500,8457,0.021799816009480496,0.015593948358583801,0.20222104211945371,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Astroglia/ependymal,2500,8457,0.12200420193530047,0.0729490405352842,0.2086665875328865,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Oligodendrocytes,2500,8457,0.08909865463286663,0.0464029276105961,0.2580260335143342,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,OPCs,2500,8457,0.07735839606017991,0.0405499515972937,0.11270384713627947,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Microglia/macrophages,2500,8457,0.0731587159131699,0.0410271552054384,0.04714880817052232,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Other immune,2500,8457,0.03107940717536367,0.021409073031575,0.16389605802639626,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,shapemix_count_only,Vascular/stromal,2500,8457,0.12548265147648696,0.097561580477056,0.08054802435801112,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Excitatory neurons,2500,8457,0.007364360919475334,0.0,0.006451069616652905,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Inhibitory neurons,2500,8457,0.07751420863091345,0.0,0.05189559376590434,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Other neurons,2500,8457,0.20686985591264936,0.1535449906741855,0.06106604719896646,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Astroglia/ependymal,2500,8457,0.09443868992339108,0.0317195703796062,0.14987986835141548,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Oligodendrocytes,2500,8457,0.0808794559148369,0.0052098918447041,0.12601790559708653,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,OPCs,2500,8457,0.05550822882511585,0.0,0.05553340722672712,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Microglia/macrophages,2500,8457,0.2346135976365819,0.19801986599264249,0.08216614703232311,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Other immune,2500,8457,0.11816812881634138,0.0929285003712338,0.11832612873650736,descriptive_no_spatial_prior
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,nnls,Vascular/stromal,2500,8457,0.034133340404836725,0.0,0.014707591452761744,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Mesenchymal,9901,32193,0.028611044117320777,0.019345773762047498,0.5626443174304927,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Chondro-osteogenic,9901,32193,0.03904164714215426,0.023602122683848314,0.5471536742715524,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Muscle,9901,32193,0.05149395036818193,0.0324668084626767,0.43704758100717495,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Endothelial,9901,32193,0.04994860693603753,0.03499563474218491,0.22878256487626972,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Epithelial,9901,32193,0.034975197366527946,0.0210656027005087,0.3461661210021844,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Hepatocyte,9901,32193,0.03452683206927035,0.0251347669046859,0.1482257605536609,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Erythroid,9901,32193,0.06485274619291259,0.04391661085186671,0.8898483577783353,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Immune,9901,32193,0.03283976938406189,0.022416185688579296,0.1259575714278961,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Neural progenitor/regional CNS,9901,32193,0.03377674588698633,0.020820591817959894,0.7057832617238632,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Excitatory neuron,9901,32193,0.021341572635756215,0.012822315563222803,0.669065700451318,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Inhibitory neuron,9901,32193,0.01973301625273115,0.012203469139255699,0.6732374641875476,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_length,Peripheral/sensory/motor neural,9901,32193,0.0234229906965568,0.015772622625420604,0.4014712329510755,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Mesenchymal,9901,32193,0.027836789775803804,0.019080232348761002,0.582191963049593,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Chondro-osteogenic,9901,32193,0.03664219613332942,0.022489206900848796,0.5618484766136503,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Muscle,9901,32193,0.051132353186472176,0.032534110828622204,0.45129930227769005,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Endothelial,9901,32193,0.049736835574144454,0.0346215052767108,0.23245199335071096,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Epithelial,9901,32193,0.03448255144350491,0.020711957394060898,0.3511122364646239,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Hepatocyte,9901,32193,0.03601782827672389,0.0262307153965649,0.14795866913585318,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Erythroid,9901,32193,0.06444692519883383,0.04344868685812228,0.8892239220320888,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Immune,9901,32193,0.03219898240647984,0.022401420181100792,0.13072783792215048,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Neural progenitor/regional CNS,9901,32193,0.034142971504462216,0.0210498928228074,0.7069636490163871,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Excitatory neuron,9901,32193,0.02047942926421113,0.012386282810281993,0.6840688681021246,descriptive_no_spatial_prior
gse205055_shapemix_mouse_embryo_e13_25um_v1,shapemix_count_only,Inhibitory neuron,9901,32193,0.018687302094789287,0.011759397659038003,0.6773316729707481,descriptive_no_spatial_prior
