dataset_id,cell_type,spots,pearson_r,spearman_r,constant_map,mean_absolute_difference,median_absolute_difference,maximum_absolute_difference,mean_length_minus_count_only,evidence_class
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Excitatory neurons,2500,0.8113335704454532,0.8210929536468727,False,0.06857331057412733,0.037818651148346996,0.38252857052136535,0.06790475411807113,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Inhibitory neurons,2500,0.8602900570650643,0.8385240504518481,False,0.05744607140063464,0.029187589025101653,0.37543741037981426,-0.052088404523707325,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Other neurons,2500,0.8367517216678224,0.8912098081295694,False,0.00863449901596617,0.005092405729718651,0.1438646831658032,-0.0009978202783142084,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Astroglia/ependymal,2500,0.9943179804522173,0.9909462585194014,False,0.01925521786499353,0.013964929546614253,0.1162442152051947,-0.01811811465171035,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Oligodendrocytes,2500,0.9966655804219009,0.991691424462628,False,0.006758343022018468,0.0043243288667522,0.065316950205622,-0.002943087541351688,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,OPCs,2500,0.9947904611958123,0.9889265733322519,False,0.006885200905356905,0.004327623603451852,0.0768526613368044,-0.002815022912149896,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Microglia/macrophages,2500,0.9816034369486856,0.9730744118199061,False,0.010500560638408584,0.005847445241534299,0.21134496343668913,0.0059387453966507665,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Other immune,2500,0.9550698734756198,0.9109111655217866,False,0.014306864687025564,0.01059506024262965,0.21441052048536163,-0.013446397466553062,paired_prediction_map_stability
gse205055_shapemix_mouse_brain_p21_20um_primary_v1,Vascular/stromal,2500,0.9438962858852009,0.9270088950734232,False,0.034175177859006256,0.02818276615690684,0.20218744116856718,0.016565347859064626,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Mesenchymal,9901,0.974603605895123,0.9881454267837887,False,0.00566499763190266,0.0028729896837167007,0.115381695803982,-0.0003151036741874075,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Chondro-osteogenic,9901,0.9823800066200704,0.9911391048990386,False,0.006781529111915768,0.003121243865385301,0.11253681038181271,0.002337849565289413,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Muscle,9901,0.9825292062264364,0.9824018508524046,False,0.008519539554424695,0.004906166722775801,0.11874250015012539,-0.0010310531161738055,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Endothelial,9901,0.9815194243825663,0.981895632444905,False,0.0072754784153866705,0.004651914412628799,0.0827996430880677,-0.0005430611805284817,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Epithelial,9901,0.9724771770513052,0.971626280866451,False,0.006998246567977325,0.0041062416621147,0.10465992487016804,-0.0010014324219113,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Hepatocyte,9901,0.97781800946084,0.9778933386877011,False,0.0059874266518135655,0.004070343185885998,0.06446480480024339,-0.00334653340482013,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Erythroid,9901,0.9996053630528248,0.9975977705007466,False,0.004640457329229491,0.0035914218393818254,0.037428450562489,0.0013912194826543342,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Immune,9901,0.9413429476635886,0.9485376766067999,False,0.008133864858653478,0.005313468294688498,0.08483504251549578,-0.0014610147045154831,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Neural progenitor/regional CNS,9901,0.9957717228115687,0.9907833646265618,False,0.004001887545294841,0.0021927183310654005,0.10161327743345838,-0.0011657359712244242,paired_prediction_map_stability
gse205055_shapemix_mouse_embryo_e13_25um_v1,Excitatory neuron,9901,0.9817859602859598,0.9907828808027801,False,0.0037856133994762504,0.0017999828395532033,0.15219208013596122,0.0008568157613502246,paired_prediction_map_stability
