pair_id,left_dataset_id,right_dataset_id,method_id,cell_type,shared_spots,spearman_r,constant_map,mean_absolute_difference,interpretation
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Excitatory neurons,2500,0.058271758187481315,False,0.11660393354118127,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Inhibitory neurons,2500,0.024737403765984607,False,0.09185117454731279,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Other neurons,2500,0.07066682628269222,False,0.023593429469442553,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Astroglia/ependymal,2500,-0.021896455343432857,False,0.1403623294438088,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Oligodendrocytes,2500,0.11514506725521077,False,0.09334522920241548,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,OPCs,2500,0.06750991646558666,False,0.0830525442686737,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Microglia/macrophages,2500,0.01939851804776289,False,0.0774415844795923,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Other immune,2500,-0.016623163747706202,False,0.023670757520339935,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_length,Vascular/stromal,2500,0.02433198648511784,False,0.12359679287541367,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Excitatory neurons,2500,0.05864233975077437,False,0.062471600683813064,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Inhibitory neurons,2500,0.013237728582036576,False,0.12866468122848165,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Other neurons,2500,0.08185449834471974,False,0.023541853058425346,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Astroglia/ependymal,2500,-0.022136457685833232,False,0.15258849507890831,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Oligodendrocytes,2500,0.11397989894078385,False,0.09464628956857,descriptive_independent_section_consistency
