restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,1103,101,0,0]",True,objective_patience,617,-12543891.86328125,-13158262.30859375,-36867.007080078125,-25739021.178955078,[],949.4174790419638,617,25.03544044494629,618,True
1,"[20260822,1103,101,0,1]",True,objective_patience,559,-12543907.9921875,-13158277.3984375,-36859.5283203125,-25739044.918945312,[],939.5660945419222,559,30.935457229614258,560,False
2,"[20260822,1103,101,0,2]",True,objective_patience,568,-12543889.8046875,-13158290.23828125,-36861.1630859375,-25739041.206054688,[],954.8051804588176,568,31.26310920715332,569,False
