,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
0,0.022893203,0.0055519617,0.004550043,0.6381224,0.09411205,0.0071755457,0.13480258,1.015188,0.18225951,0.58586353,0.035031546,0.77023965,0.9507737
1,0.020326816,0.0056803157,0.0019398337,0.3851952,1.5711365,0.011019104,0.09157105,0.014418481,0.5159797,0.004758715,0.6424825,0.65288275,1.2849264
2,0.06412094,0.0059318803,0.0043905503,0.20260847,0.52054924,1.7020099,0.7308756,2.6887312,0.041892596,0.33702746,0.028170876,0.09547611,0.27048874
3,0.15826596,0.5727333,1.3817196,1.7062426,0.2737623,0.04686171,1.126175,0.075675204,0.30298066,0.6039266,0.025566716,0.2731146,0.4067111
4,0.013463868,0.0024200673,0.087058336,1.5106814,0.022629056,0.15106815,0.028710663,0.05145402,0.7387177,0.095384166,1.8270589,0.02711895,0.35315028
5,0.030686589,0.007404634,0.016492825,0.07213252,0.6340875,0.96387696,0.32955393,0.22538778,0.8935347,0.69438124,0.9031934,1.3782588,0.14854331
6,0.036952388,0.004938783,0.15325971,0.3033007,1.7141206,1.1445482,0.13257998,2.0767193,0.03874625,0.020628745,0.8758254,0.29861298,0.6102372
7,0.053654313,0.006746983,0.40798202,0.017439779,1.4837588,0.33529302,1.7361271,0.6672334,0.6024826,0.56749064,0.5737899,0.121589765,0.061319195
8,0.05092704,0.006029201,0.0030231918,0.4251246,0.10438352,0.0798595,0.6850236,0.32012898,0.5632623,0.027604314,1.0116206,0.22302225,0.9449699
9,0.02507928,0.115501456,0.016885588,0.023355236,0.5619903,0.7218254,0.7491813,0.78138924,0.6906542,0.90901977,0.9718309,0.048813533,0.09746361
10,0.099408485,0.0073989932,0.008035789,0.47276694,0.96189636,1.7456139,0.30708537,0.032283727,0.5731119,1.7204198,0.027564947,0.25361302,0.050641596
11,0.01372947,0.0037881867,0.0042113997,0.43866363,0.047213096,0.03328357,0.14644516,0.7286418,0.7630534,0.011046419,0.46790665,0.05725832,1.8280082
12,0.021592196,0.008403277,0.0064503374,0.009408713,1.0587579,0.49104294,0.23695762,0.10070464,0.52350754,0.30291748,1.9787287,0.20430256,0.61704534
13,0.04276473,0.006533483,0.0117717525,0.66658336,0.5915217,0.08405144,0.26200986,2.0252335,0.020198995,0.17473365,0.10024114,0.8020433,1.3204628
14,0.042511526,0.021358222,0.011577337,0.0150322635,0.09661637,1.0872582,0.9631103,0.2999033,0.023129499,0.4482771,0.53880155,0.5810322,1.094544
15,0.025600618,0.005218146,0.0031204666,0.32276437,0.14340937,0.5773986,0.5877868,0.26406354,0.455796,0.5836458,0.41627803,0.07642071,0.5196944
