component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
total_count,,,5120000,3775898.0,5120000.0,17582631.0,17680244.219172858,-97613.2191728577,8571028.88478368,28451434.352252897,1.6740290790593124,2.357312192291126
shape_bin,short,fragment_length_lt_100,5120000,,,9498023.0,9555902.225181723,-57879.22518172301,6146174.178060141,15212156.359104106,1.2004246441523714,1.7236949523878988
shape_bin,mono,fragment_length_100_249,5120000,,,5783262.0,5817848.946876929,-34586.94687692914,4735340.6232318645,8836299.913448665,0.9248712154749735,1.3137122313678298
shape_bin,long,fragment_length_ge_250,5120000,,,2301346.0,2306493.047114201,-5147.04711420089,2650290.044906054,3113282.641167675,0.5176347743957137,0.7797839546009276
