restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,1103,307,0,0]",True,objective_patience,349,-12551961.10546875,-13229691.40234375,-37222.32666015625,-25818874.834472656,[],201.5334630460129,349,14.164164543151855,350,True
1,"[20260822,1103,307,0,1]",True,objective_patience,394,-12551984.54296875,-13229725.703125,-37196.43212890625,-25818906.678222656,[],227.05913150502602,394,30.284460067749023,395,False
2,"[20260822,1103,307,0,2]",True,objective_patience,418,-12551989.25,-13229717.8203125,-37205.36376953125,-25818912.43408203,[],239.10514124901965,418,32.97209548950195,419,False
