,meanscell_abundance_w_sf_T_CD4,meanscell_abundance_w_sf_T_CD8,meanscell_abundance_w_sf_T_reg,meanscell_abundance_w_sf_mDC,meanscell_abundance_w_sf_mono-mac,meanscell_abundance_w_sf_myeloid,meanscell_abundance_w_sf_pDC,meanscell_abundance_w_sf_plasma,meanscell_abundance_w_sf_tumour_1,meanscell_abundance_w_sf_tumour_2
0,0.5178863,0.5001499,0.51009244,0.5678973,0.51541185,0.5234201,0.52205384,0.5203917,1.1940767,0.8469374
1,0.580532,0.62651473,0.6991976,0.7552761,1.1823833,0.5090339,0.5291805,0.62781435,1.1717995,0.91409713
2,0.5091843,0.5052834,0.5046394,0.53918594,0.50972176,0.5053459,0.5138697,0.5136234,0.7555557,0.6337276
3,0.5974669,0.6242941,0.5885934,0.5382321,0.65058327,0.57215464,0.5266256,0.550442,0.47523743,0.48270622
4,0.49337685,0.48989245,0.5109791,0.5433575,0.49919063,0.50022113,0.5222754,0.52073205,0.8836077,1.624361
5,0.54336596,0.5945764,0.5921284,0.9469626,0.49842802,0.5160389,0.59187186,0.5391112,0.81455374,1.413982
6,0.98312247,0.6105739,0.5720565,0.5745315,0.52638125,0.5487181,0.52902436,0.5318946,1.3641018,1.012959
7,0.44665924,0.45071656,0.44793794,0.45012704,0.44693106,0.4506405,0.46168366,0.44761407,0.4384618,0.44146168
8,0.47312203,0.4645149,0.47274536,0.47855031,0.50563616,0.47437835,0.48775223,0.4775857,0.4586242,0.45821956
9,0.50369173,0.5117394,0.5138879,0.5169981,0.5069882,0.509157,0.5120291,0.51449895,0.622873,0.60262096
10,0.45929363,0.4555842,0.45993692,0.4615854,0.4605523,0.4627048,0.4728351,0.46146324,0.46227172,0.46286735
11,0.4854156,0.48772016,0.49409518,0.4928127,0.5568797,0.4853625,0.5032763,0.48872116,0.4637643,0.4629852
12,1.2602195,1.4154917,1.2020941,1.0643824,0.59200996,0.9382789,1.4888101,0.8512239,0.64564407,0.9541369
13,0.55754894,0.57017523,0.5548782,0.5527336,0.51553583,0.5442232,0.52729124,0.5547056,0.61399406,0.8240035
14,0.5063118,0.49704596,0.5052792,0.5443801,0.50504404,0.5069022,0.5145481,0.5138162,0.58740777,0.86266655
15,0.4480822,0.44549158,0.4492139,0.45161226,0.44803894,0.45274588,0.46279332,0.44869736,0.44269693,0.4452398
16,0.45420748,0.44887272,0.45342115,0.45701116,0.45050654,0.45316756,0.46514818,0.45629784,0.4407501,0.4462099
17,0.46010792,0.45581988,0.45763996,0.46305218,0.4536421,0.46095416,0.47104755,0.46371537,0.45048863,0.45712644
18,0.5177745,0.510365,0.521007,0.52827847,0.51035875,0.51088244,0.53028065,0.51817036,0.60373026,0.5667515
19,0.45922264,0.4571096,0.4636877,0.45792797,0.45379815,0.4594603,0.47176814,0.4569368,0.44374323,0.44613084
20,0.586155,0.7251522,0.62537324,0.57887006,0.5282817,0.5922642,0.5424158,0.5681128,1.0746273,0.82128114
21,0.44686005,0.44361666,0.44741544,0.44739234,0.44865727,0.4507179,0.4617131,0.445767,0.43857688,0.4408333
22,0.46198815,0.46078137,0.46674123,0.46888337,0.46126428,0.46508822,0.47703785,0.4642308,0.46917528,0.4697933
23,0.52892,0.529111,0.52803916,0.5475319,0.5220048,0.5197512,0.5320216,0.5324067,0.6706888,0.59373075
24,0.49191716,0.49049625,0.4936866,0.49640703,0.48430973,0.48786372,0.50283355,0.5387707,0.48680985,0.5011468
25,0.46620393,0.46496466,0.46289802,0.45740688,0.45248273,0.46596107,0.47043875,0.45828798,0.44734687,0.44826034
26,1.0207824,1.4433783,1.1186899,0.6018571,0.48747867,0.9004298,0.53824216,0.6575422,0.8445574,1.258479
27,0.454481,0.45501432,0.4605398,0.46645784,0.4578004,0.46049452,0.4735015,0.45886654,0.4687552,0.48170695
28,0.4647953,0.46058694,0.46116623,0.47135365,0.4637303,0.46292353,0.4744706,0.4666736,0.46742627,0.4726183
29,0.5222207,0.5027319,0.5135108,0.5728149,0.57320833,0.51614946,0.5241201,0.5142839,1.3117727,0.898397
30,0.4799757,0.4869472,0.48331153,0.47315893,0.4669577,0.4804521,0.48934808,0.47333685,0.46002123,0.45822442
31,1.0623893,1.5256046,0.99935955,0.65412176,0.7149221,0.6888431,0.58358306,0.6580797,0.8572938,0.63649315
32,0.73630065,1.1066251,0.758433,0.60417145,1.2594575,0.7964548,0.53491706,0.62682277,0.9925723,0.7831718
33,0.48216876,0.47569624,0.47857153,0.49257627,0.5564426,0.47799128,0.4912874,0.48370102,0.46927783,0.466602
34,0.5730251,0.5840335,0.64464915,0.5938479,0.5424253,0.55789036,0.54171544,0.57291156,0.8495782,0.6855859
35,0.4597114,0.4551321,0.46056262,0.46332273,0.4581508,0.46188724,0.47237614,0.45919555,0.46051273,0.4574332
36,0.4889101,0.49359226,0.49384958,0.4787797,0.47329095,0.49260685,0.49175295,0.5274358,0.45568153,0.45665693
37,0.4606585,0.45962086,0.45855957,0.46110964,0.45816615,0.4632189,0.47330898,0.46157077,0.45575854,0.46470994
38,0.6658279,0.64019924,0.5712688,0.51453304,0.52974075,0.5722921,0.531864,0.5359059,0.47279316,0.47781038
39,1.0830015,1.6126227,1.2117529,0.63952875,0.5413696,0.67437935,0.5747036,0.66621864,0.5953783,1.028826
40,0.5236741,0.5582504,0.5274958,0.500158,0.48544824,0.5219505,0.50603986,0.5047769,0.46614435,0.46388423
41,0.48038375,0.48378864,0.48304552,0.4710084,0.46784312,0.47450203,0.48308563,0.4681787,0.45573,0.4544068
42,0.49437797,0.49012926,0.4986183,0.49208063,0.4892256,0.51012665,0.49768525,0.49127367,0.49790752,0.52162874
43,0.5070864,0.5305408,0.5142262,0.52904487,0.48853087,0.50490904,0.5013845,0.49202228,0.4681365,0.46828473
44,0.45388457,0.4493744,0.4564331,0.45670208,0.45215845,0.46103358,0.47062284,0.45657006,0.45121184,0.4538636
45,0.4738104,0.47515485,0.47298503,0.48965442,0.5131151,0.47361386,0.48388508,0.48065203,0.46073025,0.4614601
46,0.47513106,0.47910994,0.4759988,0.46947962,0.47426262,0.47595656,0.4778116,0.4675186,0.45416158,0.4590059
47,0.4690157,0.47379655,0.47139105,0.4652619,0.45582128,0.47239316,0.47435287,0.46209845,0.44513822,0.45077193
48,0.5469524,0.55529433,0.5777428,0.51808953,0.5082662,0.52505934,0.538985,0.7629804,0.47522265,0.4755239
49,0.5424118,0.5724547,0.62428385,0.5188521,0.529141,0.5308907,0.5252203,0.5252256,0.5004164,0.50055087
50,0.50597256,0.5053554,0.4995818,0.51680464,0.6516158,0.5029973,0.52515113,0.5137997,0.49531224,0.48940477
51,0.47133565,0.47440204,0.47819975,0.47537452,0.4678419,0.47733495,0.48067388,0.47443613,0.4916587,0.48702726
52,0.500188,0.48972335,0.48889995,0.4730548,0.47033334,0.48406455,0.49285984,0.51920325,0.45520455,0.45581558
53,0.52865815,0.5452642,0.5274764,0.9887957,0.5456405,0.5242841,0.5373101,0.5277287,0.4792779,0.48023334
54,0.45354885,0.45084578,0.44889545,0.45490488,0.45080438,0.45811132,0.46262237,0.45477346,0.43933502,0.4435027
55,1.2743629,1.5121274,1.3409833,0.67030877,1.6369615,1.4315325,0.6207586,0.8496491,0.41658014,0.41324627
56,0.87210286,1.4339875,1.0957638,0.5988459,1.4117849,0.738808,0.59667015,0.67219645,0.49489197,0.49456707
57,0.46222317,0.46278706,0.46343714,0.45825934,0.45557946,0.4632319,0.4754763,0.46222824,0.44443786,0.44822046
58,0.5207411,0.5413279,0.5221416,0.5708198,0.5192662,0.53792125,0.5320704,0.528978,0.7745761,1.5504576
59,1.2679708,1.1516756,1.1819614,1.2530015,1.2318661,1.129533,1.0434066,1.1990817,1.3358486,1.4337363
60,1.2139852,1.292828,1.2309176,1.2307758,1.3132526,1.1488614,0.87900907,1.1124767,1.0732722,1.1761122
61,0.52340496,0.5313264,0.52077156,0.519447,0.4992331,0.50885886,0.50712824,0.5045721,0.46472842,0.46955785
62,0.4548711,0.45134977,0.4536776,0.45490038,0.4520884,0.45810175,0.46474555,0.4545591,0.44419235,0.44313404
63,0.5519128,0.6143931,0.55789316,0.51344854,0.5023846,0.55345976,0.5202305,0.52558005,0.5072396,0.5040086
64,0.5206272,0.5125182,0.5224043,0.55256283,0.55710536,0.5029178,0.5290571,0.49981442,1.4457966,1.0446621
65,0.50287753,0.5100141,0.5007912,0.5023095,0.49323788,0.5022777,0.5030852,0.49761525,0.51119393,0.50934213
66,0.5993462,0.6531161,0.59240633,0.535593,0.6443436,0.55698913,0.52671367,0.5415398,0.48674724,0.48242587
67,1.1872182,1.1737455,1.1779687,1.2259411,1.2393641,1.1513437,1.0296313,1.3103766,1.3601072,1.2948339
68,1.0863895,1.134845,1.1184679,1.0651559,0.89903706,1.0174631,0.70656455,0.9658568,1.3106749,1.1907161
69,0.6930706,1.0981808,0.7371852,0.5304679,0.5123923,0.70284325,0.54836935,0.5698934,0.4786346,0.4790958
70,0.5572825,0.5913912,0.56832343,0.51357967,0.5084118,0.5502742,0.5396423,0.92695284,0.4769675,0.4757333
71,0.59331745,0.6302696,0.642836,0.5298,0.5989393,0.55857575,0.52153987,0.5388127,0.4816257,0.48456722
72,0.48140112,0.4851676,0.47836465,0.48638353,0.4774544,0.48396054,0.49863246,0.5203989,0.47755945,0.47854403
73,0.81765425,1.1229601,0.82859915,1.3928628,0.560083,0.68118477,0.5217471,0.66899073,0.75149137,1.2680819
74,0.7587315,1.2531564,0.9315232,0.57891095,0.5468758,1.2620277,0.54723537,0.615766,0.51052034,0.5207163
75,0.46132883,0.45913595,0.45860752,0.46039,0.45300174,0.46633038,0.46975157,0.45395958,0.44733843,0.4475559
76,0.7029935,0.924255,1.055109,0.649836,0.5244892,0.68775123,0.51361394,1.0130811,0.85630053,1.2557178
77,0.5953618,0.60307914,0.607867,0.5704553,0.76698047,0.5674376,0.5782012,0.57036126,0.5626218,0.62238723
78,0.85690486,0.911457,0.9021798,0.92810565,0.80367386,0.77887744,0.5168839,0.87535805,1.1514328,1.3061724
79,1.1764824,0.97691417,1.5127909,0.76234514,0.6022425,0.87700117,0.49742457,0.70765287,0.9477254,1.2663814
80,0.63373095,0.7511581,0.7594478,0.6057537,0.53200126,0.5966848,0.5550007,0.58533007,0.59871197,1.0541384
81,1.2715602,1.6386015,1.2483252,0.6061924,0.5179706,0.9490156,0.53261435,0.63521874,0.6432168,1.1579268
82,0.5821788,0.5871821,0.5650701,0.5532406,0.5385963,0.5743258,0.5444134,0.6764341,0.5641699,0.6399494
83,0.46962824,0.46183106,0.46089396,0.4601091,0.45482263,0.46310255,0.47254342,0.45869663,0.44831383,0.44425467
84,0.59059125,0.5801803,0.590087,0.58646286,1.5557166,0.5531689,0.553136,0.57045674,0.57238114,0.5414496
85,0.5799148,0.6263921,0.5567979,0.73502713,1.5282165,0.48650557,0.5333829,0.60400593,1.0084721,0.8299605
86,1.2197397,1.24799,1.2588837,1.2677413,1.2942635,1.2409121,1.0728282,1.2183715,1.4175805,1.3524294
87,1.4021982,1.4195943,1.4050555,1.3998306,1.3651378,1.4052246,1.3464308,1.4127616,1.4850109,1.4465792
88,1.2417006,1.2528733,1.2697163,1.270233,1.2702512,1.2411288,1.0918419,1.2466663,1.4002279,1.3463957
