,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
454,0.07991098,0.17970927,0.014360025,0.17495742,0.023635264,2.5013628,0.025233416,0.24446642,0.1341727,0.060499914,0.035879474,0.8408258,1.3442982
455,0.046852164,1.5180961,0.0050362744,1.6763289,0.012417109,0.8871528,0.016425932,0.16608538,0.78087276,0.0056035277,0.015204777,1.8209417,0.70242745
456,0.037789747,0.0030697975,1.0839064,0.6130239,0.014463823,2.7326925,0.022939542,0.25042337,0.17038213,0.005661074,0.010813985,1.7487803,0.031089801
457,0.04382782,0.09002008,0.36413813,0.006901014,0.030262068,0.0037461058,4.33042,0.65921235,0.00712421,0.1147461,2.138817,0.03526042,0.6969804
458,0.08394668,0.5583594,0.8394595,0.016843347,0.07829965,0.017664999,4.803308,3.717682,0.08273019,0.5563792,4.817463,0.07578757,0.1475552
459,0.042027432,0.0050757895,0.007173581,0.013941367,0.048185807,0.29823264,8.624792,2.6963634,0.016277779,0.005421881,3.8111844,0.0116124535,0.011653395
460,0.050629564,0.010733274,0.012234627,0.023438048,0.05177212,1.7874088,5.5899415,8.655557,0.48489675,0.009670264,1.7341094,0.039917506,0.054070614
461,0.06503205,0.7209862,0.3159005,0.014315359,0.015393751,0.1502688,0.04031863,0.033815168,0.014345196,0.55884266,0.70924586,0.15204498,2.075598
462,0.10433226,0.014693353,0.9149072,0.0125740515,0.010908105,0.2066682,0.039777942,0.026037721,0.03035859,0.01303952,0.7508188,0.034158103,0.96226656
463,0.08396694,3.633284,0.014144488,0.011464741,0.022157976,0.019106673,0.030808287,0.016405277,0.1572616,3.2687016,0.8732284,0.019591149,0.053470604
464,0.49520537,0.41186816,0.6801909,0.00954532,0.067968614,0.006344438,0.034205727,0.013859132,0.018799514,0.12703978,1.10975,0.02029584,1.3722032
465,0.021973096,0.005423442,0.005942011,0.0029398308,0.0046900203,0.009727665,0.0067980853,0.0066000326,0.012236121,2.156765,2.3253944,0.0067366925,0.00966478
466,0.5225103,0.0034154125,0.06548375,0.022019971,0.01579314,0.043648783,0.050731797,0.11133987,0.0077593243,1.6071118,0.007706868,0.4722618,1.9929137
467,1.908737,0.003079346,0.0044059,0.028920265,0.012334385,0.08614101,0.02285075,0.016821459,0.005107934,0.0036527154,0.024023058,0.025518702,1.4970806
468,0.06356545,1.5837815,0.017366558,0.0098793665,0.009704204,0.010354329,0.024907274,0.023386626,0.013476282,0.01978277,1.6276486,0.08354047,1.8823062
469,0.045841634,0.0028378016,0.0057293004,0.81848365,0.029591138,0.053684346,5.5348105,4.886457,0.010667059,0.0028532739,4.371941,0.014147663,0.013290134
470,0.087077074,0.006951351,1.3158774,0.06866009,0.063296534,0.02794612,5.554373,5.3919845,0.027395153,0.02694078,4.4279914,0.046385203,0.050930675
471,0.08869213,0.10514845,0.06336604,0.022728194,0.06254642,0.018344013,5.0683136,5.111496,0.08134778,0.06940021,3.4805295,0.07422366,0.15242627
472,0.03878937,0.005120547,0.078119814,0.007024865,0.058999855,0.34270063,4.646158,3.0500677,0.009753924,0.017904585,3.7692463,0.022095645,0.0370644
473,0.032460563,1.0068798,0.008325228,0.015186303,0.008432381,1.7178793,0.015369241,0.06765597,0.053005952,0.007920252,0.012456405,1.975713,2.2018125
474,0.057077844,0.0062059877,0.007884434,1.4136131,0.0227517,1.6057785,0.096303225,0.021865958,1.1032273,0.0033749256,0.013994387,0.329205,4.0659556
475,0.031002177,0.002103162,0.0010515825,3.035118,0.00955555,0.3570331,0.41936716,0.17914255,1.5804725,0.0010433714,0.013373101,0.08151804,0.008051403
476,0.053369615,0.0047139563,0.0031050234,0.0438225,0.013391867,2.060273,0.035165597,0.30040884,3.060125,0.0040827147,0.023836644,0.7837433,1.1821694
477,0.05397793,0.25948408,0.31225094,0.022390299,0.033972234,5.583361,0.085487515,2.068783,0.011240902,2.7970989,0.0066097965,0.42952567,0.02701508
478,0.052337743,0.007182334,0.039376903,0.0143556995,0.027644997,3.0645401,0.39039963,3.6820834,0.014158185,4.2107763,0.26188967,0.06623483,0.4926665
479,0.03346336,0.006603187,0.015505021,0.008350566,0.009890992,3.3323107,0.019504217,4.6319427,0.012270696,2.6157382,0.5356541,0.013933692,0.053908553
480,0.024931729,0.005493384,0.0055695744,0.008662536,0.0050321184,4.247509,0.009594853,2.5592864,0.011255563,0.93721247,0.009618739,0.18523361,0.6968953
481,0.050640725,0.00864922,0.010591777,0.029080428,0.020066718,2.2731643,0.027650831,3.6813045,0.009597494,1.8529944,0.0087452475,0.21879695,0.84953314
482,0.04321453,0.13854851,0.28286266,0.03817605,0.012135649,3.9324338,0.01956862,2.9192016,0.032934837,1.6505245,1.3949517,0.03226389,0.19943571
483,0.04165844,0.010528785,0.013215476,0.009829038,0.026074441,2.894825,0.022852616,1.2866492,0.039541304,7.032636,0.594817,0.026333852,0.04016193
484,0.04331663,0.0036917224,0.87081474,0.35183343,0.0122888405,2.6726074,0.01878133,0.3581975,0.010455728,0.008315888,0.23264986,2.876196,0.9853463
485,0.03246679,0.0036363958,0.001349497,0.15780802,0.008490182,0.035149183,0.02737765,0.017669676,0.20752099,0.0017170698,0.059976906,5.184732,0.02493663
486,0.03532989,0.0026065249,0.0023263665,1.6452237,0.012557075,1.9661013,0.02644003,0.023216967,0.14067766,0.0023126614,0.021926828,0.90125465,0.9978894
487,0.05421459,0.018077351,0.011695865,0.061624035,0.015506746,1.1426136,0.021709098,0.12815137,1.8083156,0.008802121,0.10602061,0.61983734,4.1961546
488,0.08417807,0.00899348,0.039423477,0.013513097,0.034749158,0.29742685,3.9531777,2.9582527,0.027035946,0.010816025,6.1251435,0.017555255,0.069315866
489,0.030682417,0.0100100655,0.008683611,0.0072734393,0.016176675,0.011028925,0.8039826,6.7276225,0.01148289,0.11770423,3.0556772,0.08029873,0.34310648
490,0.05086412,0.00622977,0.0083802445,0.014112619,0.01820705,0.78899616,3.2124608,4.0846086,0.022680327,0.0075260564,2.2215161,0.07886264,0.12387625
491,0.040580224,0.004159686,0.013050327,0.008568438,0.011939908,0.04882295,0.7893651,4.0168567,0.027367122,0.008902906,5.8368874,0.007199158,0.01222241
492,1.0969999,1.3114272,0.46095166,0.5999471,0.018272446,0.015058326,0.030979771,0.033258095,0.040219195,0.5791184,1.5213695,0.01804762,0.107683696
493,0.036898777,1.925533,0.0073322724,0.009742094,0.016724976,0.022814935,0.023279116,0.01835453,0.032460604,0.40547436,0.020572254,0.054212,1.6077942
494,0.089347795,1.2193422,0.012471023,0.0075793723,0.011390949,0.008398257,0.017095748,0.009643256,0.022768795,3.7079334,0.022295317,0.020849546,1.2433333
495,0.680489,1.7961327,0.016072884,0.021173107,0.016922498,0.016659979,0.13806424,0.39640328,0.01199916,0.29566437,0.011289005,0.22660817,1.6598057
496,0.027746236,0.004754078,0.09954032,0.0061932947,0.009519276,0.040604427,0.015701817,0.016253965,0.014192424,0.36768147,2.2571921,0.014105478,0.06267572
497,0.021606324,1.798625,0.016163856,0.0038207509,0.004857961,0.008307616,0.01207251,0.008753191,0.013457357,0.33999228,0.85276705,0.0055738734,0.011402768
498,0.073430456,0.14963081,1.2488681,0.03151996,0.012749375,0.81956166,0.03374755,0.1924593,0.025430847,0.0043467158,0.12677267,0.22756648,2.1307735
499,0.08649888,4.9409432,0.011733701,0.014138833,0.04153611,0.03830031,0.038185164,0.027349029,0.546444,1.527656,1.3199053,0.036010865,0.68436563
500,0.068203464,0.087140515,0.07370848,0.04445521,0.05202465,0.10465665,5.4689693,3.781419,0.7658131,0.008315765,4.1959395,0.028589303,0.11175569
501,0.23251276,0.3924817,0.029444197,0.023684839,0.06888602,0.022845753,7.463733,4.533814,0.17015444,0.022722729,4.6758857,0.011825452,0.017995054
502,0.050568067,0.0073175067,0.010619076,0.017025277,0.02971598,0.040100746,3.2701635,6.083362,0.023074793,0.0057369536,4.013279,0.013573493,0.015559763
503,0.033114,0.0033473647,0.00924901,0.012787924,0.03410834,0.078037575,4.533096,2.7659042,0.011445227,0.011686547,4.7223563,0.015443698,0.018324994
504,0.04503926,0.004070994,0.0032849058,1.4660228,0.01606299,0.620801,0.050416604,0.30526903,1.2194024,0.0039258227,0.9559187,1.5772952,1.1324111
505,0.05351541,0.014742522,0.0062956484,0.84260774,0.014004679,1.7562791,0.022372385,0.20101348,1.9906595,0.004353719,0.012947204,1.0467457,1.745249
506,0.029182604,0.0041320156,0.0070992075,0.014666125,0.008692015,1.2520726,0.010917957,0.07596707,0.020527653,0.005966622,0.1618885,0.61650455,4.0636153
