,q05cell_abundance_w_sf_Atrial Cardiomyocyte,q05cell_abundance_w_sf_Ventricular Cardiomyocyte,q05cell_abundance_w_sf_Fibroblast,q05cell_abundance_w_sf_Endothelial cell,q05cell_abundance_w_sf_Lymphatic Endothelial cell,q05cell_abundance_w_sf_Mural cell,q05cell_abundance_w_sf_Mesothelial cell,q05cell_abundance_w_sf_Neural cell,q05cell_abundance_w_sf_Adipocyte,q05cell_abundance_w_sf_Myeloid,q05cell_abundance_w_sf_Lymphoid,q05cell_abundance_w_sf_Mast cell
0,0.019989883713424205,0.5709043949842453,0.0004023068817332387,0.1951310880482197,0.000217967542266706,0.05708892941474915,0.12661994248628616,0.05410520117729902,0.0014573174179531635,0.10496030822396278,0.8837355315685272,0.3214275375008583
1,0.0046098115621134635,0.11714735254645348,0.19242375567555428,0.37039877474308014,0.056778665818274024,0.24130256325006486,0.000632315140683204,0.017499182373285294,0.0007332837936701253,0.08018773049116135,0.010398684628307819,0.06547344177961349
2,0.007568610017187893,0.20283937826752663,0.12402580603957176,0.4503895044326782,0.06952107585966587,0.0015366884123068304,0.2138380527496338,0.04656361658126116,1.108194833250309e-05,0.10791483372449875,0.11978423967957497,0.1416098304092884
3,0.0018930086458567531,0.7231621533632279,0.06428751163184643,0.009216887410730124,0.039099995791912076,0.6500742614269257,0.46258058249950407,0.24107123538851738,0.0017865333298686893,0.03491691034287214,0.3836609452962875,0.09465179108083248
4,0.0030933904228731992,0.46202587336301804,0.001782611117232591,0.0005524257110664622,0.7263985604047776,0.18508048132061958,0.35333834737539294,0.2051999069750309,0.0003455918747931719,0.21212812140583992,0.0006656337180174887,0.04135107211768627
5,0.013018626486882567,0.3660159632563591,0.0001457314043364022,0.19167307764291763,0.2564070835709572,0.002334616344887763,0.2690258100628853,0.1116968397051096,7.01951179507887e-05,7.22660479368642e-06,0.33803500086069105,0.0010229225154034793
6,0.002715604961849749,0.6876437455415726,0.2265326827764511,0.3189793676137924,0.04958468209952116,0.0007863227045163512,0.4421304851770401,0.5154054552316666,5.190195061004488e-05,1.1242040500292205e-05,0.0008144439663738013,0.07602884992957115
7,3.509235773435649e-06,4.2580202534736604e-05,0.135929623991251,0.3260288655757904,0.2583192303776741,0.003587999998126179,0.03790602143853903,0.2443949833512306,0.0023270664387382567,0.0925813764333725,0.3835571274161339,0.09329015351831912
8,2.2704852017341182e-05,0.3311556100845337,0.0010184908576775342,0.001025469828164205,0.33534395396709443,0.0011584837164264172,0.17999453768134116,0.5247026175260544,0.00030961474258219825,0.40140829533338546,0.31411751359701157,0.0004445254526217468
9,1.0249576121168502e-06,2.9504557346626827e-06,0.07678652927279472,0.5321308761835098,0.017087126709520818,0.27147712707519533,3.54627905835514e-05,0.035800596326589586,5.837947810505284e-06,0.17358468398451804,0.3694318994879723,0.0003685471645439975
10,9.400691124028526e-05,0.4953218653798103,0.00029578373068943624,0.6167666047811509,0.1295388050377369,0.06368718966841698,0.5836231499910355,0.08670111745595932,0.0001865781749074813,0.09284461177885532,0.12165327854454518,0.0005750907468609512
