component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
total_count,,,49960000,593766.0,49960000.0,968060.0,933305.3777932413,34754.62220675871,1767372.5027200428,1780415.4000433658,0.0353757506549248,0.18877716348867832
shape_bin,short,fragment_length_lt_100,49960000,,,378271.0,530290.481843062,-152019.48184306198,885488.521494241,747319.6860548067,0.017723949589556465,0.12230437608451986
shape_bin,mono,fragment_length_100_249,49960000,,,336083.0,281177.9576506503,54905.04234934971,596406.0718171451,626838.4430154394,0.011937671573601783,0.11201252744828621
shape_bin,long,fragment_length_ge_250,49960000,,,253706.0,121836.93829952853,131869.06170047147,363362.0812101053,335953.728094032,0.007273060072259914,0.08200276900922789
