,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
44,0.13769668,0.1181801,0.08839788,0.10303701,0.10044065,0.07293465,0.10377202,0.09272435,0.11083193,0.07198479
45,0.1377414,0.11822382,0.0883485,0.103122875,0.100328125,0.07288887,0.10376689,0.092967786,0.11078091,0.07183072
46,0.13746358,0.11801295,0.08819884,0.10354023,0.100135826,0.07307563,0.103477746,0.09328964,0.11069987,0.07210559
47,0.13748702,0.11814486,0.08813113,0.10344689,0.10025814,0.07308527,0.10363869,0.09321691,0.1105376,0.07205348
48,0.13758978,0.11806338,0.08819512,0.1035868,0.10005529,0.07298982,0.10356008,0.09334364,0.110635385,0.07198066
49,0.13764803,0.11810599,0.08831224,0.103443615,0.100199915,0.072937,0.10351264,0.093120486,0.11070808,0.07201209
50,0.13769864,0.11810303,0.08830777,0.103369184,0.10018992,0.07299755,0.103486486,0.0931161,0.11073975,0.071991645
51,0.13773142,0.11800313,0.08832225,0.10347899,0.10022125,0.07289911,0.103468254,0.09313111,0.1106848,0.07205968
52,0.13738628,0.118038476,0.08810756,0.10367206,0.099781156,0.07299611,0.1036411,0.09349767,0.11066803,0.072211474
53,0.13758874,0.11802374,0.088271365,0.103432514,0.10021625,0.072952904,0.10363308,0.09314998,0.11078306,0.07194836
54,0.13753484,0.11808911,0.08836516,0.103634976,0.10002095,0.0729953,0.103382096,0.09338325,0.110743165,0.071851194
55,0.1376652,0.11815258,0.08823716,0.10328916,0.1002517,0.072984904,0.10364756,0.09308105,0.11075797,0.071932696
56,0.13764691,0.118140824,0.08828914,0.10326346,0.10030135,0.07294774,0.10365935,0.09303041,0.11075944,0.071961455
57,0.13766031,0.11804323,0.08818359,0.103556976,0.10013103,0.07302775,0.10345334,0.09332586,0.110508755,0.07210913
58,0.13770787,0.1180357,0.08835383,0.10334738,0.100227065,0.072915,0.10357336,0.093005754,0.11082729,0.07200679
59,0.13770051,0.118078575,0.088363275,0.103242315,0.10029068,0.07292612,0.10361406,0.092919074,0.11089824,0.07196708
60,0.13768357,0.11812661,0.08831466,0.10328054,0.10028736,0.07296111,0.10360936,0.092992626,0.11080622,0.071938016
61,0.13765922,0.11814733,0.088204086,0.10341098,0.10011276,0.0730425,0.10360268,0.09313888,0.11072075,0.07196088
62,0.13741387,0.11816219,0.08806471,0.103576556,0.10010998,0.07307895,0.1035876,0.09333243,0.11059452,0.07207911
63,0.13761239,0.11803888,0.08826551,0.10345385,0.10014281,0.073021606,0.10355631,0.09319887,0.11066641,0.07204337
64,0.13761634,0.11786956,0.08841502,0.10327243,0.10060423,0.07292824,0.10342726,0.092889205,0.110861525,0.07211626
65,0.13742992,0.11801673,0.08813813,0.10366371,0.099965475,0.07321918,0.10349106,0.09317024,0.110571295,0.07233427
66,0.137436,0.11807825,0.08822273,0.10359824,0.09971055,0.072964795,0.10373206,0.09330998,0.11083562,0.07211183
67,0.13760227,0.117738344,0.088895954,0.10333552,0.10094464,0.0724495,0.10313012,0.09277315,0.110828556,0.07230192
68,0.13770905,0.11806441,0.088447824,0.10326299,0.10029655,0.072919466,0.103533424,0.09293369,0.110875666,0.07195695
69,0.13752557,0.1182952,0.08817966,0.1033773,0.10035862,0.073097594,0.103911966,0.09297302,0.110563286,0.07171777
70,0.1376795,0.11809061,0.08822816,0.10344123,0.10015683,0.0729852,0.10359324,0.09322952,0.11060416,0.07199152
71,0.1375989,0.11816394,0.088231534,0.103491776,0.10004332,0.07301804,0.10361258,0.09319029,0.11066619,0.0719835
72,0.13750225,0.118047036,0.08833633,0.10349441,0.10024051,0.07294816,0.103576355,0.093096584,0.1107285,0.072029784
73,0.13763809,0.11794307,0.088313706,0.10340166,0.100159556,0.07292999,0.10352237,0.093198664,0.11085411,0.07203881
74,0.1375945,0.11817052,0.088208005,0.10334428,0.10025352,0.0730186,0.10372523,0.09305484,0.11068065,0.07194991
75,0.13745162,0.11808467,0.088124536,0.10365535,0.09996222,0.0730843,0.10344532,0.09343797,0.11057933,0.07217473
76,0.13771287,0.11807093,0.08834771,0.10330475,0.100267224,0.07292486,0.103573024,0.09298829,0.110809244,0.07200106
77,0.13774772,0.11801634,0.08826093,0.10337468,0.10030061,0.072985165,0.103493296,0.093083374,0.11076457,0.071973264
78,0.137669,0.1180868,0.08834462,0.10329618,0.1002372,0.072943576,0.10359986,0.092978,0.11086359,0.07198116
79,0.1377188,0.11809167,0.08835272,0.103281334,0.10024995,0.07296091,0.10358367,0.09298954,0.110808566,0.07196291
80,0.13722472,0.11812819,0.08842295,0.10363762,0.10035008,0.073213294,0.10391106,0.0926383,0.1108576,0.07161616
81,0.13762538,0.11816192,0.08830328,0.103305705,0.100259416,0.07299167,0.103663094,0.09296057,0.11077323,0.07195577
