spot_id,CD4 Naive,CD4 TCM,CD4 TEM
spot_0000,3.678891719850428,3.6299910540410893,2.099911262857609
spot_0001,4.05809752899863,1.8666817102881113,2.0538292374399365
spot_0002,2.7783043516670247,3.7384380007204934,1.81087945001401
spot_0003,2.069131549993187,7.289362500816457,0.7914621792098085
spot_0004,0.0,4.514063049180999,4.6868497585243105
spot_0005,3.691656613992632,6.434244257895983,2.8135632369918304
spot_0006,0.8901122164224239,2.5024323451069623,3.382028254255542
spot_0007,6.142771541240875,2.3517432318648503,2.474602261992692
spot_0008,3.1069525765026436,4.116868645156277,2.7022628267953026
spot_0009,2.9023420301188603,2.566902440915712,1.6183322457866118
spot_0010,3.0191081448763364,3.250404921100952,2.3170887807989153
spot_0011,2.5524655790974613,2.673763639012145,4.465207323533602
spot_0012,1.1622690936926057,4.070542949666837,1.9060501455864247
spot_0013,2.477171022493286,4.351824014623291,0.7473477452973667
spot_0014,3.628171844869307,5.003276243472579,1.937909740447844
spot_0015,3.834121417711007,5.697556495880804,4.5252650774208165
spot_0016,2.8621606430371944,9.52230972264507,7.286126494848975
spot_0017,1.0524647025030238,1.4952348893046714,3.150709920934838
spot_0018,1.896624308873994,4.738836504750676,4.296900687703021
spot_0019,4.105900554330192,5.092866657140439,1.8512696722080813
spot_0020,3.1834843224606906,4.473992068604699,3.502419023813503
spot_0021,3.7286959641575708,1.3889780670434684,1.246722872271787
spot_0022,1.7365347346057773,3.831196199834027,4.163295121220473
spot_0023,3.4574735245780115,4.264464242508263,2.4411099225806736
spot_0024,2.7495118151101305,2.916772303196453,0.9770731098666132
spot_0025,0.0,4.934474542353224,3.492969744692708
spot_0026,3.868175778609723,7.6536148529611205,0.5287321060826404
spot_0027,1.75116416819921,8.433524820592284,1.9057413008210438
spot_0028,3.1852373150672912,2.320039926952701,2.238028859352942
spot_0029,6.096487269838775,2.7588277539023656,2.888494125435987
spot_0030,6.212976097467633,2.4697147841228,1.472095105170777
spot_0031,2.721853138257075,6.7985167425288076,1.845491618932485
spot_0032,3.990256864712616,5.765469542490481,1.436256561307688
spot_0033,0.8532191837485209,5.653247017825444,1.5767616818000787
spot_0034,7.355179955262127,3.4383806423210306,1.8080826665278011
spot_0035,1.6434641564091388,5.515749880274033,2.600980085061295
spot_0036,0.0,3.440527691448235,4.099295057326606
spot_0037,2.840405776675306,3.9691368997037055,3.723472465148407
spot_0038,2.696188299088949,2.485659854151037,0.29931172212966983
spot_0039,1.429822546857715,5.332719089015059,3.2415413056937195
spot_0040,1.655844426521808,7.909982175376512,3.479963184465592
spot_0041,3.097851730433202,2.385322296167255,0.0
spot_0042,1.3683995925712116,1.5748580397073881,1.3103310136787638
spot_0043,1.6389815341035208,5.620900807514205,3.7860729614950563
spot_0044,3.51607137006247,4.94424172990471,1.3843627187977143
spot_0045,4.536289486210357,7.315146670774637,4.171117444801093
spot_0046,3.863471428314834,3.6285371375490163,2.7753865354169696
spot_0047,4.942670772172197,2.9689030711400086,1.1190859930844297
spot_0048,3.6478657699145747,5.558255617585489,4.905575962231048
spot_0049,2.316452232132497,2.082591733658975,1.2784700557691828
spot_0050,0.8379779629388697,4.691706163532349,2.6954982213103276
spot_0051,1.4252673447312019,3.3271462889572714,3.2751923520060644
spot_0052,4.275543515386856,4.166209215073182,3.202101773337043
spot_0053,4.839682636652444,4.490368698597789,2.7833895991710933
spot_0054,6.913393185661919,3.3142378680324582,0.9920498690467527
spot_0055,1.3832919833047723,3.9625904181613736,2.6383848217949044
spot_0056,1.45397827149194,3.108373967219996,1.7181631299724702
spot_0057,3.5609573006101636,1.8914379631378273,1.7822500518911955
spot_0058,0.895822323418374,1.1978879772219346,0.8203935282012937
spot_0059,2.1009391065930183,4.413071942888332,3.033802635515189
spot_0060,5.990999597661986,2.3158928730915838,1.39380309851699
spot_0061,3.527982826074539,2.972397577598317,4.238012683192201
spot_0062,4.189358921000739,5.407652832343636,3.126375618897464
spot_0063,2.2280825231947277,6.708730394581555,5.177045880486273
spot_0064,2.8436306276021206,4.9583745112571895,4.9989836623432735
spot_0065,3.4484120675004593,2.621264895671653,0.5408662648510152
spot_0066,1.969269112936574,5.166042149593507,4.270711593191694
spot_0067,0.0,1.6804753388014402,2.1653169081902828
spot_0068,1.7152129730798722,6.396866238260597,4.649221380062742
spot_0069,5.365341724979336,4.134044008381802,0.3448261882490072
spot_0070,4.214054910956261,4.842260640083431,4.125636408861479
spot_0071,4.224321095123485,5.412683238959704,3.855766710892234
spot_0072,5.0960510825562855,2.3381857843842115,1.6374208919209778
spot_0073,2.7373324858908523,4.491315993934234,6.338073754149484
spot_0074,6.572025717559752,5.114843355870088,1.0916668310441162
spot_0075,2.549161831056113,1.5623249699586796,4.5442479629157475
spot_0076,5.198452441761066,6.214681328601721,5.628498769766283
spot_0077,7.893787608727266,6.249875835338848,0.3889935717309391
spot_0078,6.114384146663656,3.054492003256751,0.674837897008292
spot_0079,5.169392207977355,3.879872869109965,2.6207221048134994
spot_0080,4.256955103270715,5.640696694803866,0.5465983184177609
spot_0081,3.2203893024959163,5.621396958144921,3.696658442144209
spot_0082,4.196195829929755,3.286135293245716,0.49620636427261816
spot_0083,1.3347961035166014,5.1659575423103545,3.3287615386742844
spot_0084,2.3440564575635516,2.271073266601855,5.9844723644419835
spot_0085,2.275774800485935,2.866678598902407,2.68122970597493
spot_0086,1.993339413530402,5.693713594108616,2.4999735141722566
spot_0087,0.33050765884268135,7.887208873086644,0.5809484175357648
spot_0088,3.051152847112306,4.647765493401227,4.638497574172912
spot_0089,2.05995225359426,3.5149248114076577,3.5283915552827687
spot_0090,0.420801282776231,4.898514963518913,4.939592174902157
spot_0091,2.639174376852659,1.7194892503662105,2.7041508729293793
spot_0092,2.686276161166137,1.6584894535399972,1.3757536293288004
spot_0093,4.874559633916363,6.2012690663413235,3.2801975913826564
spot_0094,2.519062275836863,1.5007542179708855,0.9133421609781059
spot_0095,6.375776603414203,8.314027988309718,6.09617587199405
spot_0096,2.096572675829337,4.25133866069741,1.5972962493945604
spot_0097,1.2653621542042863,6.222183756721395,2.8746822061303616
spot_0098,0.0,4.325029954406457,3.7397094644166398
spot_0099,1.361050904750442,4.810477865326837,3.4231094323840443
spot_0100,1.7920072070112294,5.81526580708931,1.1745564407775497
spot_0101,3.782288488221439,4.999187033424819,6.3810677642476525
spot_0102,4.810230884895475,5.4622725994885695,1.0732389248799876
spot_0103,4.312812094562821,1.8722674585681922,1.989680489033788
spot_0104,3.238355749311304,11.103619450809433,5.028110185976678
spot_0105,5.056189305165488,6.219060116492075,4.299084055697368
spot_0106,6.70646388933639,6.571436553197219,2.319616894849185
