,endothelial cell,astrocyte,oligodendrocyte,microglial cell,vascular associated smooth muscle cell,inhibitory interneuron,pericyte,glutamatergic neuron,radial glial cell,oligodendrocyte precursor cell,neural progenitor cell,medial ganglionic eminence derived interneuron,caudal ganglionic eminence derived interneuron
0,5.7285524e-07,0.0011871437,0.0017206599,1.7260965e-06,0.0017847093,0.59805065,6.678082e-07,0.048987307,0.06919438,0.2774607,4.4846462e-07,5.4816496e-07,0.0016105484
1,2.4694148e-07,0.00016396913,0.0010773576,7.831909e-07,0.0061768414,0.18066318,3.4003028e-07,0.38453928,0.18911853,0.22985362,3.0379073e-07,5.4896344e-07,0.008404945
2,5.1243984e-07,0.0011720227,0.002902315,1.6335194e-06,0.002712095,0.46760967,6.5313674e-07,0.12249774,0.11346562,0.28785375,4.0658517e-07,4.963811e-07,0.0017830963
3,2.9198733e-07,0.00073140045,0.00463427,1.0930202e-06,0.009211073,0.19825116,4.1272546e-07,0.28869745,0.11264728,0.37125444,3.2463075e-07,4.644833e-07,0.014570261
4,3.728637e-07,0.0011130791,0.0056554587,1.4561432e-06,0.0076204496,0.17018874,5.7067325e-07,0.23707096,0.09199702,0.4821872,3.9655836e-07,4.775102e-07,0.004163879
5,3.8671925e-07,0.00074127334,0.0023619689,1.1905743e-06,0.004285446,0.43334383,4.889074e-07,0.21068428,0.06618406,0.27279818,3.2798937e-07,4.820152e-07,0.0095980875
6,4.945871e-07,0.00013044575,0.00064260175,1.3121836e-06,0.0050061787,0.43261805,4.784846e-07,0.3533596,0.18844591,0.0015206016,5.367862e-07,9.3107866e-07,0.018272897
7,2.4673835e-07,0.00025745228,0.0015365343,8.055576e-07,0.017489836,0.2762797,3.0800732e-07,0.376147,0.1067486,0.20596407,2.5545273e-07,5.1923644e-07,0.015574677
8,4.2979264e-07,0.0014566318,0.0067666504,1.6367218e-06,0.0058595003,0.23773472,6.034994e-07,0.17143707,0.16125815,0.41178036,4.127292e-07,4.8546957e-07,0.003703266
9,1.9523881e-07,0.00010523839,0.0007472308,5.9173306e-07,0.01106496,0.21770844,2.1848825e-07,0.3294373,0.2410733,0.18574706,2.4171462e-07,5.229856e-07,0.014114729
10,7.117067e-07,0.00013275437,0.0005603954,2.0369896e-06,0.0015278481,0.4559915,7.00493e-07,0.29155424,0.24502692,0.0006093776,7.5585194e-07,1.069392e-06,0.004591715
11,1.6288949e-07,0.00018240587,0.0008988988,4.8676026e-07,0.027076602,0.31253284,1.459536e-07,0.2239736,0.12066921,0.25963324,1.7995453e-07,4.327399e-07,0.05503186
12,3.824856e-07,0.0009329741,0.0048113093,1.363052e-06,0.006126922,0.22944653,5.6098446e-07,0.27242327,0.082435235,0.39444822,3.834103e-07,4.9741203e-07,0.009372266
13,6.6025177e-07,0.0019757997,0.0042961948,2.5504037e-06,0.0034176745,0.28414333,8.6002586e-07,0.046739284,0.22376305,0.43511945,6.3339144e-07,7.31932e-07,0.0005398176
14,3.1124608e-07,0.00027140972,0.0015116676,9.030359e-07,0.0077336174,0.3843394,3.2205847e-07,0.22322059,0.21908946,0.14894032,3.0046903e-07,6.0226756e-07,0.014891076
15,6.666241e-07,0.0006173886,0.0030647083,1.9957354e-06,0.002069483,0.45929885,9.1754737e-07,0.2875502,0.16402109,0.076430656,5.74963e-07,7.8594644e-07,0.0069426643
16,5.4972514e-07,0.0013990965,0.0025793603,1.7837871e-06,0.0022547853,0.4846701,6.8027606e-07,0.06895555,0.11415796,0.32458052,4.6205935e-07,5.453083e-07,0.0013985819
17,4.0418442e-07,0.0013008707,0.0073888614,1.5676463e-06,0.0056688795,0.22288741,5.882929e-07,0.22843176,0.15239833,0.37563875,4.0733582e-07,4.918494e-07,0.006281743
18,2.1851223e-07,0.00013433186,0.0010179777,6.162493e-07,0.021984804,0.24804746,2.2177407e-07,0.32935387,0.20834151,0.14380394,2.7098912e-07,6.430967e-07,0.047314163
19,2.5836633e-07,0.00044542333,0.002452929,8.0845433e-07,0.01297966,0.311515,2.7962022e-07,0.20524892,0.17757413,0.27449816,2.5327606e-07,4.4634328e-07,0.01528379
20,3.8523672e-07,0.0011324864,0.0051225056,1.5425e-06,0.006712826,0.1707331,5.9415026e-07,0.21319696,0.09026993,0.50962186,4.1059891e-07,4.7087747e-07,0.0032069152
21,5.801589e-07,6.734471e-05,0.00029320945,1.5703287e-06,0.001981771,0.29925132,6.576575e-07,0.42708638,0.26755586,0.00043012094,7.7502307e-07,1.0809268e-06,0.0033293944
22,1.7030865e-07,0.0002723425,0.0018538415,5.942983e-07,0.030375823,0.1566429,1.9839014e-07,0.29582042,0.11023703,0.3816155,2.1397334e-07,4.142336e-07,0.023180554
23,3.9021486e-07,0.0004710781,0.0028354712,1.4214856e-06,0.0018696311,0.1885801,6.4549965e-07,0.37511158,0.112694204,0.31539816,4.2235772e-07,5.186934e-07,0.0030363796
24,4.0581014e-07,0.0006074696,0.003722482,1.5178497e-06,0.0015622226,0.19514742,6.579438e-07,0.30435774,0.20733953,0.2846433,4.70367e-07,5.398655e-07,0.0026162378
25,2.1492819e-07,0.0004381192,0.0030755885,7.593183e-07,0.025427511,0.15684173,2.4992835e-07,0.2528279,0.17309536,0.3751453,2.6067815e-07,4.4814055e-07,0.013146551
26,1.7196409e-07,0.000138959,0.00084363756,5.5585053e-07,0.018496986,0.22433637,2.3343841e-07,0.3810691,0.15322636,0.20816043,2.2222949e-07,4.9052466e-07,0.0137264645
27,4.391935e-07,0.0012548324,0.0043344228,1.4956976e-06,0.00415255,0.3166628,5.958534e-07,0.16843654,0.10532261,0.39541933,3.9271708e-07,4.6648088e-07,0.0044135544
28,3.9653517e-07,0.0010038868,0.0035167537,1.3885087e-06,0.0051189843,0.28779528,5.7552415e-07,0.20331885,0.06882567,0.42594978,3.6752144e-07,4.629078e-07,0.0044677034
29,4.946332e-07,0.001484238,0.0035935028,1.7280341e-06,0.0034114579,0.3528784,6.4108394e-07,0.09814183,0.13427775,0.40464997,4.3561693e-07,4.914701e-07,0.001559024
30,5.393329e-07,0.00026492518,0.0023818396,1.7072576e-06,0.009715927,0.0025036668,5.4607926e-07,0.16464491,0.43891555,0.3809132,9.445926e-07,1.3907442e-06,0.0006547968
31,4.645703e-07,9.253298e-05,0.0004373011,1.2665604e-06,0.0033594926,0.47793353,4.1693642e-07,0.2960521,0.21240771,0.00028291947,5.400907e-07,9.4173254e-07,0.009430779
32,4.4936425e-07,0.000105563864,0.00062329636,1.1980711e-06,0.00302187,0.3529798,5.247261e-07,0.42231342,0.211237,0.0004266769,5.504702e-07,9.60469e-07,0.009288707
33,4.378356e-07,0.001529953,0.0067070927,1.8099889e-06,0.0071232924,0.1671981,6.18025e-07,0.1390914,0.18667369,0.49023998,4.6710323e-07,5.2847463e-07,0.0014326728
34,4.6545426e-07,0.000593888,0.0030085135,1.6433206e-06,0.003832497,0.1913611,7.202224e-07,0.35982168,0.15178706,0.2834812,5.5344316e-07,6.922401e-07,0.0061099124
35,1.9460981e-07,8.2565704e-05,0.00046678845,5.092578e-07,0.043229192,0.4442196,1.4906462e-07,0.25313592,0.16512774,0.042721268,2.0576017e-07,6.1549775e-07,0.051015217
36,3.661671e-07,0.00077546824,0.0041475133,1.1877461e-06,0.0056042555,0.3047856,4.609654e-07,0.26048627,0.11746598,0.2885781,3.4436093e-07,4.780371e-07,0.018153938
37,4.4093596e-07,0.0013467519,0.00699029,1.6748124e-06,0.0082314825,0.09987864,6.375757e-07,0.19244263,0.15697806,0.5317325,5.0994583e-07,5.345644e-07,0.0023959
38,1.8077634e-07,0.00017715101,0.0010603265,5.397385e-07,0.030002235,0.32786766,1.6859418e-07,0.24316731,0.15371853,0.20126706,1.8905348e-07,4.6567303e-07,0.042738244
39,3.4677709e-07,7.449894e-05,0.00037585752,9.21577e-07,0.007836137,0.4542442,2.9323317e-07,0.29621443,0.21859547,0.0026224155,3.9764484e-07,8.5375285e-07,0.020034203
40,4.3115458e-07,0.0013417312,0.005435401,1.5209785e-06,0.0040665935,0.30229557,5.8489906e-07,0.16002142,0.15861295,0.36529058,3.9898413e-07,4.7031054e-07,0.0029323807
41,4.909305e-07,0.0010847499,0.004078685,1.52267e-06,0.003593289,0.41781193,6.2982747e-07,0.20426503,0.10325584,0.2575379,3.9236065e-07,5.033169e-07,0.008369009
42,7.382415e-07,0.0019150571,0.0020521786,2.5374934e-06,0.0015911381,0.44332257,8.3617596e-07,0.011315383,0.13815242,0.4011723,6.14428e-07,6.865987e-07,0.00047355352
43,3.9567897e-07,0.0011503507,0.0053351466,1.4289245e-06,0.0056287637,0.23863971,5.7961364e-07,0.23318572,0.09179531,0.41757205,3.8464802e-07,4.6812931e-07,0.0066897157
44,4.2933368e-07,0.0014330505,0.0049832463,1.6720364e-06,0.004763362,0.2578725,5.885923e-07,0.1130092,0.18458317,0.4320201,4.2135747e-07,4.965746e-07,0.0013317654
45,7.174749e-07,0.00036130636,0.002469484,2.3263551e-06,0.003969578,0.005263348,1.2888582e-06,0.4369608,0.07745326,0.47258204,1.1627941e-06,1.3059577e-06,0.0009334481
46,4.5256124e-07,0.0012512261,0.0053897914,1.520345e-06,0.0042829947,0.31383526,6.1035576e-07,0.1870896,0.13598879,0.3476817,3.9777828e-07,4.7693305e-07,0.004477245
47,3.5546714e-07,0.0008626223,0.003596909,1.3595779e-06,0.007849377,0.22083779,4.1904676e-07,0.1130574,0.2768028,0.37475172,3.8815153e-07,5.8732667e-07,0.0022382862
48,2.3254634e-07,0.0004632602,0.0030769957,8.4928047e-07,0.015475012,0.18842323,2.764296e-07,0.22856772,0.2005992,0.35493883,2.7251383e-07,4.6139556e-07,0.008453707
49,6.53373e-07,0.0015411216,0.00210847,2.0161367e-06,0.001611264,0.5445981,7.370863e-07,0.020465525,0.12701547,0.3017751,5.105249e-07,5.977105e-07,0.000880538
50,4.1380343e-07,0.0005575833,0.003617955,1.4832987e-06,0.0014059036,0.18089062,6.7985826e-07,0.3061815,0.23563369,0.26903665,4.7138963e-07,5.6666255e-07,0.002672536
51,6.763186e-07,0.0006304349,0.0019487133,1.7990418e-06,0.001987031,0.5855535,9.05926e-07,0.24171966,0.05309215,0.11045123,4.8848415e-07,7.004341e-07,0.00461271
52,4.270916e-07,0.0014210672,0.00632849,1.6278808e-06,0.005108312,0.21258378,5.9911724e-07,0.15604421,0.1794576,0.43693033,4.3307324e-07,4.9184337e-07,0.0021226197
53,4.0816482e-07,0.0012574608,0.005404565,1.4674032e-06,0.005933079,0.2641366,5.476081e-07,0.17850165,0.13988826,0.3995295,3.9326568e-07,4.9065284e-07,0.00534549
54,9.705316e-07,0.0024523754,0.0039286423,3.9693136e-06,0.0031037768,0.18683907,1.1778583e-06,0.01018406,0.23076776,0.5625358,1.0032684e-06,1.0600022e-06,0.00018024264
55,4.1209563e-07,0.0011951972,0.0062186187,1.5037798e-06,0.0033690326,0.27823472,5.741381e-07,0.19212103,0.20698628,0.30763558,4.0235068e-07,4.8509384e-07,0.0042362087
56,2.3466401e-07,9.173823e-05,0.0009122987,6.4363593e-07,0.027495839,0.007673285,2.3326369e-07,0.28608543,0.31353024,0.36168867,4.2480855e-07,8.24061e-07,0.0025200914
57,4.872632e-07,0.0009779901,0.002530278,1.4596985e-06,0.0027495234,0.52025795,6.1417984e-07,0.16422491,0.07439,0.23002377,3.791399e-07,4.987175e-07,0.0048420816
58,3.1858997e-07,0.00026333466,0.0017274956,1.0669781e-06,0.0028955052,0.17425577,4.9759325e-07,0.4014589,0.159236,0.25543883,3.7096032e-07,5.5187803e-07,0.004721419
59,1.8780642e-07,8.71956e-05,0.00045759694,4.7801694e-07,0.047703348,0.4709372,1.574608e-07,0.24696867,0.14781742,0.06475075,1.7845693e-07,5.410389e-07,0.021276304
60,3.4159956e-07,0.0002270014,0.0016295037,1.0743519e-06,0.004911272,0.099838324,5.641373e-07,0.47321954,0.15546346,0.26206496,4.2242345e-07,6.188359e-07,0.0026428956
61,2.0242038e-07,0.00015768068,0.00081586424,6.091615e-07,0.026561063,0.31614938,2.6471537e-07,0.40584072,0.034659587,0.19838417,2.1003693e-07,5.3481006e-07,0.01742967
