spot_id,variant,CD14 Mono,CD4 Naive,CD8 Naive
spot_0000,count_only,0.2779733828352921,0.31146314134926095,0.41056347581544694
spot_0001,count_only,0.51544974269842858,0.37295139232570523,0.11159886497586621
spot_0002,count_only,0.41286049091471994,0.12219311216786861,0.46494639691741146
spot_0003,count_only,0.69475893655204157,0.14640266991400636,0.1588383935339521
spot_0004,count_only,0.56564607492558261,0.26359795680959536,0.17075596826482201
spot_0005,count_only,0.066776746203308326,0.28728474026366574,0.645938513533026
spot_0006,count_only,0.19662264458414117,0.49698050442591485,0.30639685098994401
spot_0007,count_only,0.19914230500766653,0.3797655900333502,0.4210921049589833
spot_0008,count_only,0.60345034240211359,0.087236382494326928,0.30931327510355949
spot_0009,count_only,0.14907052402021065,0.17215515688027014,0.67877431909951924
spot_0010,count_only,0.32497756128264405,0.38268299115015381,0.29233944756720215
spot_0011,count_only,0.40915928613653624,0.40101459904468656,0.1898261148187772
spot_0012,count_only,0.52606851972834134,0.38228374448591285,0.091647735785745796
spot_0013,count_only,0.47636130884498634,0.1425049895079398,0.38113370164707389
spot_0014,count_only,0.32489628915477381,0.27796623099155632,0.39713747985366987
spot_0015,count_only,0.22474299360148767,0.43556881034549766,0.33968819605301465
spot_0016,count_only,0.12334252186935943,0.5943219315322894,0.28233554659835119
spot_0017,count_only,0.24277582182371255,0.2743978468593572,0.48282633131693026
spot_0018,count_only,0.41200180846666867,0.32198761771567974,0.26601057381765159
spot_0019,count_only,0.19572959730120235,0.60626990506785017,0.19800049763094749
spot_0020,count_only,0.22349577116968239,0.51741509873571878,0.25908913009459877
spot_0021,count_only,0.13469600285859681,0.45857667492418586,0.4067273222172173
spot_0022,count_only,0.48722245511422174,0.20162109808004752,0.31115644680573074
spot_0023,count_only,0.3534538346473689,0.14472885084388806,0.50181731450874301
spot_0024,count_only,0.18929237972725971,0.43372076186434527,0.37698685840839502
spot_0025,count_only,0.4724240483856661,0.19172308212154274,0.33585286949279114
spot_0026,count_only,0.41284597007190504,0.44934395489298035,0.13781007503511464
spot_0027,count_only,0.37578638272064341,0.32295099051873233,0.30126262676062426
spot_0028,count_only,0.61753585094379992,0.19737980360459875,0.18508434545160135
spot_0029,count_only,0.47443152495322682,0.39952823975618074,0.12604023529059241
