component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
total_count,,,2560000,2071098.0,2560000.0,17285077.0,17032317.500579625,252759.49942037463,7158396.943634007,39604249.79816101,2.796248806107034,3.933244217869855
shape_bin,short,fragment_length_lt_100,2560000,,,9338320.0,9212927.137482585,125392.86251741461,5168331.438240155,20777935.40985567,2.0188794680625604,2.848926292390674
shape_bin,mono,fragment_length_100_249,2560000,,,5745610.0,5657114.392714821,88495.6072851792,3962704.980724283,12017607.705344517,1.5479316330954231,2.166651335563755
shape_bin,long,fragment_length_ge_250,2560000,,,2201147.0,2162275.9703822215,38871.02961777849,2165045.885813545,3765135.7856829865,0.845721049145916,1.2127473629253607
