,meanscell_abundance_w_sf_T_CD4,meanscell_abundance_w_sf_T_CD8,meanscell_abundance_w_sf_T_reg,meanscell_abundance_w_sf_mDC,meanscell_abundance_w_sf_mono-mac,meanscell_abundance_w_sf_myeloid,meanscell_abundance_w_sf_pDC,meanscell_abundance_w_sf_plasma,meanscell_abundance_w_sf_tumour_1,meanscell_abundance_w_sf_tumour_2
0,0.011810643,0.027171446,0.015580889,0.021026313,0.021926386,0.010892898,0.0073577496,0.014595732,5.0640807,0.5583802
1,0.054360703,2.9501483,0.12562343,0.03328099,3.90381,0.0183746,0.0072233886,0.072541565,6.2631884,0.104619704
2,0.011787107,0.043542847,0.017886162,0.0057876315,0.009029987,0.008133291,0.004801107,0.037682105,5.5057454,0.035637107
3,0.08583422,7.5606728,0.09102463,0.01038442,3.3947442,0.020928083,0.003454707,0.03966805,0.0028800827,0.0043096603
4,0.027594749,0.113951325,0.03098203,0.015631145,0.024007652,0.009833127,0.0040705334,0.027873274,0.025863184,8.002309
5,0.042162426,4.521929,0.042244315,0.8813357,0.01680293,0.012844708,0.021116147,0.018537205,0.14727016,6.3641872
6,1.8605194,2.17394,0.03806133,0.0101999305,0.18623894,0.012252487,0.0046171336,0.014624123,5.341153,0.17903218
7,0.008422595,0.78305024,0.008041725,0.0021329243,0.004777357,0.0040024645,0.002377623,0.008088269,0.0031091736,0.0025200814
8,0.008294512,0.027698303,0.009269038,0.0038859716,3.6011152,0.0036013022,0.0038899353,0.012432081,0.0023538666,0.0033181217
9,0.023365304,1.0754415,0.023850149,0.006225308,0.009799788,0.017361054,0.003002641,0.019010406,3.593025,0.72270864
10,0.009608014,0.051773377,0.017731816,0.0040285373,0.009259303,0.0065866294,0.01216609,0.012904983,1.4354125,0.09092153
11,0.012146538,0.6213303,0.015110351,0.007076007,4.9339285,0.010180998,0.0063963537,0.023316381,0.0033445226,0.0038854857
12,0.20204613,16.6241,0.094870135,0.9013806,0.008988626,0.017800177,1.300492,0.021718152,0.030589933,3.6315837
13,0.04451666,4.0235367,0.048019167,0.011787064,0.0077832397,0.010432612,0.0055872914,0.05363254,0.061247237,4.3631277
14,0.013989372,0.022638526,0.009119353,0.007689216,0.00838062,0.008533714,0.0050489246,0.014182664,0.0071074083,4.754526
15,0.010897063,0.56502014,0.007269959,0.0040766494,0.0056219893,0.0040724277,0.0011338851,0.011502685,0.0024196296,0.0016057038
16,0.012794173,0.034451414,0.03918082,0.044446614,0.31418315,0.0901875,0.0024717494,0.0096912235,0.060686816,0.006342315
17,0.008139696,0.032007698,0.0095922295,0.004331006,0.009792448,0.0057184463,0.009928092,0.8467519,0.17094769,0.5758964
18,0.045423884,0.4926792,0.038487133,0.01740587,0.020529622,0.018884866,0.07974219,0.07823303,3.3341703,0.037306257
19,0.012202345,3.257681,0.025025379,0.00505916,0.0062615364,0.00825049,0.003060025,0.014982198,0.009565314,0.0064783557
