spot_id,CD14 Mono,CD4 Naive,CD8 Naive
spot_0000,2.8731868267059326,3.1730527877807617,4.3470306396484375
spot_0001,6.832083702087402,4.909331798553467,1.6126405000686646
spot_0002,2.8871798515319824,1.3286560773849487,2.7810447216033936
spot_0003,2.5488226413726807,0.598675012588501,0.5260052680969238
spot_0004,7.581450939178467,3.6249160766601562,2.1257517337799072
spot_0005,0.575405478477478,2.202720880508423,5.8941850662231445
spot_0006,1.8313472270965576,4.375236511230469,3.0933468341827393
spot_0007,2.233666181564331,4.042443752288818,5.024228572845459
spot_0008,8.63684368133545,0.8672444224357605,4.82274055480957
spot_0009,1.2354952096939087,1.6681878566741943,5.684479236602783
spot_0010,3.758448362350464,4.8070855140686035,3.028996229171753
spot_0011,4.197538375854492,4.043281078338623,2.0289525985717773
spot_0012,4.879830837249756,3.6501286029815674,0.7534274458885193
spot_0013,7.651298999786377,1.5342401266098022,6.834909439086914
spot_0014,3.835685968399048,2.3310277462005615,5.652115821838379
spot_0015,3.5525989532470703,6.715735912322998,5.495058536529541
spot_0016,1.367950439453125,3.8094043731689453,5.611766338348389
spot_0017,2.4860496520996094,3.792060613632202,4.074853897094727
spot_0018,6.765474319458008,6.236347198486328,3.4282326698303223
spot_0019,1.7285869121551514,5.106103897094727,1.9075030088424683
spot_0020,2.4011409282684326,4.542931079864502,3.626230478286743
spot_0021,0.9919285774230957,3.067723512649536,3.1939902305603027
spot_0022,4.009584426879883,2.3414347171783447,2.0272912979125977
spot_0023,2.750065803527832,1.8651351928710938,3.2047693729400635
spot_0024,2.24049711227417,5.032253742218018,4.648140907287598
spot_0025,6.105212688446045,2.045856475830078,4.7321295738220215
spot_0026,3.730947732925415,3.569192409515381,1.7000526189804077
spot_0027,2.934983968734741,2.2733705043792725,2.628023862838745
spot_0028,12.905792236328125,4.014629364013672,3.969205141067505
spot_0029,9.335433959960938,8.423439025878906,1.8496429920196533
spot_0030,4.272233486175537,2.325634717941284,5.163781642913818
spot_0031,2.522998571395874,1.326887607574463,2.0956318378448486
