,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
0,0.0022240349,0.003182344,0.0031848112,0.54973716,0.012828345,0.01638358,0.16152504,0.74259233,0.24865514,0.4044085,0.073025964,0.16441701,0.2506913
1,0.0031003878,0.22547594,0.007345461,0.2992939,0.6330431,0.36411458,0.0056010676,0.010045045,0.18415894,0.005537327,0.32517773,0.12916362,0.39848593
2,0.013908852,0.0038783576,0.018679883,0.69129956,0.49680305,0.46260118,0.18828821,0.5706239,0.16160877,0.15896863,0.16015765,0.014271505,0.11890579
3,0.0015470828,0.19406106,0.028295424,0.6627149,0.28421617,0.1989751,0.8224646,0.030920293,0.14033428,0.40425694,0.276564,0.045435786,0.015181384
4,0.0014372189,0.11656552,0.002347845,0.645253,0.00747131,0.09761961,0.007487982,0.17457415,0.33262986,0.124495566,1.0004228,0.02379478,0.39462912
5,0.0016513079,0.0022278419,0.030017285,0.17809571,0.49920708,0.5028647,0.19069332,0.020709932,0.19282274,0.63647026,0.30693808,0.47936463,0.01548146
6,0.0023398674,0.0042426186,0.05365132,0.22432034,0.66017485,0.5202308,0.011403693,0.4425711,0.05935222,0.2491697,0.535222,0.31405193,0.514365
7,0.0026500283,0.0145867085,0.2967229,0.004250678,0.6258645,0.074266024,0.58124816,0.1987713,0.44000235,0.280773,0.1471511,0.22449918,0.01869289
8,0.0022711202,0.052667566,0.0064839656,0.17931761,0.010943638,0.46582958,0.33178204,0.30827847,0.25905603,0.16660649,0.3365182,0.08228525,0.705551
9,0.022392422,0.005463342,0.0031073692,0.0017753554,0.66614157,0.5659911,0.40256834,0.18100128,0.14123848,0.5539093,0.3089676,0.01742591,0.054267157
10,0.0028938532,0.048990168,0.006592855,0.23293258,0.48981273,0.6147476,0.00715824,0.028058644,0.26635116,0.5918219,0.038295526,0.02161936,0.15896444
