dataset_id,cell_type,undirected_edges,boundary_edge_quantile,length_boundary_edges,count_boundary_edges,boundary_edge_jaccard,interpretation
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Mesenchymal,8590,0.9,859,859,0.3495679497250589,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Chondro-osteogenic,8590,0.9,859,859,0.6535129932627527,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Muscle,8590,0.9,859,859,0.6993076162215628,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Endothelial,8590,0.9,859,859,0.742393509127789,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Epithelial,8590,0.9,859,859,0.7388663967611336,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Hepatocyte,8590,0.9,859,859,0.7693099897013388,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Erythroid,8590,0.9,859,859,0.9238521836506159,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Immune,8590,0.9,859,859,0.6268939393939394,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Neural progenitor/regional CNS,8590,0.9,859,859,0.7266331658291457,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Excitatory neuron,8590,0.9,859,859,0.6346336822074216,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Inhibitory neuron,8590,0.9,859,859,0.5907407407407408,paired_method_boundary_agreement_descriptive
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,Peripheral/sensory/motor neural,8590,0.9,859,859,0.4436974789915966,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Excitatory neurons,33029,0.9,3303,3303,0.427706937540523,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Inhibitory neurons,33029,0.9,3303,3303,0.4160771704180064,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Other neurons,33029,0.9,3303,3303,0.34213734254368144,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Astroglia/ependymal,33029,0.9,3303,3303,0.7902439024390244,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Oligodendrocytes,33029,0.9,3303,3303,0.8213399503722084,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,OPCs,33029,0.9,3303,3303,0.7334033062188402,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Microglia/macrophages,33029,0.9,3303,3303,0.6826286296484972,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Other immune,33029,0.9,3303,3303,0.4615044247787611,paired_method_boundary_agreement_descriptive
gse263333_shapemix_five_month_eae_brain_20um_atac_v1,Vascular/stromal,33029,0.9,3303,3303,0.5445405658171616,paired_method_boundary_agreement_descriptive
