dataset_id,method_id,cell_type,spots,undirected_edges,mean_neighbor_absolute_difference,median_neighbor_absolute_difference,morans_i_knn,interpretation
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Mesenchymal,2500,8590,0.022088969983473185,0.014757641649980549,0.4432909959101672,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Chondro-osteogenic,2500,8590,0.07777063255172972,0.04601284573770145,0.7260251325491203,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Muscle,2500,8590,0.06287761681266363,0.0445561187687101,0.6230680923371298,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Endothelial,2500,8590,0.044965766582987905,0.03524246765327015,0.43296810522020834,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Epithelial,2500,8590,0.04961306926132004,0.0319228045815607,0.39546835057343627,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Hepatocyte,2500,8590,0.02262511939024346,0.015574762495864897,0.27203566476756763,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Erythroid,2500,8590,0.04904619103477798,0.028740035142103652,0.9137542993884459,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Immune,2500,8590,0.020020954628766432,0.013423531861789902,0.21635410974530375,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Neural progenitor/regional CNS,2500,8590,0.05232019815454036,0.0348093472381615,0.6729528444058962,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Excitatory neuron,2500,8590,0.01783375687614007,0.007519685960583403,0.7356381775853433,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Inhibitory neuron,2500,8590,0.028663758660361596,0.00965348225577185,0.6807433746260597,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_length,Peripheral/sensory/motor neural,2500,8590,0.0421871861458397,0.02952472420768065,0.3149542357952774,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Mesenchymal,2500,8590,0.040769965852593786,0.02468029125051155,0.5132485361549315,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Chondro-osteogenic,2500,8590,0.06925701410098074,0.039031167080190846,0.7336963454145696,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Muscle,2500,8590,0.06947716959794409,0.0490302631317919,0.6341189626554058,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Endothelial,2500,8590,0.04767551917752826,0.03772121421957925,0.43577187549026297,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Epithelial,2500,8590,0.054922121769940574,0.03468553494830985,0.40485069246319144,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Hepatocyte,2500,8590,0.025232742125846034,0.01715808659367295,0.27965433681372365,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Erythroid,2500,8590,0.047893216364626144,0.027221753670625196,0.9138352817560301,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Immune,2500,8590,0.0218276764375125,0.014764461971841652,0.22191352924472768,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Neural progenitor/regional CNS,2500,8590,0.050562998492264345,0.031311658727303654,0.708371737030568,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Excitatory neuron,2500,8590,0.019310991699837576,0.0069631747747026995,0.7192528462471619,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Inhibitory neuron,2500,8590,0.018018499186305374,0.006391355685154752,0.6993608009745323,descriptive_no_spatial_prior
gse263333_shapemix_mouse_embryo_e13_50um_atac_v1,shapemix_count_only,Peripheral/sensory/motor neural,2500,8590,0.029191124050782596,0.0186820945436421,0.41148836209379946,descriptive_no_spatial_prior
