restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,0,0,0,0]",True,objective_patience,1103,-51066.717529296875,-70149.41650390625,-4916.13232421875,-126132.26635742188,[],26.030232320947107,1100,4277.72216796875,1104,False
1,"[20260822,0,0,0,1]",True,objective_patience,1132,-51068.8779296875,-70146.3994140625,-4916.890625,-126132.16796875,[],25.71684103301959,1130,2.858731269836426,1133,False
2,"[20260822,0,0,0,2]",True,objective_patience,1232,-51068.92822265625,-70146.31982421875,-4916.90185546875,-126132.14990234375,[],27.783141927036922,1230,2.8479387760162354,1233,True
