spot_id,CD14 Mono,CD4 Naive,CD8 Naive,CD4 TCM,CD16 Mono,NK,CD8 TEM_1,CD8 TEM_2,Intermediate B,Memory B,CD4 TEM,cDC,Treg,gdT,MAIT,Naive B
spot_0000,0.6626007912748016,0.18737642180963876,0.0,0.0,0.0,0.046416613540435255,0.0,0.7188778201619245,0.0,0.06193561725416669,0.0,0.0,0.051554349535645645,0.11505938749896166,0.0,0.0
spot_0001,0.0,1.7010602598611613,0.3408190540485463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01130358633400471,0.0,0.0,0.0
spot_0002,0.0,0.9428358031159435,0.13300288060817347,0.47775255620567314,0.0,0.0,0.0,0.0,0.0,0.012376021193904043,0.24545342104381782,0.0,0.10859243796683564,0.0,0.0,0.0
spot_0003,0.8541491403816338,0.6962840611643748,0.2960810425150662,0.0,0.07572192435550851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012370768657148272
spot_0004,1.9473972247131026,0.0,0.0,0.0,0.7537283387256826,0.0,0.0,0.0,0.0,0.0,0.0,0.0893463151589065,0.021429228950741744,0.0,0.0,0.005292842245714663
spot_0005,0.0,0.0,0.0,0.0,0.04510295527957453,0.0598367924629377,0.0,0.0,0.0,0.06143606287432666,0.3121040559937179,0.787281830161227,0.0,0.07159929704353953,0.0,0.011060732463288044
spot_0006,0.0,0.0,0.0,0.585238903742867,0.0,0.0,0.0,0.07502633390876401,0.0,0.0,0.0,0.0,0.08591252041202271,0.0,0.0,0.0
spot_0007,0.0,0.8387083646626752,0.0,1.4307306235128503,1.288702541972629,0.0,0.0,1.0067593119613638,0.0,0.0,0.0,0.0005222321775469303,0.0,0.0,0.49216283746373185,0.0
spot_0008,0.9922048819159758,0.0,0.0,0.0,0.0,0.0,0.05028973251270899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spot_0009,0.4589029632648744,0.2535951074970723,0.0,0.2997664380538005,0.27166627472682,0.0,0.0909542886080102,0.0,0.008799820511528946,0.0,0.0,0.0,0.42305184139489194,0.0,0.0,0.0
spot_0010,1.6454162417764864,1.4897146615627037,0.632054016522826,0.0,0.5155018632937444,0.2420609849443513,0.0,0.0,0.0,0.0,0.0,0.0,0.8203878491329037,0.0,0.0,0.0
spot_0011,0.0,0.0,1.0289675472514408,0.0,0.01808524441863264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spot_0012,0.514850519014824,1.563290647688924,0.0,0.0,0.0,0.8738846997455532,0.0,0.0,0.0,0.0,0.0,0.0,0.3092851243974102,0.022792223800296038,0.0,0.0
spot_0013,2.275727439460794,0.1056526106918944,0.015103282877039652,0.0,0.0,0.026871770417555944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056927035539459166,0.0,0.0
spot_0014,0.0,0.5397422504978352,0.0,2.053696560708077,0.0,0.0,0.0,0.0,0.0,0.0,0.4167872566128313,0.0,0.0,0.0,0.0,0.0
spot_0015,0.0,0.25281213896928173,0.8332667218393579,0.0,0.03521742499894661,0.025716576817675554,0.0,0.0,0.0,0.004271122471100519,0.0,0.0,0.0,0.0,0.0,0.0
spot_0016,0.0,0.0,0.0,0.5931617784379497,0.005450100479206618,0.0,0.0,0.0,0.0,0.0,0.10577336034997864,0.0,0.12798626634576798,0.0,0.15840413976297016,0.0
spot_0017,1.057522610491474,0.0,2.1035261906710696,0.0,0.0333288035695993,0.0,0.0033178930450019394,0.0,0.0,0.0,0.0,0.09511950507193795,0.0,0.0,0.0,0.0
