restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,False,0,-12678449.78125,-13064573.4609375,-34973.136962890625,-25777996.37915039
0,False,1,-12652574.76953125,-13064540.30859375,-35150.217529296875,-25752265.295654297
0,False,2,-12630447.625,-13064497.0078125,-35323.943359375,-25730268.576171875
0,False,3,-12611719.49609375,-13064444.671875,-35492.495361328125,-25711656.663330078
0,False,4,-12595991.3046875,-13064383.46875,-35654.46044921875,-25696029.23388672
0,False,5,-12582863.49609375,-13064314.078125,-35808.538330078125,-25682986.112548828
0,False,6,-12571950.48046875,-13064236.83984375,-35953.646484375,-25672140.966796875
0,False,7,-12562887.4296875,-13064152.33984375,-36089.0205078125,-25663128.790039062
0,False,8,-12555341.2578125,-13064061.06640625,-36214.237060546875,-25655616.561279297
0,False,9,-12549018.71484375,-13063964.078125,-36329.181640625,-25649311.974609375
0,False,10,-12543672.98046875,-13063862.59375,-36434.000732421875,-25643969.574951172
0,False,11,-12539101.875,-13063757.57421875,-36529.03369140625,-25639388.482910156
0,False,12,-12535143.94921875,-13063650.13671875,-36614.755615234375,-25635408.841552734
0,False,13,-12531671.609375,-13063540.61328125,-36691.726318359375,-25631903.94897461
0,False,14,-12528585.45703125,-13063430.15625,-36760.553955078125,-25628776.167236328
0,False,15,-12525809.6640625,-13063318.8515625,-36821.869140625,-25625950.384765625
0,False,16,-12523287.7734375,-13063207.37890625,-36876.29736328125,-25623371.44970703
0,False,17,-12520978.390625,-13063095.8984375,-36924.459716796875,-25620998.748779297
0,False,18,-12518850.4921875,-13062984.859375,-36966.973876953125,-25618802.325439453
0,False,19,-12516881.7890625,-13062874.77734375,-37004.443115234375,-25616761.009521484
0,False,20,-12515054.80859375,-13062765.69921875,-37037.453125,-25614857.9609375
0,False,21,-12513355.65234375,-13062657.9140625,-37066.563232421875,-25613080.129638672
0,False,22,-12511771.39453125,-13062551.3359375,-37092.30078125,-25611415.03125
0,False,23,-12510290.7421875,-13062446.41796875,-37115.162353515625,-25609852.322509766
0,False,24,-12508902.71875,-13062343.01171875,-37135.593994140625,-25608381.32446289
0,False,25,-12507598.60546875,-13062241.109375,-37153.993408203125,-25606993.708251953
0,False,26,-12506370.96484375,-13062140.86328125,-37170.704345703125,-25605682.532470703
0,False,27,-12505214.16015625,-13062041.89453125,-37186.007568359375,-25604442.06225586
0,False,28,-12504123.3828125,-13061944.3046875,-37200.1337890625,-25603267.821289062
0,False,29,-12503094.6796875,-13061848.29296875,-37213.263916015625,-25602156.236572266
0,False,30,-12502124.01171875,-13061753.28515625,-37225.546142578125,-25601102.843017578
0,False,31,-12501207.3203125,-13061659.53125,-37237.0888671875,-25600103.940429688
0,False,32,-12500341.28515625,-13061566.8828125,-37247.970703125,-25599156.138671875
0,False,33,-12499522.27734375,-13061475.5,-37258.2294921875,-25598256.006835938
0,False,34,-12498747.375,-13061384.9140625,-37267.872802734375,-25597400.161865234
0,False,35,-12498013.875,-13061295.28515625,-37276.882568359375,-25596586.04272461
0,False,36,-12497319.21484375,-13061206.56640625,-37285.23291015625,-25595811.014160156
0,False,37,-12496660.88671875,-13061118.54296875,-37292.9072265625,-25595072.336914062
0,False,38,-12496036.4453125,-13061031.19921875,-37299.900146484375,-25594367.544677734
0,False,39,-12495443.39453125,-13060944.61328125,-37306.21826171875,-25593694.22607422
0,False,40,-12494879.55859375,-13060858.67578125,-37311.873046875,-25593050.107421875
0,False,41,-12494343.30859375,-13060773.30859375,-37316.876220703125,-25592433.493408203
