"","Adipocyte","Atrial Cardiomyocyte","Endothelial cell","Fibroblast","Lymphatic Endothelial cell","Lymphoid","Mast cell","Mesothelial cell","Mural cell","Myeloid","Neural cell","Ventricular Cardiomyocyte"
"0",0.000198479271754808,0.000198479271754808,0.346870753215057,0.0061200149062617,0.00239905091176149,0.126345570639034,0.0183862582754577,0.16891190927615,0.0773765070531155,0.00605017154650926,0.0355406798945744,0.211602125738569
"1",0.000172889874055547,0.0162170544606313,0.0496295329251917,0.0951758073319482,0.0471288212501417,0.000138967558343422,0.0848511726738979,0.00774882808302794,0.117426258663345,0.141259373344063,0.0217162229065691,0.418535070928785
"2",0.000198650977347402,0.000198650977347401,0.0455470150411369,0.137609687556511,0.147931346911878,0.0843463986287972,0.0233507170625064,0.0662015992580136,0.0254088929416772,0.231494718143825,0.0573380779496357,0.180374244551324
"3",0.000283294483471018,0.000887515482455197,0.00845459157791049,0.106644046221815,0.136839809632251,0.0286197546392465,0.0306715740798393,0.176215389667017,0.217085463732489,0.0866811246789453,0.14745344732566,0.0601639884788985
"4",0.0180614708921248,0.0602244897790042,0.119480115136426,0.0307598215688666,0.286335825799036,0.00640836144333744,0.0910957164376055,0.0851135773249007,0.00741748657614132,0.079090511129983,0.0365506784372165,0.179461945475357
"5",0.0257589130044003,0.000201242073559119,0.114974701237584,0.0178325152765711,0.0412896522742363,0.0219152993977203,0.000139127787069997,0.182514513163495,0.012114159815311,0.000139127787069997,0.137062668774803,0.44605807940818
"6",0.000102819575670775,9.45615551883427e-05,0.0527719729590023,0.0383171077361537,0.116329943075161,6.8153492007986e-05,6.8153492007986e-05,0.0550266812201788,0.00142409169850642,6.81534920079862e-05,0.049180780110078,0.686547581594037
"7",0.0001981621341915,0.000198162134191496,0.195284944497573,0.123159155277357,0.295895699372056,0.0348182536308264,0.084924278192846,0.0600865379738179,0.000198162134191502,0.103281300592287,0.101757181926472,0.0001981621341915
"8",0.0458839220168468,0.0405045821217348,0.00715858013669733,0.0135213096221602,0.171110197079217,0.0846792484466605,0.00866530883711438,0.0853569644542922,0.000198173514704751,0.0775127788906106,0.295526261133124,0.169882673746838
"9",0.0001985605135884,0.0001985605135884,0.246764934287315,0.0001985605135884,0.127333941688369,0.118630075126896,0.0094879949858249,0.00871978401278662,0.270854182009435,0.127664586059454,0.0897502597755653,0.0001985605135884
