,meanscell_abundance_w_sf_T_CD4,meanscell_abundance_w_sf_T_CD8,meanscell_abundance_w_sf_T_reg,meanscell_abundance_w_sf_mDC,meanscell_abundance_w_sf_mono-mac,meanscell_abundance_w_sf_myeloid,meanscell_abundance_w_sf_pDC,meanscell_abundance_w_sf_plasma,meanscell_abundance_w_sf_tumour_1,meanscell_abundance_w_sf_tumour_2
0,0.03534626,0.023632817,0.048487972,0.014028601,0.014850508,0.022897959,0.004666585,0.016878834,3.8247685,0.4294995
1,0.138277,2.0262747,0.535756,0.09741057,3.2779596,0.06643851,0.015368685,0.08335787,4.9282465,0.049269114
2,0.055840272,0.04667409,0.06857685,0.0127913775,0.0106749395,0.021937264,0.006645624,0.026656136,3.9941041,0.04974609
3,0.048141886,7.5145555,0.04214381,0.014785783,3.619116,0.022322621,0.0062209074,0.059307538,0.00206293,0.0022259005
4,0.08096882,0.12634316,0.13731907,0.030849127,0.08638932,0.04830865,0.010019059,0.06871276,0.0071486,6.0472317
5,0.09487708,3.7694979,0.10907712,0.9306954,0.054731112,0.05921826,0.16655436,0.049993187,0.03766062,4.998031
6,1.2865202,2.6186306,0.18381427,0.034783334,0.29945013,0.05495331,0.01231185,0.037513994,4.9400077,0.3581875
7,0.007824053,0.8239929,0.009384027,0.0026846332,0.007941236,0.0074915444,0.0046543074,0.013548442,0.0019343925,0.0028249808
8,0.0107169235,0.039421324,0.01146568,0.0055284468,3.4318426,0.007025003,0.009268621,0.016894143,0.0014299566,0.002303664
9,0.053259604,0.78449583,0.057066858,0.013529327,0.020441433,0.03399734,0.0075110076,0.05440147,2.7644753,0.79381
10,0.015431832,0.037206285,0.03689012,0.00452961,0.012219172,0.011439745,0.017192937,0.024404876,0.9793442,0.060969327
11,0.012594701,0.87270886,0.017788753,0.010339777,4.9721975,0.012563391,0.010561281,0.030027945,0.0022954002,0.0025325443
12,0.283344,15.078288,0.10431604,0.9129185,0.024901174,0.07464166,1.1792657,0.06351308,0.011428936,3.0874352
13,0.09633319,3.207551,0.0801103,0.018173484,0.012325398,0.03408876,0.0050458773,0.071305975,0.039553203,3.305429
14,0.020878129,0.025408596,0.023397347,0.012218805,0.010121297,0.011949621,0.004749448,0.014820869,0.0042069326,3.5102422
15,0.013429588,0.57399887,0.0061835577,0.0025233566,0.00672649,0.0065833856,0.0019900405,0.015260049,0.0013241614,0.0009179709
16,0.016094573,0.034977805,0.03879622,0.06105558,0.32121918,0.075532265,0.0033763028,0.01253343,0.020987907,0.023889303
17,0.0105470745,0.030032074,0.015495595,0.0055355565,0.012835438,0.012956846,0.024601279,0.6761147,0.024407387,0.5399365
18,0.13445574,0.12967235,0.121577546,0.01612686,0.013133019,0.0319249,0.101762466,0.1450434,2.8055937,0.020417033
19,0.01336342,3.1002934,0.017359061,0.010738916,0.008013187,0.009904175,0.0066129514,0.016873445,0.0044401493,0.0047085513
20,0.07886676,5.530141,0.12658143,0.017707845,0.015890874,0.045654994,0.011217986,0.032502167,3.8981545,0.46307018
21,0.0068335054,0.03678713,0.0060958853,0.003626255,0.28490677,0.006703383,0.00428765,0.04053975,0.0014938888,0.001435813
22,0.027368084,0.085320294,0.031419273,0.0121765975,0.013976701,0.012030586,0.004435959,0.03379369,1.3857797,0.38525563
23,0.15126188,1.5766747,0.13640328,0.030847436,0.07269204,0.02743847,0.04262241,0.075807765,3.3007758,0.031447347
