path	other_machine_size_bytes	current_repo_size_bytes	current_minus_other_bytes	other_machine_sha256	current_repo_sha256
data/processed/datasets/human_cardiac_niches_sim_1zone_10ct/atac/spatial.h5ad	1475135848	1475135824	-24	be4482d6431609862abc830b72b7cc2c5725950c9098386a6301e11ded778e24	b8cf377732ae77d7bf36a2bd5b74f7cd657e77b96a67e4ccfdf128b1dad3bbf2
data/processed/datasets/human_cardiac_niches_sim_4zone_stripes/atac/spatial.h5ad	1393095016	1393094992	-24	4e867a76ae1ab8565c500c253f8fc52de7f5db707cc6f178a63197fc939b8e6e	dfd139d61973e72b417f583af2dd4267f6dc08de8b2356e9f3b76b85c0ec523b
data/processed/datasets/human_cardiac_niches_sim_4zone_circles/atac/spatial.h5ad	1109049512	1109049488	-24	b7837e4dd9c1656054e1e97301d43e74d0027dac185fa48cb7050066ef3908b1	fd057d0f16a17f490a81b7be136369dcab16cc5c64d6950d919c25a6014c5a21
data/processed/datasets/human_cardiac_niches_sim_1zone_3ct_low_density/atac/spatial.h5ad	685221352	685221264	-88	35a0a8b0b26914c92cedbdf95ac61c88ea0cc749a695cd1cd99de5a2d453c392	b895858565901709a9a9a0e59cba1cd5bd3656fd0f1f2b00d3b01dc895dd3ef4
data/example_notebooks/simulation/Heart_heterogeneous_4zones.h5mu	503875336	503875336	0	5d5c6a85f8bcea062f6a5dd880b775e80c3474a8905a8f206906c8b0d76e044c	836abd03b9c030b856c805f39befb67923af2e62beb089aa352b69416f8aaa2e
data/example_notebooks/simulation/Heart_homogeneous_1zone.h5mu	319490984	319490984	0	b25385319cf9d7d5b7338a57550bfc967d8efa4e3e84acf80d9ca19a989de76b	2b85031cb47ceaf2168bc94bcde1cb0e5820980e97e08824f1528c184d6b7273
data/processed/datasets/human_cardiac_niches_sim_1zone_10ct/rna/spatial.h5ad	169422264	169422168	-96	0026892beb7fa7a44649d0ff3a3054fd07eb183b04bab533ed78323159590693	defb09cd0972c62a03dd5281c9f1931e2c6e02c6194522ac9098e6f089efa9a0
data/processed/datasets/human_cardiac_niches_sim_4zone_stripes/rna/spatial.h5ad	157645496	157645400	-96	9361c373362cb82960e2e9c2130b2643f7ed2f632a9203f0103abb4338b4174b	fc7ea4a32a2a04bfbb639eac60fcc725d4ebc223022913d529743e14b6a1bf70
data/processed/datasets/human_cardiac_niches_sim_4zone_circles/rna/spatial.h5ad	131781752	131781656	-96	4a110a7ea0dbbcc97a8c2775aea33eacc4e7b4008de1f9f55af2fda42b0c5054	8c694d44adc74312955ef13ff725a188eab2b66314b5c2dc58277b32ba02215c
data/processed/datasets/human_cardiac_niches_sim_1zone_3ct_low_density/rna/spatial.h5ad	97544376	97544280	-96	e489c781d4f6bb8c75dee6a8f621773315d662b86bab6d79768fd2d628d2bda8	8c38517fc5e1812c0dcd8deaa6af09810da75d3afc1738996cd4b339c57107bc
data/processed/shapemix/pbmc_granulocyte_sorted_10k/full_universe_shape_cache.h5ad	66713473	66713473	0	7c696a43e50e8ca05edf8af53ef8abf208a50a4f711b59096ad23a1252773c54	b4329518e3010d1e7431a49b87a261b28d402022288e2cd845f62a3a216811d8
data/raw/sources/snapatac2/pbmc10k_multiome/rna.h5ad	23147214	45486209	22338995	72505189d3c03cdebc299e31e80aafed29af538dcef34a6708f76b7998ed6dcb	a25327acff48b20b295c12221a84fd00f8f3f486ff3e7bd090fdef241b996a22
data/processed/shapemix/pbmc_granulocyte_sorted_10k/split_5501/reference_cells.h5ad	39859396	39859396	0	5432bdaa15a3d52d60a2688f77c37cc6343eea2c0a0f8457b212675dae8deab3	c0134dceb2623555f808d00afe33e68e24c2362f09fa6155f8170e0ed7343ed4
data/processed/shapemix/pbmc_granulocyte_sorted_10k/split_3301/reference_cells.h5ad	39571793	39571793	0	071060d4c7fe716313fa0c025f69251fe3136dd1aa2080b0b5835dd42112c695	972becccad6a876a2b80034b272c9307a67e64705b6610944b1b7c73e6c59c0e
data/processed/shapemix/pbmc_granulocyte_sorted_10k/split_4409/reference_cells.h5ad	39559066	39559066	0	1fa2393285fb7089913507811cf6cfecee51e9df31ea90e3dafe9da177cda1d8	0670dd7a92a8ddd89ff3a2f69455ec2bdf99eef37da0bdf76b9875dd18488573
data/processed/shapemix/pbmc_granulocyte_sorted_10k/split_1103/reference_cells.h5ad	39452246	39452246	0	fe7dbc0a2bc1fea482aa1cc91cc31895d2f8e8d05fd515e810f16e69ea6a5faa	aa07655da756e8af065b08729a898933e440c18d017cff1db5191487f0118877
data/processed/shapemix/pbmc_granulocyte_sorted_10k/split_2203/reference_cells.h5ad	39243093	39243093	0	fe1297339d16d463f992add15c3ffff0d18327cac0023c2fa938c68fc3f3d0e6	2df43860f0feaef4d7c1d4e9c56ca35fcad54b27973a0f3b5688d23834f0171c
data/processed/datasets/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101/atac/spatial.h5ad	27561657	27561657	0	b3c954cc0b00e194d3a46bfaa272b6fdb1ed30a6acd364e330cebb26cfa3e495	06c5dee9758be6f3b8c39333e7c2f9d9196c652b8210413785c1d47dfa5f7ab1
data/processed/datasets/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101/atac/spatial.h5ad	27511203	27511203	0	c835aa7716338f088288ed54cb8429e78bfc82560da2aa40ccb4fabd087badfb	7142f2d2e214badca66cdb472733a53d932a47a206cc739cb375de68fad029bc
data/processed/datasets/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211/atac/spatial.h5ad	27473453	27473453	0	5875e45d1516f65dfe4e49634c4225c952e7ff0ff5a0742f8d52e4205e04378c	fc831fbf21eb72f83bd04c3564a790f219da7538c967002d23c008f8f70a9685
data/processed/datasets/pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101/atac/spatial.h5ad	27465724	27465724	0	f888ca191d3280f561837c13b3672759e250beb70d4166e70ca9d903281148d1	121ba66a210b32cd872623e0a71349a07927e54b0a369d0e2800b922b7a84934
