"","cell_ID","T_reg","mono-mac","T_CD8","tumour_2","tumour_1","T_CD4","plasma","pDC","mDC","myeloid"
"1","0",0,0,0,0.185383596352497,0.814616403647503,0,0,0,0,0
"2","1",0,0.347691894973483,0,0,0.652308105026517,0,0,0,0,0
"3","2",0,0,0,0,1,0,0,0,0,0
"4","3",0,0.316924268413435,0.683075731586566,0,0,0,0,0,0,0
"5","4",0,0,0,1,0,0,0,0,0,0
"6","5",0,0,0,0.783050329582141,0,0,0,0,0.216949670417858,0
"7","6",0,0,0,0.231202624620234,0.768797375379766,0,0,0,0,0
"8","7",0.878844547846802,0,0,0,0,0,0,0.121155452153198,0,0
"9","8",0,1,0,0,0,0,0,0,0,0
"10","9",0,0,0,0.19534993459174,0.80465006540826,0,0,0,0,0
"11","10",0,0,0,0,1,0,0,0,0,0
"12","11",0,1,0,0,0,0,0,0,0,0
"13","12",0.228722093007996,0,0,0.438939416884339,0,0,0,0.131458839851017,0.200879650256648,0
"14","13",0,0,0,1,0,0,0,0,0,0
"15","14",0,0,0,1,0,0,0,0,0,0
"16","15",0.497552471399238,0.180227514840875,0,0,0,0,0.322220013759887,0,0,0
"17","16",0,1,0,0,0,0,0,0,0,0
"18","17",0,0,0,0.663250848882898,0,0,0.336749151117102,0,0,0
"19","18",0,0,0,0,1,0,0,0,0,0
"20","19",0,0,0.823408764528188,0,0,0,0,0,0.176591235471812,0
"21","20",0,0,0,0,1,0,0,0,0,0
"22","21",0,1,0,0,0,0,0,0,0,0
"23","22",0,0,0,0.368283173710113,0.631716826289887,0,0,0,0,0
"24","23",0,0,0,0,1,0,0,0,0,0
"25","24",0,0,0,0.55608700129624,0,0,0.44391299870376,0,0,0
"26","25",0,0,1,0,0,0,0,0,0,0
"27","26",0.272416030728779,0,0,0.727583969271221,0,0,0,0,0,0
"28","27",0,0,0,1,0,0,0,0,0,0
"29","28",0,0,0,1,0,0,0,0,0,0
"30","29",0,0.121871941310105,0,0.0906601024749505,0.787467956214944,0,0,0,0,0
"31","30",0,0,0.782221804822074,0,0.217778195177926,0,0,0,0,0
"32","31",0,0.290205883102246,0,0,0.570025909470747,0,0.139768207427008,0,0,0
"33","32",0,0.26177495569223,0.283574589594232,0,0.454650454713538,0,0,0,0,0
"34","33",0,0.924983915072945,0,0,0.0750160849270553,0,0,0,0,0
"35","34",0,0,0,0,1,0,0,0,0,0
"36","35",0,0,0,0,1,0,0,0,0,0
"37","36",0,0,0,0,0,0.175669809437924,0.824330190562076,0,0,0
"38","37",0,0,0,1,0,0,0,0,0,0
"39","38",0,0.141077486010318,0.696529638245111,0,0,0.162392875744571,0,0,0,0
"40","39",0.416216853596954,0,0,0.583783146403046,0,0,0,0,0,0
"41","40",0,0,1,0,0,0,0,0,0,0
"42","41",0,0,1,0,0,0,0,0,0,0
"43","42",0,0,0,0.783840918726573,0,0,0,0,0,0.216159081273427
"44","43",0,0,0.721554044436859,0,0,0,0,0,0.278445955563141,0
"45","44",0,0,0,1,0,0,0,0,0,0
"46","45",0,1,0,0,0,0,0,0,0,0
"47","46",0,0.446825894711641,0.553174105288359,0,0,0,0,0,0,0
"48","47",0,0,1,0,0,0,0,0,0,0
"49","48",0,0,0,0,0,0.218990512991501,0.781009487008499,0,0,0
"50","49",0.185014843665408,0.229830560037929,0.343156906718418,0,0.241997689578245,0,0,0,0,0
"51","50",0,0.802717326394417,0,0,0.197282673605583,0,0,0,0,0
"52","51",0,0,0,0,1,0,0,0,0,0
"53","52",0,0,0,0,0,0.389249008436074,0.610750991563926,0,0,0
"54","53",0,0.186724620990876,0.244189915892845,0,0,0,0,0,0.569085463116279,0
"55","54",0,0,0,0,0,0,0,0,0,1
"56","55",0,0.405132374305243,0.538606479186938,0,0,0,0,0,0,0.0562611465078193
"57","56",0,0.476957552461779,0.523042447538221,0,0,0,0,0,0,0
"58","57",0,0,1,0,0,0,0,0,0,0
"59","58",0,0,0,1,0,0,0,0,0,0
"60","59",0,0.132061637109266,0,0.867938362890734,0,0,0,0,0,0
"61","60",0.228646166145106,0.365621092919235,0,0.405732740935659,0,0,0,0,0,0
"62","61",0,0.190369690552774,0.526211160259768,0,0,0,0,0,0.283419149187458,0
"63","62",0,0,0,0,0,0,1,0,0,0
"64","63",0,0,0.73623871668317,0,0.26376128331683,0,0,0,0,0
"65","64",0,0,0,0,1,0,0,0,0,0
"66","65",0,0,0,0,1,0,0,0,0,0
"67","66",0,0.417080052160617,0.582919947839383,0,0,0,0,0,0,0
