spot_id,CD14 Mono,CD4 Naive,CD8 Naive
spot_0000,0.32545342697656976,0.30708874297018784,0.3674578300532424
spot_0001,0.5151819923945117,0.231689313921957,0.2531286936835313
spot_0002,0.29729755067617614,0.33812475396104114,0.3645776953627827
spot_0003,0.1166877066965392,0.5448363703751099,0.3384759229283509
spot_0004,0.04684667800068229,0.49505386440898896,0.4580994575903288
spot_0005,0.5099642468274233,0.20810431397055634,0.28193143920202035
spot_0006,0.3249415874553594,0.3166119611570057,0.3584464513876349
spot_0007,0.5690701418052097,0.24539372525424802,0.18553613294054236
spot_0008,0.25464142117264393,0.3605718567243029,0.38478672210305315
spot_0009,0.6180936641457411,0.17715487544371386,0.20475146041054507
spot_0010,0.4154469762525205,0.2898370454435262,0.2947159783039534
spot_0011,0.3870288007861702,0.2813899457145077,0.33158125349932216
spot_0012,0.19541825325085838,0.41534659606584007,0.3892351506833015
spot_0013,0.20858036509928363,0.5421674002099108,0.24925223469080557
spot_0014,0.5623557696842989,0.18827495598361246,0.2493692743320887
spot_0015,0.4263081856787383,0.25386906478408683,0.3198227495371749
spot_0016,0.21874072632479663,0.3889929484999577,0.3922663251752456
spot_0017,0.31864513598057964,0.2470796661373872,0.4342751978820331
spot_0018,0.29510556729865056,0.39654515465611484,0.3083492780452346
spot_0019,0.4019289172948694,0.2856618982089878,0.3124091844961428
spot_0020,0.3260760569467737,0.25914620960272794,0.41477773345049834
spot_0021,0.5051980277714934,0.2258485302864397,0.268953441942067
spot_0022,0.23506021713746192,0.3487178271405912,0.4162219557219469
spot_0023,0.41110243863726303,0.3067040776746983,0.28219348368803865
spot_0024,0.4086105865027117,0.288138943453245,0.30325047004404326
spot_0025,0.007539386173773017,0.48243000463752117,0.5100306091887058
spot_0026,0.4619573326359309,0.3135963308037566,0.22444633656031251
spot_0027,0.2846099192615207,0.3921529214154065,0.3232371593230729
spot_0028,0.37510202342813803,0.34439978467099647,0.2804981919008655
spot_0029,0.4945696021446163,0.20453036389216916,0.3009000339632145
spot_0030,0.5026460483597084,0.2501107928983606,0.247243158741931
spot_0031,0.17427470175252738,0.42764656184832783,0.3980787363991448
spot_0032,0.3603368793998184,0.34572789653818464,0.29393522406199696
spot_0033,0.23561936486380192,0.41345579690045375,0.35092483823574433
spot_0034,0.6108634177435341,0.2054032403438061,0.1837333419126598
spot_0035,0.19675087489456825,0.4389660166197256,0.3642831084857061
spot_0036,0.006342936767759504,0.42479695410937485,0.5688601091228657
spot_0037,0.4152215797572501,0.31794408888976977,0.2668343313529801
spot_0038,0.40655585205652733,0.3080840603228326,0.2853600876206401
spot_0039,0.18016720076565662,0.3961840398720956,0.4236487593622478
spot_0040,0.37925002425070337,0.30554781156093275,0.31520216418836394
spot_0041,0.44689776403191805,0.34834244790065894,0.20475978806742298
spot_0042,0.3321103160988219,0.30818273209454977,0.3597069518066283
spot_0043,0.22524636325676908,0.42102252374977783,0.3537311129934531
spot_0044,0.44767935861842933,0.3043593792560479,0.24796126212552277
spot_0045,0.478680252444154,0.29315206295613755,0.2281676845997084
spot_0046,0.36157539863832183,0.34235202844188306,0.29607257291979516
spot_0047,0.36531305052236374,0.30637342169729415,0.3283135277803421
spot_0048,0.28647906843954557,0.345286612479607,0.3682343190808474
spot_0049,0.5244922318546278,0.16396804664144168,0.31153972150393056
