scale,cpu_cuda_proportion_max_abs,cpu_cuda_proportion_tolerance,cuda_repeat_proportion_max_abs,cuda_streamed_cached_proportion_max_abs,cpu_cuda_metric_max_abs,cpu_wall_runtime_seconds,cuda_cached_wall_runtime_seconds,cuda_repeat_wall_runtime_seconds,cuda_streamed_wall_runtime_seconds,cpu_average_process_cpu_cores,cuda_cached_average_process_cpu_cores,cuda_repeat_average_process_cpu_cores,cuda_streamed_average_process_cpu_cores,cpu_peak_rss_bytes,cuda_cached_peak_rss_bytes,cuda_repeat_peak_rss_bytes,cuda_streamed_peak_rss_bytes,cuda_cached_peak_allocated_bytes,cuda_cached_peak_reserved_bytes,cuda_repeat_peak_allocated_bytes,cuda_repeat_peak_reserved_bytes,cuda_streamed_peak_allocated_bytes,cuda_streamed_peak_reserved_bytes,single_host_thread_passed,resource_preflight_present,resource_preflight_passed,launch_load_max,launch_available_memory_min_bytes,launch_gpu_temperature_max_c,cuda_speedup,repeat_same_status,cached_cache_mode,repeat_cache_mode,streamed_cache_mode,original_predeclared_gate_passed,production_backend,routed_cpu_cuda_proportion_tolerance,routing_passed
smoke,0.005611634046344488,1e-05,0.0,0.0,6.625452497219242e-05,5.314036762982141,4.962866715970449,4.454222076048609,5.041658583038952,1.153548662422116,1.2130085985641548,1.1809020543192592,1.1940515012762594,1056866304,1708015616,1725644800,1727762432,68390400,69206016,68390400,69206016,68390400,69206016,True,True,True,0.58740234375,11942703104,40,1.0707595160437475,True,full_cuda,full_cuda,streamed_host_chunks,False,cpu,,True
full_size,0.03643531588281099,0.0001,0.0,0.0,0.00016792804759119262,2647.1459114030004,648.417741851008,647.3419562529889,963.8537107149605,1.1757228744336425,1.1931968391108225,1.1943919168709543,1.19720450019749,2172850176,2998886400,4068556800,4637511680,136302592,138412032,136302592,138412032,75255808,140509184,True,True,True,1.7666015625,9308913664,51,4.082469896407084,True,full_cuda,full_cuda,streamed_host_chunks,False,cuda:0,0.0002,False
