spot_id,CD14 Mono,CD4 Naive,CD8 Naive,CD4 TCM,CD16 Mono,NK,CD8 TEM_1,CD8 TEM_2,Intermediate B,Memory B,CD4 TEM,cDC,Treg,gdT,MAIT,Naive B
spot_0000,0.4632391395566668,0.14395765168268107,0.05939786069527427,0.006591821003940655,0.10312865290380802,0.056246666075372216,0.01853697056655907,0.040968473659162175,0.0012887570257867638,0.001773109627721737,0.004748521033880207,0.034957582472806024,0.015144912886168222,0.04525433619414943,0.0037964080557918002,0.0009691365602315605
spot_0001,0.003062986052373098,0.01674541046989936,0.07947248307870192,0.06414061371394295,0.0059443665435815005,0.008993984307018971,0.12882755329450274,0.08377084466686842,0.21128119869351208,0.03582355938204151,0.15066193871143976,0.10352153286363242,0.011507493728219133,0.010467479780435402,0.04454442804086294,0.04123412667296781
spot_0002,0.032367916556622335,0.15940393710569803,0.03741180172875834,0.1426680624892622,0.11065724403548775,0.1079940373420214,0.019196479653871102,0.05754414102523133,0.024848272524771658,0.11661465017059269,0.025454006107085772,0.005526524872458522,0.013811203688864683,0.04941014871049293,0.09170112899377625,0.005390444995005017
spot_0003,0.014331489221873207,0.014472752308180245,0.04596898158421818,0.13396463745188084,0.025930212968450758,0.004704563352118183,0.1088586572129314,0.04700541447062246,0.191885480129948,0.02768067920056355,0.0664233280451693,0.15210750644512905,0.03795041909627011,0.011349451762750385,0.06374363006781038,0.053622796682083945
spot_0004,0.04790412979454101,0.0781046856347415,0.09007740438509583,0.09002551795640125,0.14849442794871415,0.07112060439331921,0.03697417215645408,0.08227565118623298,0.12702489788906374,0.07212555102350333,0.02284280298884765,0.009998752065735838,0.007780551588071867,0.03063928836548586,0.010633614812465754,0.07397794781132595
spot_0005,0.07704580047945597,0.007243680745665633,0.008432344347104739,0.02189990659035585,0.018521830209519117,0.040992335544546774,0.06756569327208388,0.23557138741682454,0.13934299615464768,0.058865956168378676,0.01752517015649808,0.08112822675502997,0.019440693347582635,0.08478125439606722,0.06947409163190121,0.052168632784338
spot_0006,0.1023748482873746,0.004902858654584464,0.005146466663508179,0.07210441812901529,0.018203058354404007,0.033835775840947324,0.09269291115408622,0.07218546517465334,0.08099683495300478,0.18226976300758818,0.06043776281276398,0.12096498811689266,0.008643188035468869,0.03111812043925291,0.08955088119083572,0.02457265918561948
spot_0007,0.0005334011386986414,0.10859788359853252,0.21066577698939265,0.12233594688986436,0.001836024176688631,0.06696104079501572,0.047950821367020356,0.05284554532232368,0.017911518352273566,0.04936208792782226,0.14787885998414627,0.000620674774308256,0.03762889812741346,0.02824733402551299,0.09935476267441064,0.007269423856575978
spot_0008,0.03745481747839561,0.11865932974742055,0.03640955644166488,0.19043148032389323,0.06497562675521289,0.04577499144256093,0.0347438116542433,0.032996053566707956,0.09189976670754559,0.016720399902233677,0.08814242271113877,0.09688815245181598,0.030392351916322582,0.02954383085745568,0.07038492082209977,0.014582487221288624
spot_0009,0.06596527934739226,0.009334614133788383,0.21542856400174273,0.014989633245531746,0.00931831994674704,0.1514661024989664,0.05435068391316291,0.06703795661383813,0.07868861657879023,0.07319041623733215,0.08871273482287378,0.017590780390894588,0.004739991017570821,0.031595225193323986,0.10745758851874918,0.010133493539295694
