,Adipocyte,Atrial Cardiomyocyte,Endothelial cell,Fibroblast,Lymphatic Endothelial cell,Lymphoid,Mast cell,Mesothelial cell,Mural cell,Myeloid,Neural cell,Ventricular Cardiomyocyte
0,0.62481564,0.006172714,0.024131538,3.5877613e-06,0.0001775762,0.031220566,0.1065859,0.0012320353,0.010071842,0.1657505,1.1762823e-05,0.029826263
1,0.023952631,0.28636867,0.029515926,4.34675e-06,0.00021465523,0.038265813,0.19414286,7.757242e-05,7.974642e-05,0.26206118,1.6500875e-05,0.16530015
2,0.50674736,0.08626931,0.03001678,1.7061782e-06,8.320808e-06,0.01303597,0.0076999594,0.00082115177,0.0005468375,0.117889166,8.553188e-06,0.23695482
3,0.6692406,0.035911147,0.023980545,2.1277085e-06,1.6922904e-05,0.015066281,0.010636048,0.0005069712,0.0012948882,0.123839125,8.72325e-06,0.11949657
4,0.026243059,0.12824239,0.021118255,1.3330183e-06,2.5154256e-08,0.018573465,0.025353083,0.00019959455,4.3872274e-06,0.15621105,5.5542646e-06,0.6240478
5,0.51026225,0.04057716,0.036752626,2.3048449e-06,7.708878e-05,0.017216457,0.015654054,0.0019823778,0.0020017987,0.1802226,1.096242e-05,0.19524035
6,0.19789763,0.37770575,0.035326738,1.5589991e-06,5.820337e-08,0.0071184156,0.002184358,0.00052828545,7.5529366e-05,0.06825911,8.0842265e-06,0.31089446
7,0.027179029,0.064700164,0.031851035,6.808518e-06,0.0041624024,0.03596496,0.35604805,0.00088131754,0.0006721164,0.2660591,2.573797e-05,0.21244933
8,0.017192699,0.2515999,0.03660913,1.2523201e-05,0.00027096705,0.06375456,0.31397882,0.0030212994,0.00077503343,0.14823768,5.1808576e-05,0.16449551
9,0.0041790023,0.12431784,0.022285549,1.1391985e-05,0.002028639,0.0592277,0.540594,0.00094714557,0.00026687077,0.09605793,3.6268204e-05,0.15004766
10,0.16805138,0.0072557596,0.026121834,7.0768574e-06,0.021716218,0.031491417,0.1957243,0.00025474967,0.0036170129,0.52223355,1.9389676e-05,0.023507347
11,0.11788418,0.22466607,0.042344905,2.4811607e-06,7.079738e-06,0.05033237,0.12290261,0.00421583,0.00037985045,0.1366901,1.55962e-05,0.30055887
12,0.25606555,0.20149237,0.032011416,1.0109247e-06,6.5215836e-08,0.0065844273,0.0016366784,0.00057920633,6.1016584e-05,0.069597065,5.338309e-06,0.4319658
13,0.29730278,0.06794146,0.039762557,6.1288047e-06,0.00024428044,0.045517962,0.18851879,0.007036436,0.008851279,0.19846858,3.0258607e-05,0.14631954
14,0.1595028,0.059863295,0.021330118,1.1828637e-06,1.6856106e-06,0.015896177,0.025387904,0.00034305413,6.5148866e-05,0.24465553,6.494248e-06,0.4729466
15,0.023725305,0.147673,0.021092309,1.6610505e-06,5.63123e-10,0.007015031,0.0034111433,0.0003321698,3.5817009e-06,0.029091313,6.441223e-06,0.76764816
16,0.009776815,0.59694725,0.026398588,3.5901412e-06,1.4628188e-07,0.019536015,0.03736783,5.5342505e-05,6.799785e-06,0.073421896,1.3219955e-05,0.23647247
17,0.3985388,0.15871106,0.040405527,3.0990705e-06,0.000116681076,0.023023028,0.023184061,0.0008359527,0.001315726,0.19728224,1.5940475e-05,0.15656789
18,0.011769655,0.12334304,0.020274144,1.9871952e-06,1.513317e-09,0.009949403,0.0130918585,0.00044230293,3.2730084e-06,0.032551683,7.651664e-06,0.78856504
19,0.024394518,0.13917749,0.02443981,1.6012924e-06,2.4249884e-09,0.012065447,0.008679233,0.0005375464,6.0446378e-06,0.05753039,6.7273995e-06,0.7331612
20,0.00865318,0.034495134,0.020941157,2.3209872e-05,0.01236376,0.053587694,0.64054674,0.0012964897,0.001517125,0.17142588,5.9763017e-05,0.055089895
21,0.43107596,0.00463522,0.037293427,4.773231e-06,0.0052977167,0.04098072,0.11728659,0.001378866,0.014666965,0.32864058,1.4050256e-05,0.018725146
22,0.19639802,0.09193445,0.041203927,4.385924e-06,0.00282433,0.041142363,0.09206429,0.0007065394,0.0016460783,0.37142214,1.9588675e-05,0.16063392
23,0.53245884,0.07985496,0.027183801,1.4709431e-06,4.8021066e-06,0.0118603,0.006311848,0.0006274914,0.00043631063,0.10319692,7.26177e-06,0.23805594
24,0.29716945,0.24561822,0.031245647,1.3231545e-06,1.3742817e-07,0.006269594,0.001612975,0.00046636674,9.9658704e-05,0.07265245,6.4918445e-06,0.34485763
25,0.024183016,0.20992866,0.024131319,1.7642759e-06,1.2662861e-09,0.008446067,0.004358753,0.00027445273,4.4836265e-06,0.043412294,6.7912356e-06,0.6852524
26,0.0034766085,0.24975106,0.026058817,5.1206966e-06,1.3309435e-05,0.053767238,0.30095476,0.0010044362,3.1082964e-05,0.06370774,1.9815494e-05,0.30121
27,0.34558496,0.0061729294,0.02431321,8.043427e-06,0.0010039286,0.03611923,0.36483395,0.005794389,0.035538558,0.15409504,2.5023368e-05,0.026510818
28,0.028606486,0.12347664,0.036065586,2.2343306e-06,3.0933364e-07,0.036486525,0.13098739,0.0093286205,8.254255e-05,0.08127212,1.3032848e-05,0.55367845
29,0.5090244,0.00820323,0.02867347,2.9418345e-06,0.0038217206,0.022612883,0.031492345,0.00021347153,0.0022787952,0.36345628,9.275003e-06,0.030211205
