source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,component,bin_name,layer_name,entries,observed_nonzero_entries,expected_positive_entries,observed_total,expected_total,residual_total,absolute_error_sum,squared_error_sum,mean_absolute_error,root_mean_squared_error
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,total_count,,,5120000,4126668.0,5120000.0,36661410.0,36158340.30610581,503069.6938941926,14543834.440901555,81732246.5072814,2.840592664238585,3.9954135450480464
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,shape_bin,short,fragment_length_lt_100,5120000,,,20055621.0,19775938.75081991,279682.24918008596,10573433.865425885,44454897.54480361,2.0651238018409925,2.946624709174797
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,shape_bin,mono,fragment_length_100_249,5120000,,,11946142.0,11776865.248898434,169276.75110156648,7995407.129617242,24276936.82264519,1.5616029550033677,2.177519052309965
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,shape_bin,long,fragment_length_ge_250,5120000,,,4659647.0,4605536.306387469,54110.69361253083,4402448.628619528,7958649.366026429,0.8598532477772516,1.2467652963978573
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,total_count,,,5120000,4126668.0,5120000.0,36661410.0,36158043.38524938,503366.6147506237,14552441.172004804,81782802.85827649,2.842273666407188,3.9966490568046034
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,shape_bin,short,fragment_length_lt_100,5120000,,,20055621.0,19758121.76537664,297499.2346233614,10572034.314880984,44433733.81688566,2.064850452125192,2.945923223050879
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,shape_bin,mono,fragment_length_100_249,5120000,,,11946142.0,11787366.118671846,158775.88132815436,7995479.604955447,24253725.799455687,1.5616171103428609,2.176477847396152
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,shape_bin,long,fragment_length_ge_250,5120000,,,4659647.0,4612555.501200905,47091.49879909493,4402640.8403305225,7947109.744212464,0.8598907891270552,1.2458610965579175
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,total_count,,,5120000,4112536.0,5120000.0,36705590.0,36211349.63935852,494240.3606414795,14522484.961787095,81543956.89676763,2.8364228440990424,3.990808700175934
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,shape_bin,short,fragment_length_lt_100,5120000,,,20073412.0,19811479.591459807,261932.408540193,10561716.6053935,44445153.619881034,2.0628352744909177,2.9463017609170676
