source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,status,error,runtime_seconds,runtime_source,peak_memory_bytes,peak_memory_mb,peak_memory_source,peak_memory_available,rss_measurement,execution_action,converged,selected_restart,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,success,,1940.5765384580009,run.yaml:performance.wall_runtime_seconds,1643479040,1567.34375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12809855.7421875,0.0,-31135.78515625,-12840991.52734375
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,success,,3694.7245774581097,run.yaml:performance.wall_runtime_seconds,1708572672,1629.421875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12817713.3984375,-13553539.66796875,-29757.208374023438,-26401010.274780273
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,success,,1999.2495522499084,run.yaml:performance.wall_runtime_seconds,1637908480,1562.03125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1705410560,""platform"":""darwin"",""raw_value"":1705410560,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12779131.04296875,0.0,-31444.9921875,-12810576.03515625
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,success,,3680.6862302091904,run.yaml:performance.wall_runtime_seconds,1621377024,1546.265625,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1705410560,""platform"":""darwin"",""raw_value"":1705410560,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12786952.390625,-13528937.14453125,-30029.361450195312,-26345918.896606445
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,success,,1946.8944675000384,run.yaml:performance.wall_runtime_seconds,1691582464,1613.21875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1697513472,""platform"":""darwin"",""raw_value"":1697513472,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12828495.51953125,0.0,-30899.11279296875,-12859394.632324219
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_length,success,,3658.21238225,run.yaml:performance.wall_runtime_seconds,1697087488,1618.46875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1697513472,""platform"":""darwin"",""raw_value"":1697513472,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12836442.64453125,-13597746.08203125,-29503.119995117188,-26463691.846557617
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_count_only,success,,1999.534439667128,run.yaml:performance.wall_runtime_seconds,1609154560,1534.609375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12675032.9375,0.0,-31406.473754882812,-12706439.411254883
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_length,success,,3746.191602624953,run.yaml:performance.wall_runtime_seconds,1702592512,1623.71875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12682912.76171875,-13306653.66796875,-29986.705322265625,-26019553.135009766
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_count_only,success,,1906.4400037922896,run.yaml:performance.wall_runtime_seconds,1555496960,1483.4375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12776812.9609375,0.0,-31543.343627929688,-12808356.30456543
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_length,success,,3732.001870583743,run.yaml:performance.wall_runtime_seconds,1702215680,1623.359375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12785278.2890625,-13541285.92578125,-30014.925659179688,-26356579.14050293
