source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,aggregation,cell_type,n_types_in_aggregate,true_presence_rule,predicted_presence_threshold,n_pairs,truth_positives,truth_negatives,predicted_positives,tp,fp,fn,tn,precision,precision_defined,precision_undefined_reason,recall,recall_defined,recall_undefined_reason,f1,f1_defined,f1_undefined_reason,auprc,auprc_defined,auprc_undefined_reason,has_both_truth_classes,precision_n_types_expected,precision_n_types_defined,recall_n_types_expected,recall_n_types_defined,f1_n_types_expected,f1_n_types_defined,auprc_n_types_expected,auprc_n_types_defined
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,per_type,cDC,1,truth_proportion > 0,0.01,1024.0,469.0,555.0,704.0,465.0,239.0,4.0,316.0,0.6605113636363636,True,,0.9914712153518124,True,,0.7928388746803069,True,,0.9775118595131321,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,per_type,Treg,1,truth_proportion > 0,0.01,1024.0,470.0,554.0,768.0,452.0,316.0,18.0,238.0,0.5885416666666666,True,,0.9617021276595744,True,,0.7302100161550887,True,,0.9073455214215886,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,per_type,gdT,1,truth_proportion > 0,0.01,1024.0,500.0,524.0,856.0,489.0,367.0,11.0,157.0,0.5712616822429907,True,,0.978,True,,0.7212389380530975,True,,0.7602750011096722,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,per_type,MAIT,1,truth_proportion > 0,0.01,1024.0,459.0,565.0,839.0,456.0,383.0,3.0,182.0,0.5435041716328963,True,,0.9934640522875817,True,,0.7026194144838213,True,,0.9092315603216077,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,per_type,Naive B,1,truth_proportion > 0,0.01,1024.0,501.0,523.0,755.0,490.0,265.0,11.0,258.0,0.6490066225165563,True,,0.9780439121756487,True,,0.7802547770700637,True,,0.9215303749314067,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,pooled_micro,,5,truth_proportion > 0,0.01,5120.0,2399.0,2721.0,3922.0,2352.0,1570.0,47.0,1151.0,0.5996940336562978,True,,0.980408503543143,True,,0.7441860465116279,True,,0.8969380832231375,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,macro_evaluable_types,,5,truth_proportion > 0,0.01,,,,,,,,,0.6025651013390947,True,,0.9805362614949233,True,,0.7454324040884756,True,,0.8951788634594815,True,,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,per_type,cDC,1,truth_proportion > 0,0.01,1024.0,469.0,555.0,692.0,464.0,228.0,5.0,327.0,0.6705202312138728,True,,0.9893390191897654,True,,0.7993109388458225,True,,0.9736847247383928,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,per_type,Treg,1,truth_proportion > 0,0.01,1024.0,470.0,554.0,792.0,452.0,340.0,18.0,214.0,0.5707070707070707,True,,0.9617021276595744,True,,0.7163232963549919,True,,0.8677493668341659,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,per_type,gdT,1,truth_proportion > 0,0.01,1024.0,500.0,524.0,871.0,487.0,384.0,13.0,140.0,0.5591274397244547,True,,0.974,True,,0.7104303428154632,True,,0.7161267254519453,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,per_type,MAIT,1,truth_proportion > 0,0.01,1024.0,459.0,565.0,857.0,456.0,401.0,3.0,164.0,0.5320886814469078,True,,0.9934640522875817,True,,0.6930091185410335,True,,0.8876069502960235,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,per_type,Naive B,1,truth_proportion > 0,0.01,1024.0,501.0,523.0,780.0,488.0,292.0,13.0,231.0,0.6256410256410256,True,,0.9740518962075848,True,,0.761904761904762,True,,0.8803899832098864,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,pooled_micro,,5,truth_proportion > 0,0.01,5120.0,2399.0,2721.0,3992.0,2347.0,1645.0,52.0,1076.0,0.5879258517034068,True,,0.9783243017924135,True,,0.7344703489281803,True,,0.8685971972193006,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,macro_evaluable_types,,5,truth_proportion > 0,0.01,,,,,,,,,0.5916168897466664,True,,0.9785114190689013,True,,0.7361956916924146,True,,0.8651115501060828,True,,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,per_type,cDC,1,truth_proportion > 0,0.01,1024.0,458.0,566.0,688.0,455.0,233.0,3.0,333.0,0.6613372093023255,True,,0.9934497816593887,True,,0.794066317626527,True,,0.9720315393691006,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,per_type,Treg,1,truth_proportion > 0,0.01,1024.0,471.0,553.0,756.0,460.0,296.0,11.0,257.0,0.6084656084656085,True,,0.9766454352441614,True,,0.7497962510187449,True,,0.8970391997903486,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,per_type,gdT,1,truth_proportion > 0,0.01,1024.0,468.0,556.0,827.0,452.0,375.0,16.0,181.0,0.5465538089480049,True,,0.9658119658119658,True,,0.698069498069498,True,,0.7481382528464745,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,per_type,MAIT,1,truth_proportion > 0,0.01,1024.0,443.0,581.0,832.0,439.0,393.0,4.0,188.0,0.5276442307692307,True,,0.9909706546275395,True,,0.6886274509803921,True,,0.8947217946374488,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,per_type,Naive B,1,truth_proportion > 0,0.01,1024.0,502.0,522.0,804.0,497.0,307.0,5.0,215.0,0.6181592039800995,True,,0.9900398406374502,True,,0.7611026033690659,True,,0.9410094317263702,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,pooled_micro,,5,truth_proportion > 0,0.01,5120.0,2342.0,2778.0,3907.0,2303.0,1604.0,39.0,1174.0,0.5894548246736626,True,,0.9833475661827498,True,,0.7370779324691951,True,,0.8913426613109834,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,macro_evaluable_types,,5,truth_proportion > 0,0.01,,,,,,,,,0.5924320122930539,True,,0.983383535596101,True,,0.7383324242128456,True,,0.8905880436739485,True,,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,per_type,cDC,1,truth_proportion > 0,0.01,1024.0,458.0,566.0,683.0,450.0,233.0,8.0,333.0,0.6588579795021962,True,,0.982532751091703,True,,0.7887817703768624,True,,0.9676531998958491,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,per_type,Treg,1,truth_proportion > 0,0.01,1024.0,471.0,553.0,782.0,458.0,324.0,13.0,229.0,0.5856777493606138,True,,0.9723991507430998,True,,0.7310454908220271,True,,0.8806601780105456,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,per_type,gdT,1,truth_proportion > 0,0.01,1024.0,468.0,556.0,863.0,455.0,408.0,13.0,148.0,0.5272305909617613,True,,0.9722222222222222,True,,0.6836964688204358,True,,0.7016685487134579,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,per_type,MAIT,1,truth_proportion > 0,0.01,1024.0,443.0,581.0,845.0,439.0,406.0,4.0,175.0,0.5195266272189349,True,,0.9909706546275395,True,,0.6816770186335405,True,,0.8631266243794963,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,per_type,Naive B,1,truth_proportion > 0,0.01,1024.0,502.0,522.0,823.0,496.0,327.0,6.0,195.0,0.6026731470230863,True,,0.9880478087649402,True,,0.7486792452830189,True,,0.8898722763812221,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,pooled_micro,,5,truth_proportion > 0,0.01,5120.0,2342.0,2778.0,3996.0,2298.0,1698.0,44.0,1080.0,0.575075075075075,True,,0.9812126387702819,True,,0.7251498895550647,True,,0.8624999287705849,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,macro_evaluable_types,,5,truth_proportion > 0,0.01,,,,,,,,,0.5787932188133185,True,,0.981234517489901,True,,0.7267759987871769,True,,0.8605961654761142,True,,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,per_type,cDC,1,truth_proportion > 0,0.01,1024.0,474.0,550.0,698.0,473.0,225.0,1.0,325.0,0.6776504297994269,True,,0.9978902953586498,True,,0.8071672354948805,True,,0.9834327266555224,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,per_type,Treg,1,truth_proportion > 0,0.01,1024.0,446.0,578.0,809.0,433.0,376.0,13.0,202.0,0.5352286773794809,True,,0.9708520179372198,True,,0.6900398406374503,True,,0.8424361206607924,True,,True,,,,,,,,
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,per_type,gdT,1,truth_proportion > 0,0.01,1024.0,492.0,532.0,876.0,488.0,388.0,4.0,144.0,0.5570776255707762,True,,0.991869918699187,True,,0.7134502923976608,True,,0.8002980574113151,True,,True,,,,,,,,
