outer_split_seed,inner_mixture_seed,condition,metric,shapemix_length_status,shapemix_length_run_id,shapemix_length_error,shapemix_length_value,shapemix_count_only_status,shapemix_count_only_run_id,shapemix_count_only_error,shapemix_count_only_value,pair_status,unavailable_reason,delta_length_minus_count_only
3301,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_length,,0.05675259306120607,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_count_only,,0.05157712757937181,complete,,0.005175465481834264
4409,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_length,,0.05748889102674737,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_count_only,,0.05231295040118602,complete,,0.00517594062556135
4409,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_length,,0.057822229713416586,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_count_only,,0.05241747285735067,complete,,0.005404756856065916
5501,101,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_length,,0.0587018129274629,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_count_only,,0.053916250994970744,complete,,0.004785561932492154
5501,211,equal_celltype,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_length,,0.058630374972595524,success,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_count_only,,0.05363711065980955,complete,,0.004993264312785975
1103,101,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_length,,0.1306361947628299,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_count_only,,0.12374910622032903,complete,,0.006887088542500863
1103,211,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_length,,0.127973558283549,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_count_only,,0.12262538404885912,complete,,0.00534817423468989
2203,101,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_length,,0.12634055595838825,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_count_only,,0.12069074001955034,complete,,0.005649815938837913
2203,211,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_length,,0.12541590734772418,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_count_only,,0.11956014824972469,complete,,0.005855759097999486
3301,101,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_length,,0.12845286926838428,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_count_only,,0.12286820467237364,complete,,0.005584664596010647
3301,211,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211__atac__highly_variable__shapemix_length,,0.13009886969461934,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211__atac__highly_variable__shapemix_count_only,,0.1251098457362364,complete,,0.004989023958382938
4409,101,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_101__atac__highly_variable__shapemix_length,,0.12571924397474726,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_101__atac__highly_variable__shapemix_count_only,,0.1197515882416792,complete,,0.005967655733068067
4409,211,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_211__atac__highly_variable__shapemix_length,,0.13013997253747195,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_211__atac__highly_variable__shapemix_count_only,,0.12388410423206178,complete,,0.006255868305410167
5501,101,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_101__atac__highly_variable__shapemix_length,,0.1276842524981445,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_101__atac__highly_variable__shapemix_count_only,,0.1221974079469097,complete,,0.0054868445512347985
5501,211,observed_abundance,jsd_v2,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_211__atac__highly_variable__shapemix_length,,0.12819346413532162,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_211__atac__highly_variable__shapemix_count_only,,0.12254523146671119,complete,,0.005648232668610434
1103,101,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_length,,0.04757879364656492,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_count_only,,0.047354511251370836,complete,,0.00022428239519408505
1103,211,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_length,,0.047014067277189237,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_count_only,,0.046966891712475964,complete,,4.7175564713272666e-05
2203,101,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_length,,0.04536481085601438,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_count_only,,0.04545599660589132,complete,,-9.118574987693889e-05
2203,211,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_length,,0.04622988423288377,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_count_only,,0.04592736365995601,complete,,0.0003025205729277544
3301,101,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_length,,0.04700829459411361,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_count_only,,0.04721544688885463,complete,,-0.00020715229474101843
3301,211,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211__atac__highly_variable__shapemix_length,,0.046514061998530275,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211__atac__highly_variable__shapemix_count_only,,0.04673592588560085,complete,,-0.00022186388707057247
4409,101,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_101__atac__highly_variable__shapemix_length,,0.045725660027877306,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_101__atac__highly_variable__shapemix_count_only,,0.045504496410557045,complete,,0.0002211636173202608
4409,211,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_211__atac__highly_variable__shapemix_length,,0.04753098169228072,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_4409_mix_211__atac__highly_variable__shapemix_count_only,,0.04749803615969185,complete,,3.294553258886834e-05
5501,101,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_101__atac__highly_variable__shapemix_length,,0.04711385159296723,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_101__atac__highly_variable__shapemix_count_only,,0.047094972101526536,complete,,1.887949144069312e-05
5501,211,observed_abundance,rmse_v1,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_211__atac__highly_variable__shapemix_length,,0.04749274864165111,success,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_5501_mix_211__atac__highly_variable__shapemix_count_only,,0.04756945227710233,complete,,-7.670363545122377e-05
