effect_level,outer_split_seed,inner_mixture_seed,condition,cell_type,metric,n_inner_expected,n_inner_available,shapemix_length_run_id,shapemix_length_status,shapemix_length_value,shapemix_count_only_run_id,shapemix_count_only_status,shapemix_count_only_value,effect_status,unavailable_reason,delta_length_minus_count_only
inner_pair,1103,101.0,equal_celltype,CD14 Mono,mae_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.033383360310093056,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.028837420565854054,complete,,0.004545939744239003
inner_pair,1103,101.0,equal_celltype,CD14 Mono,rmse_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.04926549126433328,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.04434600004130764,complete,,0.004919491223025638
inner_pair,1103,101.0,equal_celltype,CD14 Mono,pearson_r_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.8173015192586555,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.8339292988176068,complete,,-0.01662777955895134
inner_pair,1103,101.0,equal_celltype,CD14 Mono,spearman_rho_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.7775027491038551,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.7976413185495699,complete,,-0.020138569445714793
inner_pair,1103,101.0,equal_celltype,CD4 Naive,mae_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.042070172039154946,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.04130921160059327,complete,,0.000760960438561678
inner_pair,1103,101.0,equal_celltype,CD4 Naive,rmse_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.05882285317654418,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.05741560082113626,complete,,0.001407252355407923
inner_pair,1103,101.0,equal_celltype,CD4 Naive,pearson_r_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.6886869020095397,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.7071720116267836,complete,,-0.01848510961724381
inner_pair,1103,101.0,equal_celltype,CD4 Naive,spearman_rho_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.6513340789238485,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.6672276108882764,complete,,-0.015893531964427887
inner_pair,1103,101.0,equal_celltype,CD8 Naive,mae_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.040297639862597906,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.03861090377404014,complete,,0.0016867360885577665
inner_pair,1103,101.0,equal_celltype,CD8 Naive,rmse_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.057039421487634925,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.05547096865499572,complete,,0.0015684528326392055
inner_pair,1103,101.0,equal_celltype,CD8 Naive,pearson_r_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.7461567382564529,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.7633638039035834,complete,,-0.01720706564713048
inner_pair,1103,101.0,equal_celltype,CD8 Naive,spearman_rho_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.7143750772657,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.7295334961143792,complete,,-0.01515841884867919
inner_pair,1103,101.0,equal_celltype,CD4 TCM,mae_v1,1,1,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,success,0.05522512444744643,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,success,0.047597857069394664,complete,,0.007627267378051764
