source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,metric,value,metric_name,metric_version,n_spots,n_cell_types,cell_type_universe
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,rmse_v1,0.05204426365849039,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_count_only,jsd_v2,0.15698890012299382,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,rmse_v1,0.05736525993303047,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_101,1103,101,equal_celltype,shapemix_length,jsd_v2,0.1844311724731888,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,rmse_v1,0.05266075991243813,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_count_only,jsd_v2,0.15763712735167362,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,rmse_v1,0.05826791721056041,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_1103_mix_211,1103,211,equal_celltype,shapemix_length,jsd_v2,0.18513066288205837,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,rmse_v1,0.0515845423755097,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_count_only,jsd_v2,0.1533703048915403,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_length,rmse_v1,0.056915261332984426,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_101,2203,101,equal_celltype,shapemix_length,jsd_v2,0.18071513154582838,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_count_only,rmse_v1,0.05151650818925982,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_count_only,jsd_v2,0.15390960755261232,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_length,rmse_v1,0.05718147790101732,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_2203_mix_211,2203,211,equal_celltype,shapemix_length,jsd_v2,0.18252122014439195,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_count_only,rmse_v1,0.05229457210822187,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_count_only,jsd_v2,0.15532510190915386,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_length,rmse_v1,0.05713624633977729,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_101,3301,101,equal_celltype,shapemix_length,jsd_v2,0.18221512341104285,jsd,v2,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211,3301,211,equal_celltype,shapemix_count_only,rmse_v1,0.05157712757937181,rmse,v1,1024,16,"[""CD14 Mono"",""CD4 Naive"",""CD8 Naive"",""CD4 TCM"",""CD16 Mono"",""NK"",""CD8 TEM_1"",""CD8 TEM_2"",""Intermediate B"",""Memory B"",""CD4 TEM"",""cDC"",""Treg"",""gdT"",""MAIT"",""Naive B""]"
