condition,metric,outer_split_seed,outer_status,n_inner_expected,n_inner_available,inner_mixture_seeds,delta_outer,unavailable_reason
equal_celltype,jsd_v2,1103,complete,2,2,"[101, 211]",0.02746790394028986,
equal_celltype,jsd_v2,2203,complete,2,2,"[101, 211]",0.02797821962303386,
equal_celltype,jsd_v2,3301,complete,2,2,"[101, 211]",0.027309400269308712,
equal_celltype,jsd_v2,4409,complete,2,2,"[101, 211]",0.0267234204712313,
equal_celltype,jsd_v2,5501,complete,2,2,"[101, 211]",0.025789231340058574,
equal_celltype,rmse_v1,1103,complete,2,2,"[101, 211]",0.005464076786331179,
equal_celltype,rmse_v1,2203,complete,2,2,"[101, 211]",0.005497844334616114,
equal_celltype,rmse_v1,3301,complete,2,2,"[101, 211]",0.005008569856694841,
equal_celltype,rmse_v1,4409,complete,2,2,"[101, 211]",0.005290348740813633,
equal_celltype,rmse_v1,5501,complete,2,2,"[101, 211]",0.004889413122639064,
observed_abundance,jsd_v2,1103,complete,2,2,"[101, 211]",0.0061176313885953765,
observed_abundance,jsd_v2,2203,complete,2,2,"[101, 211]",0.005752787518418699,
observed_abundance,jsd_v2,3301,complete,2,2,"[101, 211]",0.005286844277196792,
observed_abundance,jsd_v2,4409,complete,2,2,"[101, 211]",0.006111762019239117,
observed_abundance,jsd_v2,5501,complete,2,2,"[101, 211]",0.005567538609922616,
observed_abundance,rmse_v1,1103,complete,2,2,"[101, 211]",0.00013572897995367886,
observed_abundance,rmse_v1,2203,complete,2,2,"[101, 211]",0.00010566741152540776,
observed_abundance,rmse_v1,3301,complete,2,2,"[101, 211]",-0.00021450809090579545,
observed_abundance,rmse_v1,4409,complete,2,2,"[101, 211]",0.00012705457495456457,
observed_abundance,rmse_v1,5501,complete,2,2,"[101, 211]",-2.8912072005265327e-05,
