restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,1103,401,0,0]",True,objective_patience,150,-12150093.58203125,-12841907.35546875,-7048.055328369141,-24999048.99282837,[],89.00913165000384,142,35.70646286010742,151,True
1,"[20260822,1103,401,0,1]",True,objective_patience,244,-12150092.79296875,-12841909.98046875,-7048.327453613281,-24999051.100891113,[],145.2381385560002,244,34.3304328918457,245,False
2,"[20260822,1103,401,0,2]",True,objective_patience,267,-12150086.93359375,-12841913.3828125,-7048.767913818359,-24999049.08432007,[],158.36716019500454,267,17.535371780395508,268,False
