"","endothelial cell","astrocyte","oligodendrocyte","microglial cell","vascular associated smooth muscle cell","inhibitory interneuron","pericyte","glutamatergic neuron","radial glial cell","oligodendrocyte precursor cell","neural progenitor cell","medial ganglionic eminence derived interneuron","caudal ganglionic eminence derived interneuron"
"0",8.30628291377761e-05,8.30628292154501e-05,8.3062829221734e-05,8.30628292526082e-05,8.30628293055032e-05,0.666978954645866,8.30628291695885e-05,8.3062829221735e-05,8.30628292217313e-05,0.332107354232723,8.30628292217341e-05,8.30628292217554e-05,8.30628292217354e-05
"1",8.08797307331439e-05,8.08797306725764e-05,8.08797306756397e-05,8.08797307538658e-05,8.08797308232277e-05,0.169832644696422,8.0879730658721e-05,0.540767138949179,8.08797306711722e-05,0.253224016605625,8.08797306756319e-05,0.0301144103590613,0.00541475154404783
"2",0.000128339869994966,0.0127187780175234,0.000128339870044671,0.000128339870097599,0.000247229303746142,0.578659636601609,0.000128339870288407,0.0382006788158032,0.000128339870027659,0.368175497365822,0.00109980080495385,0.000128339870044672,0.000128339870044684
"3",0.000119314344867434,0.000585137583062025,0.000612242147724301,0.000119314344543205,0.000119314344600378,0.199947221492258,0.000119314344644821,0.323402070985376,0.000119314344585762,0.424577448044993,0.000119314344590798,0.0230405808771275,0.0271194128016259
"4",5.18278321159094e-05,5.18278321355567e-05,5.18278321355602e-05,5.18278321355568e-05,5.18278321461485e-05,0.0140160056877755,5.18278321306487e-05,0.431141414695632,5.18278321328907e-05,0.554324301295253,5.1827832135558e-05,5.18278321355615e-05,5.18278321355498e-05
"5",0.00012207301693118,0.000122073017028196,0.0384986380015255,0.000122073017137203,0.00301710803401373,0.437132636182837,0.000122073017085252,0.22250241375053,0.000122073017031459,0.297872619894771,0.000122073017036334,0.000122073017036322,0.000122073017036328
"6",5.22501829675791e-05,5.2250182944359e-05,5.22501829690301e-05,5.22501829699575e-05,5.22501828676386e-05,0.381792136506389,5.22501831076571e-05,0.617633111480944,5.22501829650843e-05,5.225018296903e-05,5.22501829690301e-05,5.22501829690276e-05,5.22501829690301e-05
"7",0.000118269199018341,0.000118269198955698,0.000118269199007294,0.178805820361036,0.000118269199211841,0.0116619536732911,0.000118269198876574,0.409993897908564,0.000118269199007294,0.15039846256623,0.000118269199007297,0.248193711898787,0.000118269199007296
"8",8.44880617060247e-05,8.44880618610209e-05,8.44880618610288e-05,8.44880619627932e-05,0.00152541129857977,0.305254012819779,8.44880618431777e-05,0.0324475301670849,0.00712579988836246,0.583448108883877,0.0696077205093602,8.44880618610243e-05,8.44880618610246e-05
"9",9.27173184391303e-05,9.27173185132464e-05,9.27173185068499e-05,9.27173185229934e-05,9.27173184460905e-05,9.27173185068499e-05,9.27173184291849e-05,0.635270030238708,9.27173184998076e-05,0.205702035070769,9.27173185068459e-05,0.158100761505645,9.2717318506852e-05
"10",5.95679711652131e-05,5.9567972329661e-05,5.95679723120429e-05,5.95679723566923e-05,5.9567972314211e-05,0.71426728798445,5.95679723663188e-05,0.111941884266572,0.0986215734929774,5.95679723322877e-05,0.0746331425061587,5.95679723322902e-05,5.95679723323173e-05
"11",0.00222743880198949,0.000115296808606124,0.000115296808546601,0.0014349371794091,0.000275392132438106,0.304274750725569,0.000115296808497109,0.208094553125065,0.000115296808519335,0.29011677859067,0.0001152968085466,0.0638623772716917,0.129137288130452
"12",7.88165747600638e-05,7.88165746337861e-05,7.88165746462761e-05,7.88165746462763e-05,0.000693090214879024,7.8816574646276e-05,7.88165746412924e-05,0.542688574026045,7.88165752870625e-05,0.45129247828269,7.88165746462787e-05,0.00461650830383255,7.88165746462747e-05
