dataset_id,factor,level,mixture_seed,method_id,status,wall_runtime_seconds,peak_rss_bytes,device,count_cache_mode,peak_device_memory_allocated_bytes,peak_device_memory_reserved_bytes
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,success,687.7328578880006,2431459328,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_count_only,success,383.2799158280004,3052351488,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,nnls,success,3.635092855000039,2671804416,,,,
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_307,depth,keep_0p25,307,shapemix_length,success,857.2620541880005,2870001664,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_307,depth,keep_0p25,307,shapemix_count_only,success,459.54633874200044,2866569216,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_307,depth,keep_0p25,307,nnls,success,3.3241501129996323,2568826880,,,,
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_307,depth,keep_0p50,307,shapemix_length,success,733.5529189050012,2925412352,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_307,depth,keep_0p50,307,shapemix_count_only,success,437.8654007309997,2926485504,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_307,depth,keep_0p50,307,nnls,success,3.5282950419987174,2625187840,,,,
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_307,depth,keep_0p75,307,shapemix_length,success,704.2702950839994,2960867328,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_307,depth,keep_0p75,307,shapemix_count_only,success,389.65242904499974,2957455360,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_307,depth,keep_0p75,307,nnls,success,3.584447673001705,2670739456,,,,
pbmc_shapemix_stress_v2_cells_mean_2_mix_307,cells,mean_2,307,shapemix_length,success,1382.6852289540002,2802135040,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_cells_mean_2_mix_307,cells,mean_2,307,shapemix_count_only,success,800.7812319429995,2801893376,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_cells_mean_2_mix_307,cells,mean_2,307,nnls,success,2.72582877899913,2506104832,,,,
pbmc_shapemix_stress_v2_cells_mean_5_mix_307,cells,mean_5,307,shapemix_length,success,966.7530586369994,2883063808,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_cells_mean_5_mix_307,cells,mean_5,307,shapemix_count_only,success,511.8718603549987,2886266880,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_cells_mean_5_mix_307,cells,mean_5,307,nnls,success,3.251623969999855,2588983296,,,,
pbmc_shapemix_stress_v2_cells_mean_20_mix_307,cells,mean_20,307,shapemix_length,success,632.4643612039999,3050328064,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_cells_mean_20_mix_307,cells,mean_20,307,shapemix_count_only,success,356.289581736999,3058036736,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_cells_mean_20_mix_307,cells,mean_20,307,nnls,success,3.934247305000099,2762928128,,,,
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,rare_nk,fraction_0p001,307,shapemix_length,success,743.3265299070008,2959613952,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,rare_nk,fraction_0p001,307,shapemix_count_only,success,399.112551021999,2960310272,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,rare_nk,fraction_0p001,307,nnls,success,3.614265816000625,2675437568,,,,
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,rare_nk,fraction_0p005,307,shapemix_length,success,754.216484239998,2963054592,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,rare_nk,fraction_0p005,307,shapemix_count_only,success,378.79637358000036,2963062784,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,rare_nk,fraction_0p005,307,nnls,success,3.6018189750029705,2675077120,,,,
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,rare_nk,fraction_0p010,307,shapemix_length,success,674.5804150650001,2962743296,cuda:0,full_cuda,136302592.0,138412032.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,rare_nk,fraction_0p010,307,shapemix_count_only,success,396.56100257300204,2962223104,cuda:0,full_cuda,133352960.0,136314880.0
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,rare_nk,fraction_0p010,307,nnls,success,3.62862949600094,2671349760,,,,
pbmc_shapemix_stress_v2_features_peaks_1000_mix_307,features,peaks_1000,307,shapemix_length,success,167.20683317499788,2032955392,cuda:0,full_cuda,86421504.0,88080384.0
pbmc_shapemix_stress_v2_features_peaks_1000_mix_307,features,peaks_1000,307,shapemix_count_only,success,95.57610219200069,2029981696,cuda:0,full_cuda,83471872.0,83886080.0
pbmc_shapemix_stress_v2_features_peaks_1000_mix_307,features,peaks_1000,307,nnls,success,0.9930126489998656,1968746496,,,,
pbmc_shapemix_stress_v2_features_peaks_2500_mix_307,features,peaks_2500,307,shapemix_length,success,359.2635070000033,2381750272,cuda:0,full_cuda,105680384.0,106954752.0
pbmc_shapemix_stress_v2_features_peaks_2500_mix_307,features,peaks_2500,307,shapemix_count_only,success,201.68932642899745,2380386304,cuda:0,full_cuda,102730752.0,104857600.0
pbmc_shapemix_stress_v2_features_peaks_2500_mix_307,features,peaks_2500,307,nnls,success,1.965989938002167,2215460864,,,,
pbmc_shapemix_stress_v2_subtype_broad3_mix_307,subtype,broad3,307,shapemix_length,success,446.8712579710009,2522230784,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_subtype_broad3_mix_307,subtype,broad3,307,shapemix_count_only,success,235.482139705,2522267648,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_subtype_broad3_mix_307,subtype,broad3,307,nnls,success,1.7314843059975829,2360360960,,,,
pbmc_shapemix_stress_v2_subtype_cd4_related3_mix_307,subtype,cd4_related3,307,shapemix_length,success,450.6662476540005,2369077248,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_subtype_cd4_related3_mix_307,subtype,cd4_related3,307,shapemix_count_only,success,238.97441407299993,2368208896,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_subtype_cd4_related3_mix_307,subtype,cd4_related3,307,nnls,success,1.3587245460003032,2227630080,,,,
pbmc_shapemix_stress_v2_reference_support_per_type_50_mix_307,reference_support,per_type_50,307,shapemix_length,success,309.40596195200123,2333335552,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_reference_support_per_type_50_mix_307,reference_support,per_type_50,307,shapemix_count_only,success,171.0946553089998,2330865664,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_reference_support_per_type_50_mix_307,reference_support,per_type_50,307,nnls,success,1.1667762100005348,2153218048,,,,
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_307,reference_support,per_type_100,307,shapemix_length,success,317.85708825300026,2333065216,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_307,reference_support,per_type_100,307,shapemix_count_only,success,192.11799307699766,2332934144,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_307,reference_support,per_type_100,307,nnls,success,1.1794148799999675,2155335680,,,,
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_307,reference_support,per_type_250,307,shapemix_length,success,392.0070122569996,2352631808,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_307,reference_support,per_type_250,307,shapemix_count_only,success,217.65157556099803,2352463872,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_307,reference_support,per_type_250,307,nnls,success,1.254999601002055,2216120320,,,,
pbmc_shapemix_stress_v2_reference_support_all_mix_307,reference_support,all,307,shapemix_length,success,444.6134137900008,2522996736,cuda:0,full_cuda,134907904.0,138412032.0
pbmc_shapemix_stress_v2_reference_support_all_mix_307,reference_support,all,307,shapemix_count_only,success,233.31846622199737,2523193344,cuda:0,full_cuda,132038144.0,134217728.0
pbmc_shapemix_stress_v2_reference_support_all_mix_307,reference_support,all,307,nnls,success,1.724421678998624,2358755328,,,,
pbmc_shapemix_stress_v2_bins_two_mix_307,bins,two,307,shapemix_length,success,766.1097579940033,2925215744,cuda:0,full_cuda,115338752.0,117440512.0
pbmc_shapemix_stress_v2_bins_two_mix_307,bins,two,307,shapemix_count_only,success,388.03668180500244,2925428736,cuda:0,full_cuda,113536000.0,115343360.0
pbmc_shapemix_stress_v2_bins_two_mix_307,bins,two,307,nnls,success,3.5024576220021117,2636275712,,,,
pbmc_shapemix_stress_v2_bins_five_mix_307,bins,five,307,shapemix_length,success,653.675141769003,3046776832,cuda:0,full_cuda,180556800.0,201326592.0
