dataset_id,factor,level,control_level,mixture_seed,metric,shapemix_count_only,shapemix_length,length_minus_count_only,length_improved
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,standard,307,jsd_v2,0.1235406844471671,0.1284499166995762,0.004909232252409093,False
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,standard,307,rmse_v1,0.0470781208300834,0.047090697450678,1.2576620594603738e-05,False
pbmc_shapemix_stress_v2_anchor_standard_mix_401,anchor,standard,standard,401,jsd_v2,0.1247897793357674,0.1301548513561052,0.0053650720203377855,False
pbmc_shapemix_stress_v2_anchor_standard_mix_401,anchor,standard,standard,401,rmse_v1,0.0464947054475102,0.0467250676833515,0.00023036223584130266,False
pbmc_shapemix_stress_v2_bins_five_mix_307,bins,five,three,307,jsd_v2,0.1235406844471671,0.1347012499274443,0.011160565480277204,False
pbmc_shapemix_stress_v2_bins_five_mix_307,bins,five,three,307,rmse_v1,0.0470781208300834,0.0479989587336187,0.0009208379035353029,False
pbmc_shapemix_stress_v2_bins_five_mix_401,bins,five,three,401,jsd_v2,0.1247897793357674,0.1365525144041803,0.011762735068412883,False
pbmc_shapemix_stress_v2_bins_five_mix_401,bins,five,three,401,rmse_v1,0.0464947054475102,0.0477231822682751,0.0012284768207648997,False
pbmc_shapemix_stress_v2_bins_two_mix_307,bins,two,three,307,jsd_v2,0.1235406844471671,0.1256761857327076,0.002135501285540506,False
pbmc_shapemix_stress_v2_bins_two_mix_307,bins,two,three,307,rmse_v1,0.0470781208300834,0.0469015005634315,-0.00017662026665189734,True
pbmc_shapemix_stress_v2_bins_two_mix_401,bins,two,three,401,jsd_v2,0.1247897793357674,0.1275750678592883,0.00278528852352089,False
pbmc_shapemix_stress_v2_bins_two_mix_401,bins,two,three,401,rmse_v1,0.0464947054475102,0.0465653145456419,7.060909813170341e-05,False
pbmc_shapemix_stress_v2_cells_mean_20_mix_307,cells,mean_20,mean_10,307,jsd_v2,0.0825484650953687,0.085419833867662,0.002871368772293298,False
pbmc_shapemix_stress_v2_cells_mean_20_mix_307,cells,mean_20,mean_10,307,rmse_v1,0.0334391858739275,0.033221194139484,-0.00021799173444349979,True
pbmc_shapemix_stress_v2_cells_mean_20_mix_401,cells,mean_20,mean_10,401,jsd_v2,0.0837245814965841,0.0853701668729555,0.0016455853763713973,False
pbmc_shapemix_stress_v2_cells_mean_20_mix_401,cells,mean_20,mean_10,401,rmse_v1,0.0338031259589687,0.0331017312258405,-0.0007013947331281981,True
pbmc_shapemix_stress_v2_cells_mean_2_mix_307,cells,mean_2,mean_10,307,jsd_v2,0.1799878190165632,0.2029680067897935,0.0229801877732303,False
pbmc_shapemix_stress_v2_cells_mean_2_mix_307,cells,mean_2,mean_10,307,rmse_v1,0.0895446783020399,0.096812238258308,0.007267559956268099,False
pbmc_shapemix_stress_v2_cells_mean_2_mix_401,cells,mean_2,mean_10,401,jsd_v2,0.180066978676206,0.2012101866909263,0.021143208014720305,False
pbmc_shapemix_stress_v2_cells_mean_2_mix_401,cells,mean_2,mean_10,401,rmse_v1,0.0917138689325949,0.0976535741916488,0.005939705259053907,False
pbmc_shapemix_stress_v2_cells_mean_5_mix_307,cells,mean_5,mean_10,307,jsd_v2,0.1634118943711253,0.1752031493886499,0.011791255017524593,False
pbmc_shapemix_stress_v2_cells_mean_5_mix_307,cells,mean_5,mean_10,307,rmse_v1,0.0665277328951481,0.0681935543420874,0.001665821446939303,False
pbmc_shapemix_stress_v2_cells_mean_5_mix_401,cells,mean_5,mean_10,401,jsd_v2,0.1627459197675324,0.1764126760375343,0.013666756270001912,False
pbmc_shapemix_stress_v2_cells_mean_5_mix_401,cells,mean_5,mean_10,401,rmse_v1,0.066881953617882,0.0696446057491684,0.0027626521312864027,False
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_307,depth,keep_0p25,keep_1p00,307,jsd_v2,0.1685812837033131,0.1653670803325713,-0.003214203370741797,True
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_307,depth,keep_0p25,keep_1p00,307,rmse_v1,0.0566587255903334,0.0553326287605467,-0.0013260968297867035,True
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_401,depth,keep_0p25,keep_1p00,401,jsd_v2,0.1709307775692055,0.1678835966774906,-0.003047180891714907,True
pbmc_shapemix_stress_v2_depth_keep_0p25_mix_401,depth,keep_0p25,keep_1p00,401,rmse_v1,0.0569688812062589,0.0553221857114459,-0.0016466954948129997,True
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_307,depth,keep_0p50,keep_1p00,307,jsd_v2,0.1379609244498033,0.1406290176252446,0.0026680931754413106,False
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_307,depth,keep_0p50,keep_1p00,307,rmse_v1,0.0494578000754955,0.0493710815111049,-8.671856439060321e-05,True
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_401,depth,keep_0p50,keep_1p00,401,jsd_v2,0.1405648921062914,0.1439894039588614,0.003424511852570006,False
pbmc_shapemix_stress_v2_depth_keep_0p50_mix_401,depth,keep_0p50,keep_1p00,401,rmse_v1,0.0493992167703529,0.049477990593941,7.877382358809776e-05,False
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_307,depth,keep_0p75,keep_1p00,307,jsd_v2,0.1282725725127773,0.1329210329121817,0.004648460399404419,False
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_307,depth,keep_0p75,keep_1p00,307,rmse_v1,0.047651053888392,0.047830475860538,0.00017942197214600164,False
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_401,depth,keep_0p75,keep_1p00,401,jsd_v2,0.1296978987006417,0.1345650027895996,0.004867104088957908,False
pbmc_shapemix_stress_v2_depth_keep_0p75_mix_401,depth,keep_0p75,keep_1p00,401,rmse_v1,0.0471997442500366,0.047508818183519,0.0003090739334824025,False
pbmc_shapemix_stress_v2_features_peaks_1000_mix_307,features,peaks_1000,peaks_5000,307,jsd_v2,0.173684418210508,0.1758723141188967,0.002187895908388693,False
pbmc_shapemix_stress_v2_features_peaks_1000_mix_307,features,peaks_1000,peaks_5000,307,rmse_v1,0.0564839693569385,0.056760560927774,0.00027659157083549657,False
pbmc_shapemix_stress_v2_features_peaks_1000_mix_401,features,peaks_1000,peaks_5000,401,jsd_v2,0.1752439037534349,0.1768851637892847,0.0016412600358498008,False
pbmc_shapemix_stress_v2_features_peaks_1000_mix_401,features,peaks_1000,peaks_5000,401,rmse_v1,0.0564817282576333,0.0566662059116597,0.00018447765402640481,False
pbmc_shapemix_stress_v2_features_peaks_2500_mix_307,features,peaks_2500,peaks_5000,307,jsd_v2,0.1403958216998168,0.1437308033310242,0.0033349816312074065,False
pbmc_shapemix_stress_v2_features_peaks_2500_mix_307,features,peaks_2500,peaks_5000,307,rmse_v1,0.0501190599200683,0.0500028676054352,-0.00011619231463309843,True
pbmc_shapemix_stress_v2_features_peaks_2500_mix_401,features,peaks_2500,peaks_5000,401,jsd_v2,0.1428067750620892,0.146268724079396,0.0034619490173068146,False
pbmc_shapemix_stress_v2_features_peaks_2500_mix_401,features,peaks_2500,peaks_5000,401,rmse_v1,0.0498970614905385,0.0499785951754558,8.153368491730512e-05,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,rare_nk,fraction_0p001,observed,307,jsd_v2,0.1217811361279964,0.1280971723373774,0.00631603620938101,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,rare_nk,fraction_0p001,observed,307,rmse_v1,0.0470341789056534,0.0473350812052748,0.00030090229962139586,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_401,rare_nk,fraction_0p001,observed,401,jsd_v2,0.1189940272166468,0.1257922998386741,0.006798272622027299,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_401,rare_nk,fraction_0p001,observed,401,rmse_v1,0.0460320629875721,0.0464062573967814,0.0003741944092092997,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,rare_nk,fraction_0p005,observed,307,jsd_v2,0.1229486127477407,0.1282335692343137,0.0052849564865729975,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,rare_nk,fraction_0p005,observed,307,rmse_v1,0.0475345276040237,0.0473251869807227,-0.00020934062330099645,True
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_401,rare_nk,fraction_0p005,observed,401,jsd_v2,0.1229035600732476,0.1284566120781438,0.005553052004896197,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_401,rare_nk,fraction_0p005,observed,401,rmse_v1,0.0481707910614729,0.0479361548869079,-0.00023463617456499775,True
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,rare_nk,fraction_0p010,observed,307,jsd_v2,0.1209341313455382,0.1270928905074257,0.006158759161887503,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,rare_nk,fraction_0p010,observed,307,rmse_v1,0.0469731977148715,0.0471928979027426,0.00021970018787110385,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_401,rare_nk,fraction_0p010,observed,401,jsd_v2,0.1220257576934237,0.12786344323396,0.005837685540536305,False
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_401,rare_nk,fraction_0p010,observed,401,rmse_v1,0.0467129948182754,0.0466676717693627,-4.532304891270017e-05,True
pbmc_shapemix_stress_v2_reference_support_all_mix_307,reference_support,all,all,307,jsd_v2,0.0106731065674929,0.0105182157689628,-0.00015489079853009922,True
pbmc_shapemix_stress_v2_reference_support_all_mix_307,reference_support,all,all,307,rmse_v1,0.0715091012214755,0.0690649362213163,-0.0024441650001591902,True
pbmc_shapemix_stress_v2_reference_support_all_mix_401,reference_support,all,all,401,jsd_v2,0.0108257697907801,0.0106902794289047,-0.0001354903618753997,True
pbmc_shapemix_stress_v2_reference_support_all_mix_401,reference_support,all,all,401,rmse_v1,0.0709889069427794,0.0684756305427193,-0.002513276400060105,True
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_307,reference_support,per_type_100,all,307,jsd_v2,0.0130985074355327,0.0198214113382949,0.006722903902762199,False
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_307,reference_support,per_type_100,all,307,rmse_v1,0.0752553758486296,0.0945667295535654,0.019311353704935807,False
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_401,reference_support,per_type_100,all,401,jsd_v2,0.0132063493395105,0.0206753260840238,0.007468976744513299,False
pbmc_shapemix_stress_v2_reference_support_per_type_100_mix_401,reference_support,per_type_100,all,401,rmse_v1,0.0737920918390163,0.0942371422053099,0.0204450503662936,False
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_307,reference_support,per_type_250,all,307,jsd_v2,0.0108804093368242,0.0150164573275981,0.004136047990773901,False
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_307,reference_support,per_type_250,all,307,rmse_v1,0.0698625241664288,0.0803795359941056,0.010517011827676809,False
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_401,reference_support,per_type_250,all,401,jsd_v2,0.0110107661484559,0.0152966917502508,0.0042859256017949,False
pbmc_shapemix_stress_v2_reference_support_per_type_250_mix_401,reference_support,per_type_250,all,401,rmse_v1,0.0689635880318508,0.0793555402822515,0.010391952250400696,False
