dataset_id,level,mixture_seed,method_id,truth_positive_spots,truth_negative_spots,predicted_threshold,true_positive,false_positive,false_negative,precision,recall,f1,auprc
pbmc_shapemix_stress_v2_anchor_standard_mix_307,observed,307,shapemix_length,344,680,0.01,336,213,8,0.6120218579234973,0.9767441860465116,0.7525195968645016,0.9466345517840283
pbmc_shapemix_stress_v2_anchor_standard_mix_307,observed,307,shapemix_count_only,344,680,0.01,335,171,9,0.6620553359683794,0.9738372093023255,0.788235294117647,0.9598307806068467
pbmc_shapemix_stress_v2_anchor_standard_mix_307,observed,307,nnls,344,680,0.01,327,193,17,0.6288461538461538,0.9505813953488372,0.7569444444444444,0.9218046288337033
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,fraction_0p001,307,shapemix_length,11,1013,0.01,11,327,0,0.03254437869822485,1.0,0.06303724928366762,0.229108084286573
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,fraction_0p001,307,shapemix_count_only,11,1013,0.01,10,259,1,0.03717472118959108,0.9090909090909091,0.07142857142857144,0.29163672285896003
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_307,fraction_0p001,307,nnls,11,1013,0.01,10,270,1,0.03571428571428571,0.9090909090909091,0.06872852233676975,0.2849251532773805
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,fraction_0p005,307,shapemix_length,42,982,0.01,42,326,0,0.11413043478260869,1.0,0.2048780487804878,0.6666449394326067
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,fraction_0p005,307,shapemix_count_only,42,982,0.01,42,258,0,0.14,1.0,0.24561403508771928,0.6974223850192893
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_307,fraction_0p005,307,nnls,42,982,0.01,42,256,0,0.14093959731543623,1.0,0.24705882352941178,0.5903780874174331
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,fraction_0p010,307,shapemix_length,81,943,0.01,79,285,2,0.21703296703296704,0.9753086419753086,0.3550561797752809,0.7685014927757909
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,fraction_0p010,307,shapemix_count_only,81,943,0.01,79,213,2,0.2705479452054795,0.9753086419753086,0.42359249329758714,0.8080549531331761
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_307,fraction_0p010,307,nnls,81,943,0.01,80,255,1,0.23880597014925373,0.9876543209876543,0.3846153846153846,0.7063362622676989
pbmc_shapemix_stress_v2_anchor_standard_mix_401,observed,401,shapemix_length,343,681,0.01,332,204,11,0.6194029850746269,0.967930029154519,0.7554038680318544,0.9340206236924363
pbmc_shapemix_stress_v2_anchor_standard_mix_401,observed,401,shapemix_count_only,343,681,0.01,331,178,12,0.650294695481336,0.9650145772594753,0.7769953051643194,0.9489043015172417
pbmc_shapemix_stress_v2_anchor_standard_mix_401,observed,401,nnls,343,681,0.01,324,183,19,0.6390532544378699,0.9446064139941691,0.7623529411764706,0.9005440016096021
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_401,fraction_0p001,401,shapemix_length,3,1021,0.01,3,330,0,0.009009009009009009,1.0,0.01785714285714286,0.4023809523809524
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_401,fraction_0p001,401,shapemix_count_only,3,1021,0.01,3,257,0,0.011538461538461539,1.0,0.022813688212927757,0.43846153846153846
pbmc_shapemix_stress_v2_rare_nk_fraction_0p001_mix_401,fraction_0p001,401,nnls,3,1021,0.01,3,263,0,0.011278195488721804,1.0,0.022304832713754646,0.3867063492063492
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_401,fraction_0p005,401,shapemix_length,40,984,0.01,39,319,1,0.10893854748603352,0.975,0.19597989949748743,0.6833272502475364
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_401,fraction_0p005,401,shapemix_count_only,40,984,0.01,38,254,2,0.13013698630136986,0.95,0.2289156626506024,0.752774807205439
pbmc_shapemix_stress_v2_rare_nk_fraction_0p005_mix_401,fraction_0p005,401,nnls,40,984,0.01,37,254,3,0.12714776632302405,0.925,0.22356495468277945,0.5796808246638534
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_401,fraction_0p010,401,shapemix_length,79,945,0.01,77,321,2,0.1934673366834171,0.9746835443037974,0.3228511530398323,0.7620026893203328
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_401,fraction_0p010,401,shapemix_count_only,79,945,0.01,77,241,2,0.24213836477987422,0.9746835443037974,0.3879093198992444,0.8279878919422426
pbmc_shapemix_stress_v2_rare_nk_fraction_0p010_mix_401,fraction_0p010,401,nnls,79,945,0.01,74,259,5,0.2222222222222222,0.9367088607594937,0.35922330097087374,0.7315330961215628
