dataset_id,factor,level,mixture_seed,method_id,cell_type,spots,truth_mean,predicted_mean,mean_bias,mean_absolute_error,root_mean_squared_error,pearson,spearman
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD14 Mono,1024,0.26998813939187694,0.2515175060051035,-0.018470633386773443,0.048526772103057156,0.06400328772083848,0.9172415127463418,0.903837707051777
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD4 Naive,1024,0.14652016289738812,0.14186825092096805,-0.004651911976420079,0.056927332695602004,0.07403401533604893,0.7899413755413933,0.7584361341091447
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD8 Naive,1024,0.13978109533004135,0.1480974384101918,0.008316343080150439,0.04604491791866725,0.06396504869990145,0.8478330714047035,0.8366953749805609
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD4 TCM,1024,0.12233880411582285,0.09978073797257084,-0.02255806614325201,0.05844069685407013,0.08014271239076391,0.7068108632735295,0.7098440920132231
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD16 Mono,1024,0.046245441842822956,0.05144938488078179,0.005203943037958834,0.027476628069547194,0.03798761265514291,0.835519637749669,0.7763438375861408
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,NK,1024,0.040588827023489545,0.038467047397637136,-0.002121779625852406,0.02059946892733312,0.03290265764597188,0.8699257927888735,0.7765789757659269
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD8 TEM_1,1024,0.03526947215953631,0.03383743218647341,-0.0014320399730629054,0.032810130599764065,0.04860075837220545,0.6181474380125098,0.5423121844337742
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD8 TEM_2,1024,0.03165895256385261,0.02948818062926618,-0.002170771934586425,0.02504964595003371,0.039049375906464415,0.7646845794327695,0.6425339421214222
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,Intermediate B,1024,0.03014635853704098,0.028773958503868817,-0.0013724000331721596,0.0184936256609279,0.033402307627050716,0.8194433239510774,0.7168062284674361
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,Memory B,1024,0.028162331997758534,0.027434466172889676,-0.0007278658248688607,0.019194887360015747,0.03229980902100059,0.7863176811684718,0.6873156726978219
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,CD4 TEM,1024,0.029686411370686894,0.04204388891837373,0.012357477547686839,0.030820844400379542,0.04196143579825178,0.6979024614998371,0.5981016251500498
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,cDC,1024,0.018546997856495606,0.02773163016723587,0.009184632310740265,0.019417622864596338,0.028196156147067334,0.8189269987790624,0.5909469624890361
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,Treg,1024,0.016351725728577567,0.02494370857022382,0.008591982841646256,0.026203269371245473,0.03597910090187912,0.5285366203871454,0.40954497684601915
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,gdT,1024,0.01633459764245821,0.018257345113304256,0.0019227474708460458,0.023206151816604122,0.03624317060024297,0.43801610382990847,0.40540256569680483
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,MAIT,1024,0.01524598472338017,0.021430937436439867,0.006184952713059699,0.01922548855723694,0.029848326767686822,0.7292449544685324,0.5190962862572023
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_length,Naive B,1024,0.013134696818771288,0.014878086714670592,0.001743389895899304,0.015640946575167437,0.02761174718142661,0.7109924232946481,0.49607596240015944
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_count_only,CD14 Mono,1024,0.26998813939187694,0.2442617294077594,-0.02572640998411753,0.05080660493984927,0.06682554074422437,0.9170438100959821,0.9034174709861266
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_count_only,CD4 Naive,1024,0.14652016289738812,0.14144107989325821,-0.0050790830041299116,0.05632726952882579,0.07384729615842114,0.7992249886858671,0.7722758542067288
pbmc_shapemix_stress_v2_anchor_standard_mix_307,anchor,standard,307,shapemix_count_only,CD8 Naive,1024,0.13978109533004135,0.14829229520504478,0.0085111998750034,0.04570676198917196,0.06422267280538273,0.8548053969998664,0.8432433991651053
