restart_index,seed_tuple,converged,stopping_reason,steps,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective,nonfinite_events,runtime_seconds,best_step,final_gradient_norm,history_rows,selected
0,"[20260822,1103,401,0,0]",True,objective_patience,349,-2641290.703125,-2877321.4296875,-32456.430053710938,-5551068.562866211,[],46.21666245200322,349,8.568402290344238,350,False
1,"[20260822,1103,401,0,1]",True,objective_patience,414,-2641286.625,-2877330.6328125,-32452.257934570312,-5551069.51574707,[],53.10946123199392,414,9.614744186401367,415,False
2,"[20260822,1103,401,0,2]",True,objective_patience,488,-2641284.1640625,-2877325.7265625,-32458.273559570312,-5551068.16418457,[],63.08304610999767,488,9.152055740356445,489,True
