"","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"0",0.000128462551871407,0.000128462551503378,0.0411827494747771,0.000128462551681432,0.000128462550279053,0.386619508560414,0.5697622099628,0.00140783158805259,0.000128462551595031,0.000128462551832164,0.000128462551502453,0.000128462553691885
"1",7.55418178906017e-05,7.55418214766799e-05,7.55418199091463e-05,7.55418199091457e-05,7.55418162488136e-05,0.319950418616499,7.55418199192646e-05,0.00117020091931055,7.55418198622491e-05,7.55418199103552e-05,7.55418193106757e-05,0.678199504089753
"2",6.62854012753106e-05,6.62854013720992e-05,6.62854014082745e-05,0.0323569038425371,6.62854014082694e-05,0.21839781895209,0.748648708593248,6.62854013592124e-05,6.62854014217664e-05,6.62854009033954e-05,6.62854013950563e-05,6.62854015810634e-05
"3",3.49274059684848e-05,3.49274061206822e-05,3.49014708994768e-05,3.49274060122548e-05,3.49281066154051e-05,3.49274071078299e-05,0.932908646496816,8.49180074500805e-05,0.000851860371150247,0.0658751811096665,3.49274059816477e-05,3.49274062115873e-05
"4",4.92620661046041e-05,4.92620672389326e-05,4.92620672282058e-05,5.0168045581205e-05,4.92620670582101e-05,0.0171369767721329,0.90426877990034,4.9262066452274e-05,0.00278803490957763,0.0355295369922478,0.000485896757639515,0.0394942962883986
"5",0.000116308816107152,0.000116308822074227,0.000116308821307338,0.000116308821346656,0.000116308821354935,0.365268593571815,0.633568318219155,0.000116308822146784,0.000116308819354235,0.000116308821010185,0.000116308822600962,0.000116308821727512
"6",0.000691719574919854,0.000159270266922257,0.000159270266951748,0.000159270266964013,0.000159270267240636,0.247401860077091,0.276688632748304,0.000159270266868013,0.000159270266989832,0.000159270266959205,0.000159270266959978,0.473943625463829
"7",0.000118810785988564,0.000118810785792545,0.000118810785772738,0.000118810785817372,0.00011881078591959,0.0679050864950571,0.815782676374033,0.000421809558911115,0.00217375367363919,0.000118810785818935,0.00302284426082005,0.10998096492243
"8",6.39544638215629e-05,6.39544652877687e-05,6.39544635581175e-05,6.39544635581182e-05,6.3954462869727e-05,0.841321096676142,6.39544635596983e-05,6.39544635452244e-05,0.00157149308903794,6.39544635698156e-05,6.39544635549577e-05,0.156531820061495
"9",6.90789367861853e-05,6.9078934957884e-05,6.90789349646753e-05,6.90789349196566e-05,6.90789364607341e-05,0.0599550825288966,0.905713424664271,6.9078938161988e-05,6.90789349254135e-05,6.90789349005466e-05,6.9078934998307e-05,0.0337097823857574
"10",0.000227626947193444,0.000227626948122092,0.0456368662038169,0.000227626948105624,0.00519315511142219,0.444778120391691,0.364860319573558,0.0107130597375578,0.000227626948094265,0.000227626948157796,0.000227626948196478,0.127452717294085
"11",5.2826359434486e-05,5.28263607906848e-05,5.2793662677833e-05,5.28263608414376e-05,5.28263616863103e-05,5.28263599111244e-05,0.907182087859844,5.28263605214628e-05,5.28263607910764e-05,0.0581659777943588,5.28263607453477e-05,0.0341765297983976
"12",0.0148475668062221,0.00633420680316558,0.000145563503235173,0.000145563503099646,0.00511748979325546,0.000145563503140938,0.413664338993716,0.000145563503082852,0.000145563503099964,0.0511345966416519,0.00512573587014862,0.503048247576182
"13",7.43920086619427e-05,7.43938502433114e-05,7.43922033663818e-05,7.43938500200972e-05,7.43902629576647e-05,7.43938499745175e-05,0.938105492146947,7.43944330623664e-05,7.43938500176259e-05,0.0393863554143651,0.000738986688032219,0.0211740214423518
"14",5.19923779467464e-05,5.19923764747589e-05,5.19923768918878e-05,5.19923768918919e-05,5.19923897883291e-05,0.827690446702486,5.1992376049551e-05,5.19923768324159e-05,5.19923738418742e-05,5.19923807646304e-05,5.19923768951068e-05,0.171789629515137
"15",0.00010039443229871,0.000100394429336637,0.000100394432295793,0.000100394432295793,0.000100394434080692,0.286260297068902,0.459051736584603,0.000100394429341376,0.000100394432298478,0.000100394432214943,0.000100394432295793,0.253784416460037
