,q05cell_abundance_w_sf_endothelial cell,q05cell_abundance_w_sf_astrocyte,q05cell_abundance_w_sf_oligodendrocyte,q05cell_abundance_w_sf_microglial cell,q05cell_abundance_w_sf_vascular associated smooth muscle cell,q05cell_abundance_w_sf_inhibitory interneuron,q05cell_abundance_w_sf_pericyte,q05cell_abundance_w_sf_glutamatergic neuron,q05cell_abundance_w_sf_radial glial cell,q05cell_abundance_w_sf_oligodendrocyte precursor cell,q05cell_abundance_w_sf_neural progenitor cell,q05cell_abundance_w_sf_medial ganglionic eminence derived interneuron,q05cell_abundance_w_sf_caudal ganglionic eminence derived interneuron
0,0.010114397201687098,0.0009932309854775666,0.0031038128421641887,0.002726846165023744,0.0030232055578380823,11.162835502624512,0.007400663709267974,0.0007419068890158087,0.0010265512275509537,4.12425012588501,0.0015138233546167612,0.0024307032697834076,0.0018959258508402855
1,0.006530435103923083,0.0006266284617595375,0.0024122279253788294,0.01215402279049158,0.04586423579603434,1.3933687567710877,0.005392838618718088,4.3177519083023075,0.0003224549858714454,1.1426237225532532,0.00024529844959033655,1.2034828901290893,0.45407715290784834
2,0.0012486924184486271,0.006942261080257595,0.0175329833291471,0.060205009579658506,0.15123095586895943,3.2254578828811646,0.002249186660628766,0.010244122659787537,0.0001298945069720503,0.591316094994545,0.004664023849181831,0.005694846389815211,0.004578564525581896
3,0.0038022206048481167,0.0035779603640548885,0.0015992701170034708,0.0010838643764145672,0.0009418250119779259,1.6025857329368591,0.002076978259719908,0.12309272922575473,0.0009530800161883235,6.323462963104248,0.0007435234700096771,0.026023019198328258,0.01188888242468238
4,0.0027080899570137264,0.0018620191549416631,0.00188724112813361,0.00022705573137500324,0.0013903024373576045,0.0741197194904089,0.0011879353609401734,2.8310978531837465,0.0017753587279003113,6.222077417373657,0.051922710984945296,0.03543657157570124,0.024401161167770625
5,0.005355107435025275,0.00040516927983844656,0.49855524450540545,0.017744975350797176,0.000910075503634289,1.3049924731254579,0.0020059412578120827,2.771699380874634,0.00019120628712698817,2.718933367729187,0.00026683419710025195,0.15594986081123352,0.06409036293625832
6,0.008197472430765629,0.0017999781761318448,0.005251866369508207,0.08326776809990406,0.0031915177358314397,7.857608604431152,0.06814393177628518,1.018746119737625,0.00028425140772014856,0.0213245858438313,0.0011979793081991375,0.7511947989463806,0.31954336911439896
7,0.0020429748692549765,0.00014908958619344048,0.0018149089766666294,1.498236221075058,0.0016359062225092202,0.00035949825687566774,0.025768702384084463,4.481299304962159,0.00015602081111865118,1.6415732681751252,0.00019710572305484675,0.3260618284344673,0.04698037747293711
8,0.0005223260668572038,0.0006882643181597814,0.0006339673564070836,0.0001312849679379724,0.00016965603790595197,2.654312813282013,0.00032661683071637525,0.023555216658860446,0.22238672971725465,3.646942102909088,0.007419774821028113,0.0031440082006156445,0.0031548088300041854
9,0.000539793199277483,0.00030499127169605347,0.00036696423048852015,0.0004506278201006353,0.0006180653988849371,0.0018051290302537383,0.0002980548015329987,4.482939457893371,0.002203289757017046,1.1598580420017242,0.0002484946373442654,0.008205463597550988,0.01192189180292189
10,0.0017595416284166276,0.0021875057136639953,0.0007467858056770637,0.0011722525174263864,0.0016695624741259964,4.772648453712463,0.0013047177460975945,0.26417378783226014,3.0797424912452698,0.0001480339873523917,0.08387262783944607,0.0035179800703190266,0.0022555755800567566
11,0.0077532820869237185,0.0016243208665400743,0.01347408639267087,0.00485352894756943,0.00580684463493526,5.346174860000611,0.061745894886553285,0.7267905026674271,0.0007584499020595104,2.3353689193725584,0.0010741590289399029,0.49798901081085206,0.2083592690527439
12,0.00304127634735778,0.0012392265372909606,0.0006733651971444488,0.0003145390684949234,0.001558737683808431,0.00027195761213079096,0.002113010222092271,1.5153718531131743,0.001188219402683899,5.3376544713974,0.0008341915148776025,0.5637747406959533,0.04828724693506956
13,0.49055163413286207,0.028588665742427112,0.7437603801488877,0.053936810977756974,0.011670279409736395,1.0586142182350158,0.0043930840678513055,0.03103712694719434,0.000720169977284968,4.894442892074585,0.0012035343621391804,0.26974632441997526,0.29029521644115447
14,0.0010025338444393129,0.0002252307051094249,0.029803164396435024,0.0003399977998924442,0.00033452054049121216,1.6770296931266784,0.0005869114014785737,3.7668178558349608,0.0004844116047024727,1.597094190120697,1.242522919178009,0.0031591993174515665,0.003110046801157296
15,0.0006073824712075293,0.00011237018297833856,0.002198390942066908,0.001114155794493854,0.00014448128931690007,1.7507185280323028,0.0002412976944469847,2.4956544637680054,0.00024187700037145988,0.07463865540921688,0.00012906531992484815,0.001965583534911275,0.0016321848321240394
