spot_id,CD4 Naive,CD4 TCM,CD4 TEM
spot_0000,3.7960848808288574,3.8404650688171387,1.8456171751022339
spot_0001,3.9504857063293457,2.429030418395996,1.5130915641784668
spot_0002,2.9343817234039307,4.227322101593018,1.3118085861206055
spot_0003,2.0376315116882324,6.67012882232666,1.3039164543151855
spot_0004,0.37786704301834106,4.968376636505127,3.9883081912994385
spot_0005,3.8224260807037354,6.3749308586120605,2.928074359893799
spot_0006,0.8616600632667542,3.2952585220336914,2.4404139518737793
spot_0007,5.736178874969482,3.1539182662963867,1.9588696956634521
spot_0008,3.607235908508301,3.9531688690185547,2.225839138031006
spot_0009,3.0529959201812744,2.7761154174804688,1.484262228012085
spot_0010,3.1361491680145264,3.7173662185668945,1.9184898138046265
spot_0011,2.8459579944610596,3.493544578552246,3.3990068435668945
spot_0012,1.3879810571670532,4.0694756507873535,1.6242672204971313
spot_0013,2.818512439727783,4.221981048583984,0.6390495300292969
spot_0014,3.879678964614868,4.7316412925720215,2.016812562942505
spot_0015,3.6313962936401367,6.535581111907959,3.8367958068847656
spot_0016,3.5306880474090576,10.213120460510254,6.42783784866333
spot_0017,1.2864435911178589,1.7166240215301514,2.671252727508545
spot_0018,2.26456356048584,4.921797752380371,3.8574607372283936
spot_0019,4.224629878997803,5.2905073165893555,1.5372633934020996
spot_0020,3.077220916748047,4.845065593719482,3.2301690578460693
spot_0021,3.7627241611480713,1.4806824922561646,1.1012482643127441
spot_0022,2.1019344329833984,4.285557746887207,3.497704029083252
spot_0023,3.9828755855560303,3.494886875152588,2.644467353820801
spot_0024,2.729062557220459,3.1904289722442627,0.716387927532196
spot_0025,0.2683199346065521,5.1861371994018555,3.130908250808716
spot_0026,3.994626998901367,6.653026580810547,1.2548943758010864
spot_0027,2.987152099609375,6.40715217590332,2.65529203414917
spot_0028,3.207143783569336,3.0645439624786377,1.6309213638305664
spot_0029,5.439538478851318,3.4657247066497803,2.754146099090576
spot_0030,6.062063217163086,2.1413469314575195,1.892785906791687
spot_0031,2.5729658603668213,6.356080532073975,2.0836706161499023
spot_0032,4.6558308601379395,4.866934776306152,2.0016961097717285
spot_0033,1.4202909469604492,4.5068793296813965,2.045454978942871
spot_0034,7.28442907333374,3.9881908893585205,1.2564692497253418
spot_0035,2.279777765274048,4.595354080200195,2.8712751865386963
spot_0036,0.1118224635720253,4.6487202644348145,2.9077067375183105
spot_0037,3.3712525367736816,4.191094398498535,2.8299038410186768
spot_0038,2.4980859756469727,2.1513562202453613,0.7066532373428345
spot_0039,1.793472409248352,5.336876392364502,2.953141212463379
spot_0040,2.005065679550171,7.729118824005127,3.189668893814087
spot_0041,2.9849965572357178,2.3125836849212646,0.1353427916765213
spot_0042,1.229188084602356,1.951296329498291,1.0370774269104004
spot_0043,2.1502134799957275,5.578283309936523,3.3823821544647217
spot_0044,3.639979600906372,4.525247573852539,1.5912710428237915
spot_0045,4.985378265380859,7.796821594238281,3.2103238105773926
spot_0046,4.10426139831543,4.2688093185424805,2.0929605960845947
spot_0047,4.62191915512085,2.7511961460113525,1.6517689228057861
spot_0048,3.9498167037963867,5.689140319824219,4.553948402404785
spot_0049,2.758197069168091,1.492179036140442,1.3647849559783936
spot_0050,1.3956393003463745,4.310768127441406,2.46012020111084
spot_0051,1.33420991897583,3.904026508331299,2.80664324760437
spot_0052,4.470617771148682,4.57609224319458,2.413098096847534
spot_0053,4.953375816345215,5.031781196594238,2.5509629249572754
spot_0054,6.910022735595703,3.4056289196014404,0.8652030825614929
spot_0055,1.4393219947814941,4.157210826873779,2.3979036808013916
spot_0056,1.7221065759658813,3.2482242584228516,1.471031904220581
spot_0057,3.492924928665161,2.1295652389526367,1.6665592193603516
spot_0058,0.6742919087409973,1.4112465381622314,0.7015809416770935
spot_0059,2.302440643310547,3.9844675064086914,3.1316535472869873
spot_0060,5.773754596710205,2.5780580043792725,1.315351963043213
spot_0061,3.339219093322754,4.267096996307373,3.1122007369995117
spot_0062,3.5544075965881348,5.9772562980651855,3.199172258377075
